288.5
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 6 | D in octave 5} Quarter,D5-interval class 2,1.0,35/3
Chord {B-flat in octave 5 | D in octave 5 | F in octave 5} Dotted Eighth,B-5-major triad,0.75,40/3
Chord {B-flat in octave 2 | E-flat in octave 2} 16th,E-2-interval class 5,0.25,95/3
Chord {E-flat in octave 4 | B-flat in octave 3} Eighth,E-4-interval class 5,0.5,37.25
Chord {E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 3} Eighth,E-4-minor triad,0.5,38.25
Chord {E-flat in octave 4 | F-sharp in octave 3} Quarter Triplet (2/3 QL),F#3-interval class 3,2/3,39.25
Chord {E-flat in octave 4 | F-sharp in octave 3} Eighth,F#3-interval class 3,0.5,40.75
Chord {E-flat in octave 4 | F-sharp in octave 3 | C-sharp in octave 5 | C-sharp in octave 6} Eighth,F#3-incomplete minor-seventh chord,0.5,125/3
Chord {E-flat in octave 4 | F-sharp in octave 3 | E-flat in octave 5} Eighth,F#3-interval class 3,0.5,42.25
Chord {E-flat in octave 4 | F in octave 3 | B in octave 3} 16th,E-4-incomplete half-diminished seventh chord,0.25,44.5
Chord {C-sharp in octave 5 | G-sharp in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),C#5-incomplete minor-seventh chord,1/3,47.5
Chord {C-sharp in octave 5 | B in octave 1 | C-sharp in octave 6 | F-sharp in octave 5} 16th,B1-quartal trichord,0.25,151/3
Chord {B-flat in octave 5 | C-sharp in octave 6 | E-flat in octave 6 | F-sharp in octave 5} 16th,C#6-minor seventh chord,0.25,51.25
Chord {F-sharp in octave 6 | E-flat in octave 6 | G-sharp in octave 6} Eighth Triplet (1/3 QL),E-6-incomplete dominant-seventh chord,1/3,52.25
Chord {B-flat in octave 6 | C-sharp in octave 7 | G-sharp in octave 6} Eighth Triplet (1/3 QL),C#7-incomplete minor-seventh chord,1/3,53.25
Chord {F-sharp in octave 7 | G-sharp in octave 6} Eighth,G#6-interval class 2,0.5,163/3
Chord {F-sharp in octave 5 | A in octave 4 | E-flat in octave 5} Quarter tied to 16th (1 1/4 total QL),F#5-diminished triad,1.25,59.0
Chord {E-flat in octave 4 | F-sharp in octave 4} Half,F#4-interval class 3,2.0,61.0
Chord {A in octave 4 | D in octave 4} 16th,D4-interval class 5,0.25,65.75
Chord {C in octave 5 | F in octave 4} Dotted Eighth,F4-interval class 5,0.75,200/3
Chord {C in octave 5 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,69.0
Chord {E-flat in octave 5 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-5-unison,2/3,211/3
Chord {B in octave 5 | G-sharp in octave 5} Dotted Eighth,G#5-interval class 3,0.75,76.75
Chord {A in octave 5 | F-sharp in octave 5} Eighth,F#5-interval class 3,0.5,79.0
Chord {B-flat in octave 3 | F in octave 5} 16th,B-3-interval class 5,0.25,239/3
Chord {G in octave 5 | B-flat in octave 3} Quarter Triplet (2/3 QL),G5-interval class 3,2/3,80.5
Chord {B-flat in octave 3 | D in octave 5 | F in octave 5} 16th,B-3-major triad,0.25,82.0
Chord {F in octave 5 | D in octave 5} 16th,D5-interval class 3,0.25,260/3
Chord {G in octave 5 | G in octave 4} Eighth,G5-unison,0.5,263/3
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,266/3
Chord {A in octave 5 | A in octave 4} 16th,A5-unison,0.25,89.5
Chord {D in octave 6 | D in octave 5} 16th,D6-unison,0.25,92.5
Chord {E-flat in octave 6 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-6-unison,1/3,93.25
Chord {E in octave 6 | E in octave 5} Eighth Triplet (1/3 QL),E6-unison,1/3,94.25
Chord {E-flat in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),E-4-interval class 4,1/3,103.75
Chord {G in octave 6 | A in octave 6} 16th,A6-interval class 2,0.25,134.5
Chord {C-sharp in octave 4 | F-sharp in octave 3 | E in octave 4} Eighth,F#3-incomplete dominant-seventh chord,0.5,146.75
Chord {C-sharp in octave 4 | F-sharp in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),B3-quartal trichord,1/3,443/3
Chord {A in octave 5 | F-sharp in octave 4 | G in octave 3 | D in octave 5 | A in octave 4 | F-sharp in octave 5 | D in octave 4 | B in octave 3} Eighth,G3-major-ninth chord,0.5,150.75
Chord {A in octave 5 | D in octave 5 | F-sharp in octave 5} Eighth,D5-major triad,0.5,455/3
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,152.5
Chord {A in octave 5 | D in octave 5} Dotted Eighth,D5-interval class 5,0.75,152.5
Chord {C-sharp in octave 4 | C in octave 6 | F in octave 5 | A in octave 5} Dotted Eighth,F5-augmented major tetrachord,0.75,154.75
Chord {C in octave 6 | F in octave 5 | F-sharp in octave 4 | A in octave 5 | C-sharp in octave 4} Quarter Triplet (2/3 QL),F5-Persian pentamirror,2/3,156.0
Chord {F-sharp in octave 4 | C-sharp in octave 4} Zero,F#4-interval class 5,0.0,157.25
Chord {C in octave 6 | A in octave 5} Quarter tied to 16th (1 1/4 total QL),A5-interval class 3,1.25,157.25
Chord {E in octave 6 | C-sharp in octave 6 | C-sharp in octave 4 | F-sharp in octave 3 | E in octave 4 | A in octave 5 | E in octave 5 | B in octave 3} Eighth,F#3-major pentatonic,0.5,479/3
Chord {E in octave 4 | A in octave 5 | F-sharp in octave 3 | B in octave 3} 16th,F#3-quartal tetramirror,0.25,482/3
Chord {F-sharp in octave 3 | C-sharp in octave 4} Zero,F#3-interval class 5,0.0,484/3
Chord {F-sharp in octave 3 | C-sharp in octave 4 | A in octave 5 | B in octave 3} Eighth Triplet (1/3 QL),F#3-perfect-fourth minor tetrachord,1/3,163.0
Chord {A in octave 6 | C-sharp in octave 4 | F-sharp in octave 3 | A in octave 5 | E in octave 6} Eighth Triplet (1/3 QL),F#3-minor seventh chord,1/3,163.75
Chord {E in octave 6 | A in octave 5 | E in octave 5 | F in octave 4 | C in octave 4 | C in octave 6 | A in octave 3} Eighth,F4-major seventh chord,0.5,166.75
Chord {E in octave 6 | A in octave 5 | C in octave 6} 16th,A5-minor triad,0.25,503/3
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,168.5
Chord {C in octave 6 | A in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,168.5
Chord {G-sharp in octave 5 | E in octave 4 | F in octave 3 | B in octave 5} Quarter Triplet (2/3 QL),E4-major-diminished tetrachord,2/3,512/3
Chord {G-sharp in octave 5 | F in octave 3 | E in octave 5 | B in octave 3 | B in octave 5} Eighth,E5-major-diminished tetrachord,0.5,171.75
Chord {E in octave 4 | B in octave 3} Zero,E4-interval class 5,0.0,173.0
Chord {F in octave 6 | C in octave 6} Eighth,F6-interval class 5,0.5,173.0
Chord {G in octave 6 | E in octave 6} Dotted Eighth,E6-interval class 3,0.75,174.0
Chord {G in octave 6 | E in octave 6 | B in octave 5 | G in octave 4 | D in octave 6 | D in octave 4} Eighth,E6-minor seventh chord,0.5,175.25
Chord {G in octave 6 | G in octave 4 | D in octave 6} 16th,G6-interval class 5,0.25,176.0
Chord {E in octave 6 | G in octave 5 | B in octave 5 | D in octave 6} Zero,E6-minor seventh chord,0.0,176.75
Chord {G in octave 3 | E in octave 5 | B in octave 4 | G in octave 4} 16th,E5-minor triad,0.25,179.25
Chord {A in octave 3 | F in octave 4 | C in octave 4} 16th,F4-major triad,0.25,193.25
Chord {G in octave 4 | B in octave 3 | D in octave 4} 16th,G4-major triad,0.25,193.75
Chord {A in octave 4 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A4-minor triad,1/3,194.5
Chord {B in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B4-tritone,1/3,195.25
Chord {C in octave 5 | G in octave 4 | E in octave 4 | G in octave 3} 16th,C5-major triad,0.25,196.0
Chord {D in octave 5 | C-sharp in octave 5} 16th,D5-interval class 1,0.25,200.0
Chord {B-flat in octave 3 | D in octave 4} Eighth,B-3-interval class 4,0.5,610/3
Chord {F in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 5,1/3,213.75
Chord {E-flat in octave 7 | E-flat in octave 4 | F-sharp in octave 3} Eighth,F#3-interval class 3,0.5,223.25
Chord {C-sharp in octave 7 | C-sharp in octave 6} Dotted Quarter,C#7-unison,1.5,227.5
Chord {B-flat in octave 2 | B-flat in octave 3} Dotted Eighth,B-2-unison,0.75,734/3
Chord {E-flat in octave 4 | B-flat in octave 3} 16th,E-4-interval class 5,0.25,248.5
Chord {G-sharp in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),G#4-interval class 3,1/3,258.75
Chord {F-sharp in octave 4 | B-flat in octave 4} Quarter,B-4-interval class 4,1.0,782/3
Chord {C-sharp in octave 4 | B-flat in octave 4} 16th,C#4-interval class 3,0.25,262.0
Chord {F-sharp in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,788/3
Chord {F-sharp in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,264.25
Chord {E-flat in octave 4 | B in octave 3} Eighth,E-4-interval class 4,0.5,43.0
Chord {E-flat in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),E-4-interval class 4,1/3,43.75
Chord {B-flat in octave 5 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-5-interval class 5,1/3,139/3
Chord {F-sharp in octave 4 | B-flat in octave 4} Zero,B-4-interval class 4,0.0,48.5
Chord {B in octave 2 | F-sharp in octave 5 | B-flat in octave 5} 16th,B2-incomplete major-seventh chord,0.25,151/3
Chord {C-sharp in octave 6 | G-sharp in octave 6 | B-flat in octave 6} 16th,C#6-incomplete minor-seventh chord,0.25,52.25
Chord {E-flat in octave 5 | C-sharp in octave 5} Half,C#5-interval class 2,2.0,56.5
Chord {A in octave 3 | E-flat in octave 3} Eighth Triplet (1/3 QL),A3-tritone,1/3,61.0
Chord {F in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,65.0
Chord {A in octave 4 | D in octave 4} Eighth,D4-interval class 5,0.5,67.5
Chord {G-sharp in octave 4 | C in octave 5 | C in octave 4} Eighth,C5-interval class 4,0.5,85.75
Chord {B in octave 4 | E in octave 5} Eighth Triplet (1/3 QL),E5-interval class 5,1/3,91.0
Chord {G-sharp in octave 6 | G-sharp in octave 5} Eighth Triplet (1/3 QL),G#6-unison,1/3,98.0
Chord {B-flat in octave 6 | B-flat in octave 5} Eighth,B-6-unison,0.5,98.75
Chord {F-sharp in octave 4 | G in octave 3} Half,G3-interval class 1,2.0,135.25
Chord {A in octave 4 | D in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),B3-incomplete minor-seventh chord,1/3,455/3
Chord {F-sharp in octave 4 | C in octave 6 | G in octave 3 | F in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),F#4-perfect fourth tetramirror,2/3,155.0
Chord {C in octave 5 | F-sharp in octave 4 | G in octave 3} Quarter Triplet (2/3 QL),F#4-tritone-fourth,2/3,156.0
Chord {C-sharp in octave 4 | C-sharp in octave 6 | E in octave 6 | A in octave 5 | F-sharp in octave 3 | E in octave 5} Eighth Triplet (1/3 QL),F#3-minor seventh chord,1/3,482/3
Chord {A in octave 6 | E in octave 6 | B in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),A6-quartal trichord,1/3,163.0
Chord {E in octave 4 | B in octave 3} 16th,E4-interval class 5,0.25,163.75
Chord {A in octave 6 | E in octave 6} Dotted Eighth,A6-interval class 5,0.75,494/3
Chord {E in octave 5 | G in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),E5-phrygian trichord,1/3,167.75
Chord {C in octave 5 | F in octave 5 | G in octave 3} 16th,F5-quartal trichord,0.25,168.5
Chord {F in octave 5 | D in octave 5} Eighth,D5-interval class 3,0.5,169.5
Chord {D in octave 6 | D in octave 5} Eighth,D6-unison,0.5,512/3
Chord {F in octave 3 | F in octave 5} 16th,F3-unison,0.25,173.0
Chord {B in octave 5 | G in octave 4 | E in octave 5} 16th,E5-minor triad,0.25,533/3
Chord {G in octave 5 | D in octave 5} Zero,G5-interval class 5,0.0,178.5
Chord {D in octave 4 | E in octave 4} Dotted Eighth,E4-interval class 2,0.75,178.5
Chord {G in octave 4 | E in octave 4} 16th,E4-interval class 3,0.25,180.25
Chord {F-sharp in octave 3 | C in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F#3-tritone,5/3,562/3
Chord {D in octave 4 | G in octave 3} 16th,G3-interval class 5,0.25,586/3
Chord {C in octave 5 | E-flat in octave 4} Dotted Eighth,C5-interval class 3,0.75,601/3
Chord {E in octave 4 | G in octave 3} Eighth,E4-interval class 3,0.5,204.5
Chord {D in octave 5 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-4-interval class 1,2/3,209.25
Chord {C in octave 4 | D in octave 4} Quarter,D4-interval class 2,1.0,214.0
Chord {B-flat in octave 3 | B in octave 3} Eighth,B-3-interval class 1,0.5,223.25
Chord {A in octave 3 | E-flat in octave 4} Quarter,A3-tritone,1.0,716/3
Chord {E-flat in octave 2 | B-flat in octave 2} Eighth Triplet (1/3 QL),E-2-interval class 5,1/3,746/3
Chord {B-flat in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,250.0
Chord {F-sharp in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,250.75
Chord {F-sharp in octave 4 | F in octave 4} Zero,F#4-interval class 1,0.0,252.5
Chord {F-sharp in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,253.25
Chord {G-sharp in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,266.25
Chord {F-sharp in octave 4 | F-sharp in octave 3} Quarter,F#4-unison,1.0,820/3
Chord {E-flat in octave 4 | E-flat in octave 3} Double Dotted Quarter,E-4-unison,1.75,26.0
Chord {D in octave 4 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 2,1.25,29.0
Chord {G in octave 3 | C in octave 4} Half,C4-interval class 5,2.0,33.0
Chord {B in octave 3 | F-sharp in octave 3} Eighth Triplet (1/3 QL),B3-interval class 5,1/3,112/3
Chord {F-sharp in octave 5 | E-flat in octave 5} 16th,F#5-interval class 3,0.25,148/3
Chord {E in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,64.0
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,65.75
Chord {C in octave 4 | D in octave 4} 16th,D4-interval class 2,0.25,69.0
Chord {D in octave 5 | E-flat in octave 4} Dotted Eighth,E-4-interval class 1,0.75,263/3
Chord {F in octave 5 | C in octave 6} 16th,F5-interval class 5,0.25,95.25
Chord {C in octave 4 | D in octave 4} Double Dotted Quarter,D4-interval class 2,1.75,128.75
Chord {C-sharp in octave 4 | E in octave 4} Eighth,C#4-interval class 3,0.5,146.0
Chord {E in octave 4 | B in octave 3} 16th,E4-interval class 5,0.25,443/3
Chord {F-sharp in octave 4 | G in octave 3 | D in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),G3-major seventh chord,1/3,455/3
Chord {E in octave 5 | A in octave 5} Zero,A5-interval class 5,0.0,161.5
Chord {A in octave 3 | C in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-major triad,1/3,167.75
Chord {E in octave 4 | E in octave 5 | B in octave 5} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,171.75
Chord {G in octave 2 | G in octave 1} 16th,G2-unison,0.25,174.0
Chord {E in octave 4 | D in octave 4} Quarter,E4-interval class 2,1.0,176.0
Chord {B-flat in octave 4 | F-sharp in octave 4 | C-sharp in octave 4} Dotted Eighth,B-4-major triad,0.75,181.0
Chord {F in octave 3 | C in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),F3-major triad,1/3,191.75
Chord {G in octave 4 | D in octave 4} Quarter,G4-interval class 5,1.0,197.75
Chord {D in octave 5 | B in octave 4} Eighth,B4-interval class 3,0.5,207.5
Chord {E-flat in octave 5 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 3,1/3,208.0
Chord {B-flat in octave 3 | B in octave 3} Dotted Eighth,B-3-interval class 1,0.75,225.0
