428.25
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 2 | F-sharp in octave 3} Dotted Eighth,F#3-interval class 3,0.75,137.75
Chord {F-sharp in octave 5 | F-sharp in octave 4} Quarter Triplet (2/3 QL),F#5-unison,2/3,494/3
Chord {B-flat in octave 3 | E-flat in octave 4} Half Triplet (1 1/3 QL),E-4-interval class 5,4/3,201.25
Chord {C in octave 3 | B-flat in octave 3} Eighth Triplet (1/3 QL),C3-interval class 2,1/3,644/3
Chord {F in octave 6 | F in octave 5} Dotted Eighth,F6-unison,0.75,230.5
Chord {B-flat in octave 6 | B-flat in octave 5} Eighth Triplet (1/3 QL),B-6-unison,1/3,239.75
Chord {C in octave 7 | C in octave 1} Dotted Eighth,C7-unison,0.75,240.75
Chord {G in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),E4-interval class 3,1.25,256.0
Chord {E-flat in octave 7 | E-flat in octave 6} 16th,E-7-unison,0.25,259.0
Chord {F in octave 6 | F in octave 7} 16th,F6-unison,0.25,259.5
Chord {G in octave 7 | B-flat in octave 1} Eighth Triplet (1/3 QL),G7-interval class 3,1/3,784/3
Chord {B-flat in octave 1 | B-flat in octave 2} 16th,B-1-unison,0.25,274.5
Chord {D in octave 6 | G in octave 6} Zero,G6-interval class 5,0.0,275.75
Chord {F in octave 7 | B-flat in octave 6} Eighth,B-6-interval class 5,0.5,278.25
Chord {F in octave 7 | B-flat in octave 6} Dotted Eighth,B-6-interval class 5,0.75,279.0
Chord {F in octave 6 | C-sharp in octave 2} Dotted Eighth,F6-interval class 4,0.75,857/3
Chord {E-flat in octave 5 | G-sharp in octave 4} Breve Tuplet of 6/5ths (6 2/3 QL),E-5-interval class 5,20/3,896/3
Chord {E-flat in octave 5 | E-flat in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),E-5-interval class 5,2/3,307.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | B-flat in octave 4} Quarter,C#5-incomplete minor-seventh chord,1.0,312.0
Chord {D in octave 4 | F in octave 4} Dotted Quarter,D4-interval class 3,1.5,318.75
Chord {D in octave 4 | F in octave 4} Quarter,D4-interval class 3,1.0,321.0
Chord {E-flat in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 3,2/3,335.25
Chord {B in octave 3 | E-flat in octave 4} Dotted Eighth,E-4-interval class 4,0.75,346.0
Chord {G in octave 4 | G in octave 3} Quarter,G4-unison,1.0,347.0
Chord {F in octave 4 | B in octave 3} Dotted Eighth,B3-tritone,0.75,349.25
Chord {G-sharp in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 5,1/3,350.25
Chord {D in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 4,1/3,353.5
Chord {D in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 5,1/3,1064/3
Chord {B-flat in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-5-unison,1/3,377.0
Chord {C in octave 6 | G-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),C6-interval class 4,1.25,378.25
Chord {C in octave 7 | B-flat in octave 1} Eighth,C7-interval class 2,0.5,383.25
Chord {F in octave 5 | B-flat in octave 4} Half tied to Eighth (2 1/2 total QL),B-4-interval class 5,2.5,415.0
Chord {G-sharp in octave 1 | A in octave 4} Eighth Triplet (1/3 QL),A4-interval class 1,1/3,142.5
Chord {G-sharp in octave 5 | E in octave 5} Eighth,E5-interval class 4,0.5,145.0
Chord {E-flat in octave 5 | B-flat in octave 4} Half,E-5-interval class 5,2.0,161.75
Chord {E in octave 4 | G-sharp in octave 4} Zero,E4-interval class 4,0.0,509/3
Chord {G-sharp in octave 4 | E in octave 4} 16th,E4-interval class 4,0.25,172.25
Chord {E in octave 4 | F-sharp in octave 1} Dotted Eighth,F#1-interval class 2,0.75,173.0
Chord {B-flat in octave 4 | F-sharp in octave 4 | E-flat in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E-4-minor triad,7/3,553/3
Chord {G in octave 4 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),G4-interval class 5,1.25,201.25
Chord {A in octave 6 | A in octave 5} 16th,A6-unison,0.25,238.75
Chord {C in octave 2 | C in octave 6} Quarter Triplet (2/3 QL),C2-unison,2/3,241.0
Chord {G in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),G4-interval class 5,1/3,264.25
Chord {F in octave 4 | D in octave 4} Eighth,D4-interval class 3,0.5,268.5
Chord {D in octave 4 | F in octave 4 | C in octave 4} 16th,D4-incomplete minor-seventh chord,0.25,272.5
Chord {F-sharp in octave 6 | A in octave 6} Half tied to Quarter tied to 16th (3 1/4 total QL),F#6-interval class 3,3.25,281.25
Chord {B in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,309.0
Chord {B-flat in octave 4 | G-sharp in octave 4} Dotted Quarter,G#4-interval class 2,1.5,929/3
Chord {F-sharp in octave 4 | E-flat in octave 4} Double Dotted Quarter,F#4-interval class 3,1.75,949/3
Chord {F in octave 4 | C in octave 4} Double Dotted Quarter,F4-interval class 5,1.75,325.5
Chord {E-flat in octave 3 | G-sharp in octave 2} Quarter Triplet (2/3 QL),E-3-interval class 5,2/3,1013/3
Chord {E-flat in octave 4 | B in octave 3 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),E-4-incomplete half-diminished seventh chord,1.25,1027/3
Chord {G-sharp in octave 4 | E-flat in octave 4} Dotted Eighth,E-4-interval class 5,0.75,348.0
Chord {G in octave 4 | G in octave 6} Quarter,G4-unison,1.0,10.5
Chord {G-sharp in octave 4 | E in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E4-interval class 4,2.75,236/3
Chord {G in octave 4 | F in octave 4} Zero,G4-interval class 2,0.0,95.75
Chord {C in octave 4 | E-flat in octave 4} Quarter,C4-interval class 3,1.0,344/3
Chord {B in octave 4 | G-sharp in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),G#4-interval class 3,7/3,367/3
Chord {G-sharp in octave 2 | D in octave 5} Eighth Triplet (1/3 QL),G#2-tritone,1/3,142.5
Chord {B in octave 3 | E in octave 4} Dotted Eighth,E4-interval class 5,0.75,145.0
Chord {F in octave 4 | C in octave 4} Half tied to Eighth (2 1/2 total QL),F4-interval class 5,2.5,445/3
Chord {G-sharp in octave 4 | E in octave 4} 16th,E4-interval class 4,0.25,511/3
Chord {E in octave 4 | G-sharp in octave 4} 16th,E4-interval class 4,0.25,171.0
Chord {F-sharp in octave 3 | G-sharp in octave 4} 16th,G#4-interval class 2,0.25,171.5
Chord {A in octave 3 | E-flat in octave 4} Dotted Half,A3-tritone,3.0,203.25
Chord {C in octave 4 | E-flat in octave 4} Quarter,C4-interval class 3,1.0,220.0
Chord {F in octave 4 | G-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),G#3-interval class 3,1.25,287.75
Chord {G-sharp in octave 4 | F in octave 4} Dotted Quarter,G#4-interval class 3,1.5,290.0
Chord {B in octave 4 | G-sharp in octave 4} Half Triplet (1 1/3 QL),G#4-interval class 3,4/3,883/3
Chord {B in octave 4 | G-sharp in octave 4} Dotted Quarter,G#4-interval class 3,1.5,890/3
Chord {G-sharp in octave 4 | E in octave 4} Eighth,E4-interval class 4,0.5,309.0
Chord {B-flat in octave 4 | B-flat in octave 3} Quarter,B-4-unison,1.0,349.0
Chord {G in octave 4 | D in octave 5 | E-flat in octave 4} Double Dotted Quarter,E-4-incomplete major-seventh chord,1.75,1067/3
Chord {F in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),G4-interval class 2,2.25,415.0
Chord {D in octave 4 | F in octave 4} Quarter,D4-interval class 3,1.0,120.25
Chord {C-sharp in octave 4 | B-flat in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),C#4-interval class 3,5/3,139.5
Chord {E in octave 4 | G-sharp in octave 4} 16th,E4-interval class 4,0.25,171.5
Chord {E-flat in octave 6 | B-flat in octave 5} Dotted Eighth,E-6-interval class 5,0.75,547/3
Chord {C in octave 4 | G-sharp in octave 3} Quarter,C4-interval class 4,1.0,254.25
Chord {E in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,281.25
