412.0
3/4
FullName,CommonName,Len,Offset
Chord {G in octave 5 | B in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),E4-minor triad,1.25,3.0
Chord {F in octave 5 | F in octave 3} Eighth,F5-unison,0.5,4.75
Chord {E in octave 5 | B in octave 3 | B in octave 4} Quarter,E5-interval class 5,1.0,6.0
Chord {F in octave 4 | A in octave 3} Zero,F4-interval class 4,0.0,11.0
Chord {A in octave 4 | F in octave 4} 16th,F4-interval class 4,0.25,23.0
Chord {C in octave 4 | A in octave 3} 16th,A3-interval class 3,0.25,77/3
Chord {F in octave 3 | D in octave 4} 16th,D4-interval class 3,0.25,28.75
Chord {G in octave 3 | E in octave 3} Quarter Triplet (2/3 QL),E3-interval class 3,2/3,30.0
Chord {G in octave 5 | E in octave 5} Quarter Triplet (2/3 QL),E5-interval class 3,2/3,95/3
Chord {C in octave 6 | A in octave 5} Quarter Triplet (2/3 QL),A5-interval class 3,2/3,33.0
Chord {A in octave 5 | G in octave 3} Quarter Triplet (2/3 QL),A5-interval class 2,2/3,104/3
Chord {F in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),F4-interval class 4,2/3,39.0
Chord {F in octave 3 | C in octave 5} Zero,F3-interval class 5,0.0,40.0
Chord {B in octave 4 | E-flat in octave 4 | G-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-minor triad,1.25,122/3
Chord {G in octave 4 | B-flat in octave 2 | G-sharp in octave 3} Half Triplet (1 1/3 QL),G4-phrygian trichord,4/3,42.0
Chord {G in octave 4 | B-flat in octave 2} Quarter tied to 16th (1 1/4 total QL),G4-interval class 3,1.25,131/3
Chord {C-sharp in octave 4 | A in octave 2} Quarter,A2-interval class 4,1.0,46.75
Chord {G in octave 4 | C in octave 4} Quarter,C4-interval class 5,1.0,149/3
Chord {G-sharp in octave 3 | B in octave 3 | F in octave 4} Quarter Triplet (2/3 QL),G#3-diminished triad,2/3,158/3
Chord {E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,56.5
Chord {C in octave 5 | G in octave 4} Quarter Triplet (2/3 QL),C5-interval class 5,2/3,57.25
Chord {G-sharp in octave 3 | E in octave 5} Whole Triplet (2 2/3 QL),E5-interval class 4,8/3,63.0
Chord {G in octave 6 | G in octave 5} Zero,G6-unison,0.0,224/3
Chord {F in octave 3 | E in octave 4} Dotted Eighth,F3-interval class 1,0.75,75.0
Chord {D in octave 4 | G-sharp in octave 3} Eighth,G#3-tritone,0.5,78.0
Chord {D in octave 4 | G in octave 4 | E in octave 6 | C in octave 6 | G in octave 5} Quarter Triplet (2/3 QL),C6-major-second major tetrachord,2/3,239/3
Chord {C in octave 4 | C-sharp in octave 4} Quarter,C4-interval class 1,1.0,81.0
Chord {A in octave 6 | G in octave 3 | F in octave 6 | G in octave 6} Eighth Triplet (1/3 QL),F6-whole-tone trichord,1/3,82.5
Chord {G in octave 5 | G in octave 4} Eighth,G5-unison,0.5,84.0
Chord {F in octave 5 | F in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F5-interval class 5,1/3,85.0
Chord {F in octave 4 | A in octave 4 | C in octave 5} Eighth,F4-major triad,0.5,86.0
Chord {G in octave 4 | D in octave 4} Dotted Eighth,G4-interval class 5,0.75,90.0
Chord {A in octave 5 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),A5-interval class 5,1.25,100.0
Chord {G in octave 3 | F in octave 4 | C in octave 4} Eighth,F4-quartal trichord,0.5,331/3
Chord {G in octave 6 | E in octave 4} Dotted Eighth,E4-interval class 3,0.75,111.25
Chord {B in octave 6 | B in octave 5} Dotted Eighth,B6-unison,0.75,338/3
Chord {B in octave 3 | D in octave 4 | G in octave 3} Zero,G3-major triad,0.0,115.5
Chord {F-sharp in octave 4 | F-sharp in octave 3} 16th,F#4-unison,0.25,362/3
Chord {C in octave 4 | A in octave 4 | F in octave 4} Eighth,F4-major triad,0.5,374/3
Chord {E in octave 4 | C-sharp in octave 4} Quarter,C#4-interval class 3,1.0,129.0
