556.8333333333334
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 5 | C in octave 3} Eighth Triplet (1/3 QL),C3-interval class 5,1/3,62/3
Chord {G-sharp in octave 5 | E-flat in octave 5} Dotted Eighth,E-5-interval class 5,0.75,26.5
Chord {G in octave 5 | G in octave 4} Quarter Triplet (2/3 QL),G5-unison,2/3,83/3
Chord {G-sharp in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 5,1/3,109/3
Chord {G in octave 4 | E-flat in octave 2} Quarter Triplet (2/3 QL),E-2-interval class 4,2/3,63.0
Chord {G in octave 3 | G in octave 5} Dotted Eighth,G3-unison,0.75,194/3
Chord {C in octave 7 | C in octave 6} Dotted Eighth,C7-unison,0.75,76.0
Chord {G-sharp in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Half,E-4-interval class 5,2.0,86.5
Chord {G in octave 4 | B-flat in octave 3} Dotted Eighth,G4-interval class 3,0.75,90.0
Chord {D in octave 5 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-interval class 5,1.25,133.75
Chord {B-flat in octave 4 | F-sharp in octave 4} Dotted Eighth,B-4-interval class 4,0.75,136.75
Chord {G in octave 4 | E in octave 4} Dotted Eighth,E4-interval class 3,0.75,139.25
Chord {E-flat in octave 4 | G in octave 3} Dotted Eighth,E-4-interval class 4,0.75,141.0
Chord {B-flat in octave 3 | D in octave 4} Eighth,B-3-interval class 4,0.5,161.75
Chord {D in octave 6 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),D6-interval class 5,1.25,176.0
Chord {E-flat in octave 6 | G in octave 5} Quarter Triplet (2/3 QL),E-6-interval class 4,2/3,181.0
Chord {F in octave 5 | G-sharp in octave 3} Dotted Eighth,G#3-interval class 3,0.75,192.25
Chord {G in octave 4 | D in octave 4} Eighth,G4-interval class 5,0.5,203.75
Chord {G in octave 5 | B-flat in octave 4} Quarter,G5-interval class 3,1.0,208.5
Chord {C in octave 5 | A in octave 4} Dotted Eighth,A4-interval class 3,0.75,285.25
Chord {F in octave 5 | G-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),G#4-interval class 3,1.25,287.0
Chord {C in octave 4 | G in octave 2} Double Dotted Quarter,C4-interval class 5,1.75,317.0
Chord {C in octave 5 | A in octave 4} Dotted Eighth,A4-interval class 3,0.75,325.5
Chord {G-sharp in octave 5 | B in octave 4} Quarter,G#5-interval class 3,1.0,1105/3
Chord {F in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 5,1/3,1145/3
Chord {G-sharp in octave 3 | B-flat in octave 2} Eighth,G#3-interval class 2,0.5,390.0
Chord {G-sharp in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,400.0
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,420.5
Chord {F in octave 4 | D in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),D5-interval class 3,5/3,434.0
Chord {C in octave 6 | C in octave 5 | G in octave 5} Quarter Triplet (2/3 QL),C6-interval class 5,2/3,449.0
Chord {D in octave 6 | D in octave 5 | B-flat in octave 3 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-4-incomplete major-seventh chord,2/3,1352/3
Chord {G in octave 4 | B-flat in octave 3 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-4-major triad,2/3,451.75
Chord {G in octave 4 | E-flat in octave 4 | B-flat in octave 3} Eighth,E-4-major triad,0.5,453.0
Chord {G in octave 6 | G in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),G6-unison,5/3,454.0
Chord {G in octave 5 | E-flat in octave 5 | C in octave 5} Eighth,C5-minor triad,0.5,459.25
Chord {G in octave 3 | A in octave 5 | C in octave 4 | A in octave 3} Eighth,A5-incomplete minor-seventh chord,0.5,463.5
Chord {G in octave 7 | E in octave 4 | G in octave 6 | D in octave 7 | C in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),C4-major-ninth chord,2/3,467.75
Chord {E in octave 4 | C in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),C4-incomplete major-seventh chord,2/3,470.0
Chord {C in octave 5 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),C5-interval class 5,1.25,1508/3
Chord {C in octave 5 | C in octave 4 | A in octave 4 | G in octave 3} Quarter Triplet (2/3 QL),A4-incomplete minor-seventh chord,2/3,508.25
Chord {G in octave 4 | D in octave 4} Quarter,G4-interval class 5,1.0,542.5
Chord {G in octave 5 | A in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),A6-interval class 2,5/3,550.25
Chord {B-flat in octave 2 | F in octave 3} Half tied to 16th (2 1/4 total QL),B-2-interval class 5,2.25,50.5
