205.25
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 3 | F in octave 3 | G-sharp in octave 2} Eighth,G#2-diminished triad,0.5,41/3
Chord {D in octave 5 | G-sharp in octave 4 | F in octave 4} Eighth,G#4-diminished triad,0.5,15.0
Chord {C in octave 5 | A in octave 4} Eighth,A4-interval class 3,0.5,16.0
Chord {B-flat in octave 4 | D in octave 5} Quarter,B-4-interval class 4,1.0,53/3
Chord {C in octave 2 | D in octave 2} 16th,D2-interval class 2,0.25,19.0
Chord {D in octave 5 | E in octave 4} Quarter Triplet (2/3 QL),E4-interval class 2,2/3,20.25
Chord {C in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,21.5
Chord {A in octave 5 | C in octave 5 | E in octave 5} 16th,A5-minor triad,0.25,22.5
Chord {E in octave 4 | E in octave 5 | A in octave 5} 16th,A5-interval class 5,0.25,23.25
Chord {C in octave 5 | F in octave 5 | A in octave 4} Eighth,F5-major triad,0.5,23.75
Chord {C in octave 6 | C in octave 5} 16th,C6-unison,0.25,27.25
Chord {C in octave 5 | C in octave 6} Zero,C5-unison,0.0,85/3
Chord {C-sharp in octave 4 | B-flat in octave 3} 16th,C#4-interval class 3,0.25,30.0
Chord {D in octave 5 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#4-tritone,1/3,31.0
Chord {B-flat in octave 2 | D in octave 4 | F in octave 4} 16th,B-2-major triad,0.25,36.5
Chord {D in octave 6 | D in octave 5 | C in octave 4} Quarter Triplet (2/3 QL),D6-interval class 2,2/3,37.75
Chord {A in octave 3 | C in octave 4 | F in octave 4} 16th,F4-major triad,0.25,42.0
Chord {D in octave 4 | C in octave 4} Eighth,D4-interval class 2,0.5,43.0
Chord {C in octave 5 | A in octave 3 | D in octave 4 | B-flat in octave 3} 16th,B-3-phrygian tetrachord,0.25,140/3
Chord {C in octave 6 | C in octave 5} 16th,C6-unison,0.25,48.75
