554.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | D in octave 4 | E-flat in octave 4} Zero,E-4-incomplete major-seventh chord,0.0,9.75
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3} Zero,C4-incomplete half-diminished seventh chord,0.0,53/3
Chord {G-sharp in octave 3 | C in octave 6} Dotted Quarter,C6-interval class 4,1.5,20.25
Chord {E-flat in octave 6 | E-flat in octave 5 | F in octave 4 | B-flat in octave 5} Eighth,E-6-quartal trichord,0.5,22.25
Chord {B-flat in octave 5 | B-flat in octave 4 | E-flat in octave 4} Whole Triplet (2 2/3 QL),E-4-interval class 5,8/3,24.0
Chord {E-flat in octave 3 | E-flat in octave 6 | D in octave 4} 16th,E-3-interval class 1,0.25,31.75
Chord {A in octave 3 | E-flat in octave 3} 16th,A3-tritone,0.25,34.75
Chord {F in octave 4 | C in octave 6 | C-sharp in octave 4 | B-flat in octave 3} 16th,B-3-major-second minor tetrachord,0.25,38.25
Chord {G-sharp in octave 5 | E in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Quarter tied to 16th (1 1/4 total QL),E4-incomplete major-seventh chord,1.25,40.25
Chord {F-sharp in octave 4 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),F#4-unison,1.25,42.25
Chord {E in octave 4 | G-sharp in octave 4 | G in octave 4} Eighth,E4-major-minor trichord,0.5,80.0
Chord {G in octave 5 | G in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,81.75
Chord {G-sharp in octave 4 | C in octave 5} 16th,C5-interval class 4,0.25,83.25
Chord {G in octave 4 | C in octave 5 | G-sharp in octave 4 | G in octave 5} Eighth Triplet (1/3 QL),C5-incomplete major-seventh chord,1/3,86.75
Chord {E in octave 5 | F in octave 4} Quarter Triplet (2/3 QL),F4-interval class 1,2/3,88.25
Chord {E-flat in octave 5 | G-sharp in octave 4} Eighth,E-5-interval class 5,0.5,90.25
Chord {C in octave 5 | G in octave 4} Eighth,C5-interval class 5,0.5,93.0
Chord {E-flat in octave 5 | C in octave 4} Eighth,C4-interval class 3,0.5,106.75
Chord {G in octave 6 | G in octave 5} Eighth,G6-unison,0.5,119.0
Chord {B-flat in octave 6 | B-flat in octave 5} Eighth Triplet (1/3 QL),B-6-unison,1/3,121.0
Chord {B-flat in octave 6 | B-flat in octave 5} Eighth,B-6-unison,0.5,121.75
Chord {F in octave 6 | F in octave 5} 16th,F6-unison,0.25,125.0
Chord {F in octave 3 | E-flat in octave 6} Zero,F3-interval class 2,0.0,377/3
Chord {C in octave 4 | D in octave 4} Quarter,D4-interval class 2,1.0,140.0
Chord {G in octave 6 | C in octave 6} Quarter Triplet (2/3 QL),C6-interval class 5,2/3,143.75
Chord {G-sharp in octave 5 | E in octave 4 | F in octave 3} Eighth,E4-major-minor trichord,0.5,144.75
Chord {B-flat in octave 6 | C in octave 4} Eighth,C4-interval class 2,0.5,145.75
Chord {C in octave 7 | C in octave 4 | E in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C7-augmented triad,1/3,146.75
