194.5
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 6 | C in octave 4} Eighth,C6-unison,0.5,5/3
Chord {E-flat in octave 4 | E-flat in octave 6} Quarter Triplet (2/3 QL),E-4-unison,2/3,2.75
Chord {B-flat in octave 4 | G in octave 4 | E-flat in octave 4} 16th,E-4-major triad,0.25,14.5
Chord {B-flat in octave 4 | G in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),G4-interval class 3,1/3,15.25
Chord {G in octave 4 | B-flat in octave 3 | E-flat in octave 4 | B in octave 3} 16th,E-4-augmented major tetrachord,0.25,16.5
Chord {F-sharp in octave 3 | F-sharp in octave 6} Zero,F#3-unison,0.0,19.25
Chord {G in octave 3 | C-sharp in octave 4} Quarter,C#4-tritone,1.0,64/3
Chord {G in octave 6 | E-flat in octave 6 | B in octave 5} Quarter,E-6-augmented triad,1.0,23.25
Chord {G-sharp in octave 7 | G-sharp in octave 6} Double Dotted Quarter,G#7-unison,1.75,61.75
Chord {A in octave 7 | F in octave 7 | E-flat in octave 2} Eighth,F7-incomplete dominant-seventh chord,0.5,64.0
Chord {G in octave 5 | B in octave 4} Quarter tied to 16th (1 1/4 total QL),G5-interval class 4,1.25,69.25
Chord {B in octave 5 | C-sharp in octave 6} Zero,C#6-interval class 2,0.0,73.0
Chord {G-sharp in octave 6 | G-sharp in octave 3} Dotted Eighth,G#6-unison,0.75,76.0
Chord {A in octave 6 | F in octave 6} Eighth,F6-interval class 4,0.5,232/3
Chord {G in octave 6 | B in octave 5 | F in octave 5 | F in octave 6} Eighth,G6-incomplete dominant-seventh chord,0.5,79.0
Chord {G-sharp in octave 1 | F in octave 4 | F-sharp in octave 3 | D in octave 4} Half Triplet (1 1/3 QL),G#1-major-third diminished terachord,4/3,268/3
Chord {A in octave 4 | F in octave 4 | C in octave 4} Eighth,F4-major triad,0.5,101.25
Chord {F in octave 4 | A in octave 4} 16th,F4-interval class 4,0.25,102.0
Chord {E-flat in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),A3-tritone,1/3,314/3
Chord {B in octave 5 | B in octave 4} Eighth,B5-unison,0.5,106.0
Chord {B in octave 5 | G-sharp in octave 5 | F-sharp in octave 3 | C-sharp in octave 4 | B in octave 4 | A in octave 3 | E in octave 4 | E in octave 5} Zero,F#3-C all combinatorial (P6, I3, RI9),0.0,107.0
Chord {B in octave 5 | B in octave 4} 16th,B5-unison,0.25,107.5
Chord {G-sharp in octave 5 | E-flat in octave 5 | G-sharp in octave 4 | E-flat in octave 4} 16th,E-5-interval class 5,0.25,110.0
Chord {E-flat in octave 5 | B in octave 4 | G-sharp in octave 4 | E in octave 4} Quarter,E-5-major seventh chord,1.0,112.0
Chord {D in octave 7 | D in octave 6} 16th,D7-unison,0.25,126.75
Chord {C in octave 7 | C in octave 6} Zero,C7-unison,0.0,127.0
Chord {D in octave 3 | G in octave 2} Eighth Triplet (1/3 QL),G2-interval class 5,1/3,127.5
Chord {G in octave 5 | B in octave 4} Dotted Quarter,G5-interval class 4,1.5,416/3
Chord {C in octave 7 | C in octave 6} Eighth Triplet (1/3 QL),C7-unison,1/3,147.75
Chord {C-sharp in octave 7 | C-sharp in octave 6} Eighth Triplet (1/3 QL),C#7-unison,1/3,445/3
Chord {G-sharp in octave 6 | G-sharp in octave 7} Eighth Triplet (1/3 QL),G#6-unison,1/3,452/3
Chord {A in octave 7 | F in octave 7 | E-flat in octave 2} Eighth,F7-incomplete dominant-seventh chord,0.5,455/3
Chord {C-sharp in octave 6 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#6-unison,1/3,491/3
Chord {D in octave 5 | D in octave 6} Zero,D5-unison,0.0,164.0
Chord {D in octave 7 | D in octave 6 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,164.75
Chord {C-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 3} Quarter Triplet (2/3 QL),B-3-major triad,2/3,502/3
Chord {C-sharp in octave 4 | F-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 3} Eighth,C#4-minor seventh chord,0.5,168.25
Chord {F-sharp in octave 3 | C-sharp in octave 4 | B-flat in octave 3 | E-flat in octave 3} Eighth Triplet (1/3 QL),C#4-minor seventh chord,1/3,168.75
Chord {C-sharp in octave 4 | F-sharp in octave 3 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-major triad,1/3,169.5
Chord {F-sharp in octave 3 | C-sharp in octave 4 | B-flat in octave 3} Eighth,B-3-major triad,0.5,170.0
Chord {F-sharp in octave 3 | C-sharp in octave 4 | B-flat in octave 3} Eighth,B-3-major triad,0.5,170.75
Chord {F-sharp in octave 3 | E-flat in octave 2 | C-sharp in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),C#4-minor seventh chord,1/3,171.5
Chord {F-sharp in octave 3 | C-sharp in octave 4 | E-flat in octave 2 | B-flat in octave 3} Quarter Triplet (2/3 QL),C#4-minor seventh chord,2/3,517/3
Chord {F in octave 4 | F-sharp in octave 3 | B-flat in octave 3 | C in octave 4} Dotted Eighth,B-3-minor-second quartal tetrachord,0.75,175.5
Chord {C-sharp in octave 1 | G-sharp in octave 7} Eighth,C#1-interval class 5,0.5,194.0
Chord {F in octave 6 | E-flat in octave 4} Eighth Triplet (1/3 QL),F6-interval class 2,1/3,47.5
Chord {F in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 2,1/3,208/3
Chord {A in octave 4 | B in octave 4} Zero,B4-interval class 2,0.0,217/3
Chord {G in octave 3 | C-sharp in octave 4} Quarter,C#4-tritone,1.0,232/3
