313.5
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 3 | B in octave 3} Quarter,G#3-interval class 3,1.0,7.75
Chord {G-sharp in octave 3 | D in octave 3} Eighth,G#3-tritone,0.5,9.25
Chord {G in octave 3 | C in octave 4} Zero,C4-interval class 5,0.0,31/3
Chord {G-sharp in octave 2 | E-flat in octave 3} 16th,E-3-interval class 5,0.25,10.75
Chord {E-flat in octave 4 | C in octave 4} Zero,C4-interval class 3,0.0,37/3
Chord {F in octave 6 | C in octave 3} Zero,F6-interval class 5,0.0,23.0
Chord {E-flat in octave 4 | G in octave 3 | C in octave 4} 16th,C4-minor triad,0.25,29.0
Chord {E-flat in octave 4 | D in octave 5 | G in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E-4-incomplete major-seventh chord,1/3,92/3
Chord {C-sharp in octave 4 | F-sharp in octave 4} Eighth,F#4-interval class 5,0.5,56.25
Chord {G in octave 3 | G in octave 4} Quarter,G3-unison,1.0,56.75
Chord {F in octave 4 | B in octave 3} Quarter tied to 16th (1 1/4 total QL),B3-tritone,1.25,176/3
Chord {G-sharp in octave 3 | G in octave 2} Eighth,G#3-interval class 1,0.5,60.25
Chord {B-flat in octave 4 | C in octave 4} Eighth,C4-interval class 2,0.5,188/3
Chord {G in octave 3 | C in octave 4 | G in octave 4 | E-flat in octave 4} Eighth,C4-minor triad,0.5,63.75
Chord {A in octave 4 | E-flat in octave 4 | C in octave 4} 16th,A4-diminished triad,0.25,64.75
Chord {C in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-tritone,1/3,67.25
Chord {E-flat in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,205/3
Chord {D in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 4,1/3,76.0
Chord {A in octave 2 | D in octave 5} Eighth Triplet (1/3 QL),D5-interval class 5,1/3,83.0
Chord {F-sharp in octave 3 | D in octave 3} Dotted Eighth,D3-interval class 4,0.75,259/3
Chord {G in octave 3 | B-flat in octave 4} 16th,G3-interval class 3,0.25,92.0
Chord {G in octave 4 | B-flat in octave 3} 16th,G4-interval class 3,0.25,286/3
Chord {E-flat in octave 4 | G in octave 3 | A in octave 2} Eighth,A2-incomplete half-diminished seventh chord,0.5,111.75
Chord {E-flat in octave 5 | F-sharp in octave 4 | B-flat in octave 4} Quarter,E-5-minor triad,1.0,115.75
Chord {F-sharp in octave 4 | F-sharp in octave 3 | D in octave 3} Dotted Eighth,D3-interval class 4,0.75,353/3
Chord {F in octave 4 | D in octave 5} Eighth,D5-interval class 3,0.5,358/3
Chord {E in octave 4 | E in octave 3} Eighth,E4-unison,0.5,364/3
Chord {C-sharp in octave 6 | B-flat in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),C#6-diminished triad,1/3,123.25
Chord {C-sharp in octave 6 | B-flat in octave 4} Eighth,C#6-interval class 3,0.5,124.0
