566.75
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 4,1/3,24.5
Chord {E in octave 4 | B in octave 4} Dotted Eighth,E4-interval class 5,0.75,52.0
Chord {G in octave 4 | C in octave 5} Whole Triplet (2 2/3 QL),C5-interval class 5,8/3,58.75
Chord {B in octave 5 | E in octave 5} Dotted Eighth,E5-interval class 5,0.75,64.5
Chord {E in octave 4 | C in octave 4} Half,C4-interval class 4,2.0,72.5
Chord {A in octave 4 | E in octave 4} Dotted Eighth,A4-interval class 5,0.75,281/3
Chord {E-flat in octave 4 | G in octave 4} Quarter,E-4-interval class 4,1.0,389/3
Chord {D in octave 4 | F-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-interval class 4,5/3,413/3
Chord {D in octave 4 | F in octave 4} Half,D4-interval class 3,2.0,142.25
Chord {F in octave 5 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F5-unison,5/3,157.75
Chord {E-flat in octave 4 | E-flat in octave 5} Quarter,E-4-unison,1.0,160.0
Chord {E-flat in octave 5 | G-sharp in octave 4 | E-flat in octave 4 | B in octave 3} 16th,E-5-minor triad,0.25,176.75
Chord {F-sharp in octave 4 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),F#4-interval class 3,1.25,182.75
Chord {D in octave 2 | B in octave 3} Zero,B3-interval class 3,0.0,190.5
Chord {C in octave 2 | B in octave 3} 16th,C2-interval class 1,0.25,191.5
Chord {C in octave 5 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C5-interval class 4,5/3,196.0
Chord {F in octave 3 | B in octave 3} 16th,B3-tritone,0.25,593/3
Chord {A in octave 4 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),F#3-interval class 3,1.25,198.25
Chord {D in octave 4 | A in octave 4 | B in octave 3 | F-sharp in octave 4} 16th,B3-minor seventh chord,0.25,204.0
Chord {A in octave 2 | B in octave 3} Zero,B3-interval class 2,0.0,207.75
Chord {A in octave 2 | E in octave 4 | B in octave 4 | C in octave 4} Zero,A2-major-second minor tetrachord,0.0,626/3
Chord {B in octave 5 | A in octave 5} Zero,B5-interval class 2,0.0,208.75
Chord {B in octave 3 | A in octave 5} Zero,B3-interval class 2,0.0,208.75
Chord {D in octave 6 | A in octave 5} Dotted Eighth,D6-interval class 5,0.75,210.0
Chord {C-sharp in octave 3 | E-flat in octave 3} 16th,C#3-interval class 2,0.25,647/3
Chord {C in octave 2 | B in octave 3} Zero,C2-interval class 1,0.0,680/3
Chord {C in octave 2 | B in octave 3} 16th,C2-interval class 1,0.25,683/3
Chord {G in octave 4 | B-flat in octave 3 | E-flat in octave 3} Half tied to Eighth (2 1/2 total QL),E-3-major triad,2.5,228.0
Chord {B-flat in octave 3 | D in octave 4} Eighth,B-3-interval class 4,0.5,233.25
Chord {A in octave 4 | B-flat in octave 3 | D in octave 4} Eighth,B-3-incomplete major-seventh chord,0.5,234.25
Chord {G in octave 4 | B-flat in octave 3 | D in octave 4} 16th,G4-minor triad,0.25,235.0
Chord {E in octave 4 | B-flat in octave 3 | G in octave 3 | E in octave 3} Zero,E4-diminished triad,0.0,236.75
Chord {C-sharp in octave 4 | E in octave 3} 16th,C#4-interval class 3,0.25,236.75
