671.3333333333334
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 6 | E-flat in octave 4 | G in octave 4 | C in octave 4} Half Triplet (1 1/3 QL),C6-minor triad,4/3,0.0
Chord {B-flat in octave 5 | G-sharp in octave 3 | B-flat in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),G#3-whole-tone trichord,1/3,8/3
Chord {G in octave 5 | F in octave 4} Half Triplet (1 1/3 QL),G5-interval class 2,4/3,4.0
Chord {C in octave 5 | G-sharp in octave 4 | E-flat in octave 4 | G-sharp in octave 3 | C in octave 4} Dotted Eighth,C5-major triad,0.75,29/3
Chord {B-flat in octave 4 | F-sharp in octave 4 | D in octave 4} Eighth,B-4-augmented triad,0.5,10.5
Chord {F-sharp in octave 4 | B-flat in octave 4 | G in octave 4} 16th,G4-major-minor trichord,0.25,11.25
Chord {B-flat in octave 4 | F in octave 4 | G in octave 3 | C in octave 4} 16th,G3-quartal tetramirror,0.25,13.75
Chord {E in octave 4 | B in octave 3 | G in octave 3} 16th,E4-minor triad,0.25,17.75
Chord {F-sharp in octave 3 | E in octave 4 | G in octave 5 | B in octave 3} 16th,E4-major-second minor tetrachord,0.25,18.75
Chord {E in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,19.25
Chord {E in octave 5 | D in octave 4 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),D4-whole-tone trichord,1.25,19.75
Chord {D in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-interval class 5,2/3,68/3
Chord {B in octave 6 | E in octave 4 | C in octave 4 | G in octave 3 | B in octave 3 | G in octave 6} Zero,C4-major seventh chord,0.0,24.0
Chord {E-flat in octave 4 | G in octave 3 | G in octave 4} Quarter,E-4-interval class 4,1.0,32.0
Chord {E-flat in octave 5 | F-sharp in octave 4 | E-flat in octave 4} Dotted Quarter,F#4-interval class 3,1.5,37.0
Chord {E-flat in octave 4 | F-sharp in octave 4 | A in octave 3 | C in octave 5} 16th,F#4-diminished seventh chord,0.25,39.0
Chord {E-flat in octave 5 | G-sharp in octave 4 | B-flat in octave 3 | C in octave 5} Zero,C5-major-second major tetrachord,0.0,119/3
Chord {E-flat in octave 4 | G-sharp in octave 4} 16th,E-4-interval class 5,0.25,42.0
Chord {G-sharp in octave 4 | C in octave 5 | G-sharp in octave 3} 16th,C5-interval class 4,0.25,43.0
Chord {D in octave 4 | G-sharp in octave 3 | C-sharp in octave 6 | G-sharp in octave 5 | F-sharp in octave 4} 16th,D4-minor-second quartal tetrachord,0.25,44.0
Chord {D in octave 4 | F-sharp in octave 4 | F-sharp in octave 6 | C-sharp in octave 6 | G-sharp in octave 3} Zero,D4-minor-second quartal tetrachord,0.0,44.75
