415.9166666666667
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,16.0
Chord {A in octave 4 | D in octave 3 | D in octave 4} Dotted Eighth,D3-interval class 5,0.75,17.0
Chord {D in octave 1 | F-sharp in octave 3} 16th,D1-interval class 4,0.25,20.75
Chord {F in octave 5 | C in octave 4 | D in octave 5} Double Dotted Quarter,D5-incomplete minor-seventh chord,1.75,22.25
Chord {F in octave 5 | G in octave 3} 16th,G3-interval class 2,0.25,33.0
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,101/3
Chord {E-flat in octave 6 | G-sharp in octave 5 | E in octave 5 | C in octave 6} 16th,C6-augmented major tetrachord,0.25,106/3
Chord {C in octave 6 | E in octave 5} 16th,C6-interval class 4,0.25,36.25
Chord {B-flat in octave 4 | A in octave 5 | C-sharp in octave 5} 16th,A5-major-minor trichord,0.25,37.0
Chord {D in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),D4-interval class 5,2/3,38.5
Chord {D in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),D5-interval class 5,1/3,39.25
Chord {C in octave 5 | G in octave 4} 16th,C5-interval class 5,0.25,40.0
Chord {A in octave 4 | E in octave 4 | F in octave 3 | C in octave 4} 16th,F3-major seventh chord,0.25,40.75
Chord {B in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,46.75
Chord {C in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,49.0
Chord {A in octave 3 | B in octave 4} Half Triplet (1 1/3 QL),B4-interval class 2,4/3,49.75
Chord {C in octave 5 | C-sharp in octave 4} Eighth,C5-interval class 1,0.5,53.75
Chord {C in octave 5 | C-sharp in octave 4} Eighth,C5-interval class 1,0.5,55.5
Chord {E in octave 5 | C in octave 5} Eighth,C5-interval class 4,0.5,203/3
Chord {C-sharp in octave 4 | E in octave 4 | B in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),C#4-incomplete minor-seventh chord,3.25,73.0
Chord {F-sharp in octave 5 | B in octave 2} Eighth,B2-interval class 5,0.5,77.0
Chord {G-sharp in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),G#4-tritone,2/3,241/3
Chord {B-flat in octave 3 | D in octave 4 | G in octave 2} 16th,G2-minor triad,0.25,93.5
