391.5
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | G in octave 3} Eighth,G4-unison,0.5,1.5
Chord {A in octave 4 | A in octave 3} Eighth,A4-unison,0.5,2.0
Chord {C in octave 5 | C in octave 4} Eighth,C5-unison,0.5,2.5
Chord {C in octave 5 | A in octave 4} Quarter,A4-interval class 3,1.0,8.25
Chord {F in octave 6 | F in octave 5} 16th,F6-unison,0.25,29/3
Chord {G in octave 6 | G in octave 5} 16th,G6-unison,0.25,10.0
Chord {E in octave 4 | B in octave 3 | C in octave 4} Quarter,C4-incomplete major-seventh chord,1.0,10.25
Chord {C in octave 6 | C in octave 5} Zero,C6-unison,0.0,11.75
Chord {A in octave 5 | F-sharp in octave 6} Zero,F#6-interval class 3,0.0,13.75
Chord {D in octave 6 | A in octave 6} Zero,D6-interval class 5,0.0,14.0
Chord {A in octave 5 | F-sharp in octave 6} Zero,F#6-interval class 3,0.0,14.25
Chord {A in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),A5-unison,1/3,15.5
Chord {A in octave 5 | A in octave 4 | D in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),D4-minor triad,1.25,16.0
Chord {A in octave 5 | B-flat in octave 3 | D in octave 4 | F in octave 3} 16th,B-3-major seventh chord,0.25,52/3
Chord {C in octave 6 | C in octave 5 | F in octave 3 | D in octave 4 | B-flat in octave 3} 16th,B-3-major-second major tetrachord,0.25,17.75
Chord {D in octave 4 | B-flat in octave 3 | E in octave 3} Eighth,E3-incomplete half-diminished seventh chord,0.5,18.0
Chord {G-sharp in octave 5 | G-sharp in octave 4} 16th,G#5-unison,0.25,18.75
Chord {F in octave 4 | C-sharp in octave 5 | C-sharp in octave 4 | G in octave 5 | G in octave 4 | E in octave 5 | G in octave 3} Zero,C#5-major-third diminished terachord,0.0,19.25
Chord {F in octave 5 | F in octave 4 | C in octave 5} 16th,F5-interval class 5,0.25,19.5
Chord {C-sharp in octave 5 | F in octave 4 | A in octave 4 | E in octave 5} Eighth Triplet (1/3 QL),F4-augmented major tetrachord,1/3,20.0
Chord {A in octave 4 | F in octave 4} Eighth,F4-interval class 4,0.5,22.0
Chord {A in octave 4 | F in octave 4 | C in octave 4} Zero,F4-major triad,0.0,23.0
