660.1666666666666
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 4 | C in octave 4 | A in octave 4} Dotted Eighth,F4-major triad,0.75,8.25
Chord {G in octave 4 | A in octave 3 | C in octave 4 | F in octave 4} Zero,F4-major-second major tetrachord,0.0,9.75
Chord {G in octave 3 | A in octave 3 | C in octave 4} Zero,A3-incomplete minor-seventh chord,0.0,9.75
Chord {G in octave 2 | G in octave 1} Zero,G2-unison,0.0,10.5
Chord {G in octave 4 | B in octave 3 | E-flat in octave 4 | F in octave 3 | G in octave 2} 16th,E-4-augmented seventh chord,0.25,34/3
Chord {G in octave 4 | E-flat in octave 4} Eighth,E-4-interval class 4,0.5,12.25
Chord {D in octave 6 | F in octave 4 | C in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),D6-incomplete minor-seventh chord,1/3,16.0
Chord {D in octave 5 | E in octave 4} Quarter Triplet (2/3 QL),E4-interval class 2,2/3,19.75
Chord {C-sharp in octave 4 | A in octave 2 | B-flat in octave 4} Dotted Eighth,A2-major-minor trichord,0.75,23.75
Chord {F-sharp in octave 3 | G-sharp in octave 2 | A in octave 4 | C in octave 4 | F in octave 4} Dotted Eighth,F#3-major-minor-diminished pentachord,0.75,24.75
Chord {G in octave 2 | C in octave 5} Quarter Triplet (2/3 QL),C5-interval class 5,2/3,28.0
Chord {C in octave 5 | G in octave 4} Dotted Eighth,C5-interval class 5,0.75,89/3
Chord {E in octave 4 | G in octave 3 | B in octave 3} 16th,E4-minor triad,0.25,94/3
Chord {C in octave 4 | F in octave 4} 16th,F4-interval class 5,0.25,32.0
Chord {G in octave 4 | E in octave 3 | D in octave 4} 16th,E3-incomplete minor-seventh chord,0.25,32.25
Chord {B-flat in octave 3 | G-sharp in octave 4 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),C5-whole-tone trichord,1.25,32.75
Chord {A in octave 3 | C-sharp in octave 4 | E in octave 3} Eighth Triplet (1/3 QL),A3-major triad,1/3,36.0
Chord {C in octave 5 | B-flat in octave 5} Eighth Triplet (1/3 QL),C5-interval class 2,1/3,45.75
Chord {C in octave 6 | E in octave 5 | A in octave 5} Zero,A5-minor triad,0.0,139/3
Chord {F in octave 4 | C in octave 5 | F in octave 5 | A in octave 5} Zero,F4-major triad,0.0,47.0
Chord {A in octave 4 | F in octave 5 | C in octave 5} Eighth,F5-major triad,0.5,143/3
Chord {G in octave 4 | C in octave 4} Eighth,C4-interval class 5,0.5,49.5
Chord {B-flat in octave 2 | G in octave 4} 16th,G4-interval class 3,0.25,53.25
Chord {D in octave 4 | G in octave 4} Zero,G4-interval class 5,0.0,166/3
Chord {C in octave 3 | E-flat in octave 5} 16th,C3-interval class 3,0.25,178/3
Chord {E-flat in octave 5 | G-sharp in octave 4 | E in octave 4 | C in octave 5} 16th,C5-augmented major tetrachord,0.25,59.75
Chord {B-flat in octave 4 | E-flat in octave 4 | C in octave 4 | B-flat in octave 3} 16th,C4-incomplete minor-seventh chord,0.25,61.0
Chord {B-flat in octave 4 | B-flat in octave 3 | E-flat in octave 4 | C in octave 4 | G in octave 4} 16th,C4-minor seventh chord,0.25,184/3
Chord {G-sharp in octave 3 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#3-unison,1/3,61.75
Chord {B-flat in octave 4 | B-flat in octave 3 | G-sharp in octave 4} Zero,G#4-interval class 2,0.0,62.25
Chord {C in octave 4 | E-flat in octave 4 | G-sharp in octave 4} 16th,C4-major triad,0.25,62.25
Chord {B-flat in octave 4 | G in octave 3} 16th,G3-interval class 3,0.25,71.25
Chord {D in octave 4 | G in octave 4} Zero,G4-interval class 5,0.0,73.75
Chord {G in octave 4 | B-flat in octave 3 | E-flat in octave 4 | G in octave 3} 16th,E-4-major triad,0.25,223/3
Chord {B-flat in octave 3 | G in octave 4 | E-flat in octave 4} Quarter,E-4-major triad,1.0,75.25
Chord {C in octave 5 | F in octave 4 | C-sharp in octave 4} 16th,F4-incomplete major-seventh chord,0.25,88.5
Chord {A in octave 2 | G in octave 3} Eighth Triplet (1/3 QL),A2-interval class 2,1/3,269/3
Chord {E-flat in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,90.25
Chord {E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-interval class 5,0.5,91.0
Chord {F in octave 3 | G-sharp in octave 4} Zero,G#4-interval class 3,0.0,92.75
Chord {E-flat in octave 4 | C in octave 4} 16th,C4-interval class 3,0.25,92.75
Chord {E in octave 4 | B-flat in octave 3 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),E4-diminished triad,1.25,95.25
Chord {G-sharp in octave 4 | E-flat in octave 4} Zero,E-4-interval class 5,0.0,97.5
Chord {B-flat in octave 4 | B-flat in octave 3} 16th,B-4-unison,0.25,97.75
Chord {B-flat in octave 2 | G-sharp in octave 3} Eighth,G#3-interval class 2,0.5,98.25
Chord {D in octave 4 | C in octave 4} Quarter,D4-interval class 2,1.0,301/3
Chord {F in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),F5-interval class 5,1/3,106.75
Chord {E-flat in octave 2 | B-flat in octave 2} Half,E-2-interval class 5,2.0,114.5
Chord {F in octave 5 | B-flat in octave 4} 16th,B-4-interval class 5,0.25,125.0
Chord {F-sharp in octave 5 | B-flat in octave 4 | C-sharp in octave 5} 16th,B-4-major triad,0.25,125.5
Chord {F in octave 5 | C in octave 5} 16th,F5-interval class 5,0.25,125.75
Chord {C-sharp in octave 4 | E in octave 5 | F in octave 4 | A in octave 4} 16th,F4-augmented major tetrachord,0.25,126.25
Chord {D in octave 5 | F in octave 4 | A in octave 4} 16th,D5-minor triad,0.25,380/3
Chord {A in octave 4 | G in octave 3} Eighth,A4-interval class 2,0.5,128.25
Chord {G in octave 4 | E in octave 4} Dotted Quarter,E4-interval class 3,1.5,129.5
Chord {C-sharp in octave 4 | E in octave 5} 16th,C#4-interval class 3,0.25,131.75
Chord {F in octave 5 | A in octave 4 | C in octave 5} 16th,F5-major triad,0.25,132.75
Chord {B-flat in octave 4 | C-sharp in octave 5 | E in octave 3} 16th,C#5-diminished triad,0.25,400/3
Chord {B-flat in octave 3 | B-flat in octave 4 | G in octave 4} 16th,G4-interval class 3,0.25,401/3
Chord {D in octave 5 | F in octave 4 | A in octave 4} 16th,D5-minor triad,0.25,134.5
Chord {F in octave 3 | C in octave 5 | F in octave 4 | A in octave 4} 16th,F3-major triad,0.25,135.0
Chord {G in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,E-4-major triad,0.25,138.0
Chord {G in octave 4 | A in octave 3} Eighth,A3-interval class 2,0.5,138.75
Chord {G in octave 2 | G in octave 4} Zero,G2-unison,0.0,419/3
Chord {G in octave 4 | G in octave 2} Zero,G4-unison,0.0,140.0
Chord {G in octave 3 | A in octave 2 | B-flat in octave 4 | F-sharp in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-major-minor-diminished pentachord,1/3,140.75
Chord {F-sharp in octave 3 | A in octave 4 | C in octave 4} Eighth,F#3-diminished triad,0.5,427/3
Chord {G in octave 2 | E in octave 3} 16th,E3-interval class 3,0.25,145.5
Chord {E in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,439/3
Chord {G in octave 4 | E in octave 4 | G in octave 3} 16th,E4-interval class 3,0.25,148.0
Chord {C in octave 4 | D in octave 4} Zero,D4-interval class 2,0.0,476/3
Chord {C in octave 4 | D in octave 4} Zero,D4-interval class 2,0.0,159.0
Chord {D in octave 4 | C in octave 4} Zero,D4-interval class 2,0.0,159.5
Chord {D in octave 4 | E in octave 3 | C in octave 4} Zero,C4-whole-tone trichord,0.0,481/3
Chord {C in octave 4 | D in octave 4} Zero,D4-interval class 2,0.0,482/3
Chord {E in octave 7 | F in octave 7} Zero,F7-interval class 1,0.0,508/3
Chord {A in octave 7 | G in octave 7} 16th,A7-interval class 2,0.25,170.25
Chord {B-flat in octave 4 | B-flat in octave 3} Zero,B-4-unison,0.0,526/3
