1076.3333333333333
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 2 | D in octave 2} Zero,E2-interval class 2,0.0,775.0
Chord {F in octave 2 | E-flat in octave 2} Zero,F2-interval class 2,0.0,875.75
Chord {C-sharp in octave 5 | C-sharp in octave 4} Dotted Quarter,C#5-unison,1.5,29.5
Chord {G in octave 4 | B-flat in octave 3} Half Triplet (1 1/3 QL),G4-interval class 3,4/3,86.0
Chord {B in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G#4-interval class 3,2/3,93.0
Chord {E-flat in octave 5 | F in octave 4} Dotted Half,F4-interval class 2,3.0,320/3
Chord {D in octave 5 | B-flat in octave 4} Double Dotted Half,B-4-interval class 4,3.5,111.0
Chord {C in octave 5 | E in octave 4} Whole tied to Half tied to 16th (6 1/4 total QL),C5-interval class 4,6.25,114.75
Chord {D in octave 4 | F in octave 4 | F in octave 3} Double Dotted Quarter,D4-interval class 3,1.75,154.0
Chord {G in octave 4 | E-flat in octave 4} Half,E-4-interval class 4,2.0,157.5
Chord {F in octave 2 | F in octave 1} Dotted Eighth,F2-unison,0.75,189.0
Chord {D in octave 2 | G in octave 3} Quarter Triplet (2/3 QL),G3-interval class 5,2/3,193.25
Chord {B-flat in octave 3 | F in octave 3} Quarter Triplet (2/3 QL),B-3-interval class 5,2/3,211.0
Chord {G in octave 2 | G in octave 3} Eighth Triplet (1/3 QL),G2-unison,1/3,266.0
Chord {G in octave 1 | G in octave 2} Dotted Eighth,G1-unison,0.75,292.25
Chord {G in octave 3 | G in octave 1 | G in octave 2} Eighth Triplet (1/3 QL),G3-unison,1/3,293.5
Chord {G-sharp in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-interval class 4,1.25,397.0
Chord {B-flat in octave 2 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,403.75
Chord {B-flat in octave 4 | B-flat in octave 2 | E-flat in octave 4 | G in octave 4 | C in octave 4 | G-sharp in octave 3} Half Triplet (1 1/3 QL),C4-major-ninth chord,4/3,1217/3
Chord {B in octave 3 | D in octave 4} Half,B3-interval class 3,2.0,410.0
Chord {G-sharp in octave 6 | G-sharp in octave 3} Eighth,G#6-unison,0.5,450.0
Chord {F in octave 4 | C in octave 4} 16th,F4-interval class 5,0.25,452.0
Chord {G in octave 4 | D in octave 4 | G-sharp in octave 3} 16th,G4-tritone-fourth,0.25,464.25
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,1397/3
Chord {B-flat in octave 4 | F in octave 4} 16th,B-4-interval class 5,0.25,480.25
Chord {A in octave 4 | F in octave 4} 16th,F4-interval class 4,0.25,481.75
Chord {D in octave 6 | A in octave 4} 16th,D6-interval class 5,0.25,482.75
Chord {G in octave 4 | D in octave 4} Eighth,G4-interval class 5,0.5,489.0
Chord {E-flat in octave 4 | G in octave 3} Zero,E-4-interval class 4,0.0,1538/3
Chord {B in octave 3 | G in octave 3} 16th,G3-interval class 4,0.25,1538/3
Chord {G in octave 4 | F in octave 4 | C in octave 4} Zero,F4-quartal trichord,0.0,528.0
Chord {G-sharp in octave 5 | B in octave 3} Eighth Triplet (1/3 QL),G#5-interval class 3,1/3,530.0
Chord {E-flat in octave 5 | G in octave 5} Eighth,E-5-interval class 4,0.5,537.0
Chord {D in octave 5 | F in octave 5} Eighth Triplet (1/3 QL),D5-interval class 3,1/3,538.0
Chord {C in octave 5 | E-flat in octave 5} 16th,C5-interval class 3,0.25,538.75
Chord {D in octave 5 | B-flat in octave 4} 16th,B-4-interval class 4,0.25,1619/3
Chord {E-flat in octave 5 | B in octave 3 | G in octave 5} 16th,E-5-augmented triad,0.25,542.0
Chord {B-flat in octave 3 | E-flat in octave 5 | G-sharp in octave 5 | G-sharp in octave 4} Half Triplet (1 1/3 QL),E-5-quartal trichord,4/3,543.0
Chord {F in octave 5 | C-sharp in octave 5} 16th,F5-interval class 4,0.25,545.25
Chord {F-sharp in octave 4 | G in octave 5 | B in octave 4 | D in octave 5 | D in octave 4} 16th,G5-major seventh chord,0.25,546.25
Chord {F in octave 4 | C in octave 4} 16th,F4-interval class 5,0.25,560.0
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,1685/3
Chord {F-sharp in octave 4 | G-sharp in octave 3} 16th,G#3-interval class 2,0.25,570.75
Chord {G in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),G4-interval class 5,1/3,574.25
Chord {B-flat in octave 2 | G-sharp in octave 3} Zero,G#3-interval class 2,0.0,594.75
Chord {D in octave 4 | B-flat in octave 3} Zero,B-3-interval class 4,0.0,1802/3
Chord {E-flat in octave 4 | F-sharp in octave 4} 16th,F#4-interval class 3,0.25,604.0
Chord {F-sharp in octave 4 | D in octave 4} Zero,D4-interval class 4,0.0,1853/3
Chord {F in octave 4 | G in octave 3 | C in octave 4} Zero,F4-quartal trichord,0.0,620.0
Chord {D in octave 4 | G-sharp in octave 3} 16th,G#3-tritone,0.25,640.0
Chord {D in octave 4 | F-sharp in octave 4} Zero,D4-interval class 4,0.0,1925/3
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,662.25
Chord {E-flat in octave 6 | E-flat in octave 5 | G-sharp in octave 4} 16th,E-6-interval class 5,0.25,2012/3
Chord {E-flat in octave 4 | G-sharp in octave 4 | G-sharp in octave 6 | G-sharp in octave 5} Quarter,E-4-interval class 5,1.0,672.0
Chord {D in octave 7 | G in octave 4 | D in octave 4} Double Dotted Quarter,G4-interval class 5,1.75,2021/3
Chord {B-flat in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 5,1/3,679.0
Chord {C in octave 4 | G in octave 3} Dotted Quarter,C4-interval class 5,1.5,680.0
Chord {E-flat in octave 3 | B-flat in octave 3} Zero,E-3-interval class 5,0.0,694.75
Chord {E-flat in octave 3 | C in octave 4} 16th,C4-interval class 3,0.25,700.25
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,2114/3
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,711.75
Chord {B-flat in octave 3 | G in octave 5 | G-sharp in octave 4} Eighth,G5-phrygian trichord,0.5,715.0
