383.6666666666667
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 3 | A in octave 3 | B in octave 3} Whole tied to 16th (4 1/4 total QL),A3-quartal trichord,4.25,0.0
Chord {D in octave 4 | G in octave 4 | D in octave 5} 16th,G4-interval class 5,0.25,5.0
Chord {D in octave 4 | D in octave 5 | B in octave 3 | A in octave 3 | G in octave 4 | E in octave 3} Zero,E3-major pentatonic,0.0,5.75
Chord {E in octave 5 | D in octave 4 | D in octave 5} Quarter Triplet (2/3 QL),E5-interval class 2,2/3,6.75
Chord {G-sharp in octave 3 | F in octave 4 | F in octave 6 | C in octave 4 | F in octave 5} 16th,F4-minor triad,0.25,8.75
Chord {G-sharp in octave 3 | F in octave 4 | F in octave 6 | F in octave 5 | C in octave 4} Eighth Triplet (1/3 QL),F4-minor triad,1/3,9.0
Chord {G-sharp in octave 3 | F in octave 4 | C in octave 4 | F in octave 6 | F in octave 5} 16th,F4-minor triad,0.25,9.75
Chord {G-sharp in octave 3 | F in octave 4 | F in octave 6 | F in octave 5 | C in octave 4} 16th,F4-minor triad,0.25,10.0
Chord {G in octave 6 | F in octave 4 | C-sharp in octave 4 | G in octave 5 | C in octave 4} 16th,F4-minor-second quartal tetrachord,0.25,10.75
Chord {G-sharp in octave 3 | F in octave 6} Eighth Triplet (1/3 QL),G#3-interval class 3,1/3,11.0
Chord {F in octave 6 | F in octave 5 | C-sharp in octave 4 | G in octave 3} 16th,F6-incomplete half-diminished seventh chord,0.25,11.75
Chord {E-flat in octave 2 | E-flat in octave 1} 16th,E-2-unison,0.25,38/3
Chord {C in octave 5 | C-sharp in octave 4 | F in octave 4} Dotted Eighth,F4-incomplete major-seventh chord,0.75,41/3
Chord {F-sharp in octave 4 | A in octave 3} Eighth,F#4-interval class 3,0.5,18.75
Chord {A in octave 4 | F-sharp in octave 4 | D in octave 4} Eighth,D4-major triad,0.5,20.25
Chord {B in octave 3 | D in octave 4 | G in octave 3} Quarter Triplet (2/3 QL),G3-major triad,2/3,20.75
Chord {A in octave 3 | F-sharp in octave 4} Zero,F#4-interval class 3,0.0,24.0
Chord {G in octave 6 | E in octave 3} 16th,E3-interval class 3,0.25,27.0
Chord {G in octave 4 | D in octave 4} Half tied to 16th (2 1/4 total QL),G4-interval class 5,2.25,28.75
Chord {C in octave 5 | E in octave 4 | G-sharp in octave 3} 16th,C5-augmented triad,0.25,38.0
Chord {E in octave 4 | C in octave 4 | G in octave 3} Quarter Triplet (2/3 QL),C4-major triad,2/3,119/3
Chord {B in octave 4 | C in octave 4 | B in octave 3 | E in octave 4 | G in octave 4} 16th,C4-major seventh chord,0.25,122/3
Chord {G-sharp in octave 4 | C in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),C4-augmented triad,2/3,44.0
Chord {C in octave 4 | G-sharp in octave 4 | E in octave 4 | B in octave 3} Eighth,C4-augmented major tetrachord,0.5,45.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-minor triad,1/3,46.0
Chord {E in octave 4 | C in octave 4} Dotted Eighth,C4-interval class 4,0.75,140/3
Chord {C in octave 5 | C in octave 4 | C-sharp in octave 4} Quarter Triplet (2/3 QL),C5-interval class 1,2/3,49.0
Chord {C-sharp in octave 4 | F in octave 4} Zero,F4-interval class 4,0.0,158/3
Chord {C-sharp in octave 4 | C in octave 4} Quarter,C#4-interval class 1,1.0,161/3
Chord {G in octave 3 | B in octave 3} 16th,G3-interval class 4,0.25,196/3
Chord {F-sharp in octave 4 | A in octave 4} Dotted Quarter,F#4-interval class 3,1.5,66.0
Chord {G-sharp in octave 3 | B-flat in octave 2} 16th,G#3-interval class 2,0.25,72.0
Chord {C-sharp in octave 4 | C in octave 5 | F in octave 4} Dotted Eighth,F4-incomplete major-seventh chord,0.75,74.0
Chord {C-sharp in octave 4 | F in octave 4} Dotted Eighth,F4-interval class 4,0.75,76.0
Chord {G in octave 3 | C in octave 6 | F in octave 4 | C in octave 5 | F in octave 5} Eighth,F4-quartal trichord,0.5,78.0
Chord {C-sharp in octave 4 | F in octave 5 | F in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F5-incomplete major-seventh chord,1/3,78.75
Chord {E-flat in octave 5 | C-sharp in octave 4} 16th,C#4-interval class 2,0.25,238/3
Chord {D in octave 4 | B in octave 5 | B in octave 3} Eighth,B5-interval class 3,0.5,80.0
Chord {D in octave 3 | D in octave 4 | G in octave 2} Quarter,G2-interval class 5,1.0,81.5
Chord {E in octave 3 | B in octave 3 | E in octave 4} 16th,E3-interval class 5,0.25,82.5
Chord {A in octave 3 | F-sharp in octave 5 | D in octave 5 | F-sharp in octave 4 | D in octave 4} 16th,D5-major triad,0.25,89.0
Chord {F-sharp in octave 4 | D in octave 4} 16th,D4-interval class 4,0.25,90.0
Chord {C in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,92.0
Chord {E in octave 5 | C in octave 5} Eighth,C5-interval class 4,0.5,93.0
Chord {D in octave 5 | B in octave 4 | D in octave 4} 16th,B4-interval class 3,0.25,94.0
Chord {F in octave 4 | C in octave 4 | F in octave 3 | D in octave 4} 16th,D4-incomplete minor-seventh chord,0.25,290/3
Chord {D in octave 6 | E in octave 4 | D in octave 5} 16th,E4-interval class 2,0.25,104.0
Chord {E in octave 6 | A in octave 3 | E in octave 4 | E in octave 5 | C in octave 4} 16th,A3-minor triad,0.25,104.5
Chord {E in octave 4 | C in octave 4 | A in octave 3 | E in octave 6 | E in octave 5 | B in octave 3} Eighth Triplet (1/3 QL),A3-major-second minor tetrachord,1/3,105.25
Chord {E in octave 6 | E in octave 5 | C in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),C4-incomplete major-seventh chord,1/3,105.75
Chord {E in octave 4 | E in octave 6 | E in octave 5} 16th,E4-unison,0.25,106.5
Chord {C in octave 6 | E in octave 4 | C in octave 5 | C in octave 4} 16th,C6-interval class 4,0.25,107.0
Chord {E in octave 4 | C in octave 4 | C in octave 6} Zero,C4-interval class 4,0.0,323/3
Chord {B in octave 5 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 4,1/3,108.25
Chord {B in octave 5 | B-flat in octave 3 | E-flat in octave 5 | G in octave 5} Eighth,E-5-augmented major tetrachord,0.5,109.0
Chord {B in octave 5 | B in octave 4} Eighth,B5-unison,0.5,109.75
Chord {B-flat in octave 5 | B-flat in octave 4 | E-flat in octave 5} 16th,E-5-interval class 5,0.25,332/3
Chord {A in octave 5 | E-flat in octave 5} Zero,A5-tritone,0.0,111.0
Chord {G in octave 4 | B-flat in octave 1 | C-sharp in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C#4-minor-second diminished tetrachord,1/3,114.0
Chord {C in octave 4 | F-sharp in octave 4} Eighth,F#4-tritone,0.5,119.0
Chord {A in octave 4 | F-sharp in octave 4 | D in octave 4} Dotted Eighth,D4-major triad,0.75,120.0
Chord {A in octave 4 | B in octave 3 | D in octave 4 | F-sharp in octave 4} 16th,B3-minor seventh chord,0.25,121.75
Chord {C-sharp in octave 4 | C-sharp in octave 3} 16th,C#4-unison,0.25,374/3
Chord {B-flat in octave 2 | B-flat in octave 3} 16th,B-2-unison,0.25,377/3
Chord {C in octave 3 | C in octave 4} Eighth,C3-unison,0.5,126.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,383/3
Chord {D in octave 4 | D in octave 3} Zero,D4-unison,0.0,128.0
Chord {B in octave 3 | B in octave 2} 16th,B3-unison,0.25,386/3
Chord {F-sharp in octave 2 | F-sharp in octave 3} Eighth,F#2-unison,0.5,129.0
Chord {E in octave 3 | E in octave 2} Half tied to Eighth (2 1/2 total QL),E3-unison,2.5,130.0
Chord {A in octave 2 | A in octave 3} Quarter Triplet (2/3 QL),A2-unison,2/3,135.75
