719.6666666666666
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,9.0
Chord {G-sharp in octave 5 | C in octave 5} Dotted Eighth,C5-interval class 4,0.75,35/3
Chord {F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,44/3
Chord {E-flat in octave 5 | E in octave 4} Eighth,E-5-interval class 1,0.5,49/3
Chord {C-sharp in octave 5 | C-sharp in octave 4 | B-flat in octave 4} Dotted Eighth,C#5-interval class 3,0.75,17.0
Chord {B in octave 4 | G in octave 4} Eighth,G4-interval class 4,0.5,23.25
Chord {G in octave 5 | B-flat in octave 2 | G in octave 4} Eighth Triplet (1/3 QL),G5-interval class 3,1/3,79/3
Chord {G in octave 5 | B-flat in octave 4} Eighth,G5-interval class 3,0.5,29.25
Chord {C in octave 5 | G-sharp in octave 2 | B-flat in octave 4 | G in octave 3} Quarter Triplet (2/3 QL),C5-phrygian tetrachord,2/3,73.0
Chord {G in octave 4 | C in octave 5} Eighth,C5-interval class 5,0.5,74.25
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 5 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),C5-major triad,1.25,77.0
Chord {G-sharp in octave 3 | C in octave 4} Eighth,C4-interval class 4,0.5,86.0
Chord {E-flat in octave 4 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,88.0
Chord {E-flat in octave 2 | D in octave 4} Eighth,E-2-interval class 1,0.5,271/3
Chord {B-flat in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-tritone,1/3,92.5
Chord {C in octave 5 | B-flat in octave 3} 16th,C5-interval class 2,0.25,281/3
Chord {C-sharp in octave 5 | F in octave 4} Eighth,F4-interval class 4,0.5,95.0
Chord {E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,97.25
Chord {B-flat in octave 3 | F in octave 5} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,97.75
Chord {G in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-unison,1/3,299/3
Chord {B-flat in octave 5 | E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-interval class 5,0.5,102.0
Chord {B in octave 5 | B in octave 4} Eighth Triplet (1/3 QL),B5-unison,1/3,102.5
Chord {B in octave 5 | B in octave 4} 16th,B5-unison,0.25,103.25
Chord {C-sharp in octave 6 | C-sharp in octave 5} Eighth,C#6-unison,0.5,104.0
Chord {E-flat in octave 6 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-6-unison,1/3,105.5
Chord {F in octave 4 | C in octave 4 | G in octave 3} Dotted Eighth,F4-quartal trichord,0.75,106.0
Chord {F in octave 6 | F in octave 5} Eighth,F6-unison,0.5,106.75
Chord {D in octave 4 | B-flat in octave 3} Half Triplet (1 1/3 QL),B-3-interval class 4,4/3,111.5
Chord {D in octave 5 | G in octave 4 | D in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),G4-quartal trichord,2/3,120.0
Chord {F-sharp in octave 4 | E-flat in octave 4} Half Triplet (1 1/3 QL),F#4-interval class 3,4/3,121.25
Chord {B-flat in octave 4 | G in octave 4} Dotted Eighth,G4-interval class 3,0.75,123.5
Chord {C in octave 1 | B-flat in octave 3} Eighth,C1-interval class 2,0.5,127.0
Chord {B-flat in octave 4 | E-flat in octave 5 | G in octave 4 | E in octave 4} Dotted Eighth,E-5-major-diminished tetrachord,0.75,385/3
