458.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 5 | E-flat in octave 4} Eighth,C5-interval class 3,0.5,24.25
Chord {G in octave 4 | D in octave 4 | E in octave 4} Eighth,E4-incomplete minor-seventh chord,0.5,27.25
Chord {C-sharp in octave 6 | C-sharp in octave 5} Quarter,C#6-unison,1.0,33.25
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth,F#5-unison,0.5,125/3
Chord {C in octave 5 | G-sharp in octave 4 | E-flat in octave 4 | B-flat in octave 3} Quarter tied to 16th (1 1/4 total QL),C5-major-second major tetrachord,1.25,157/3
Chord {F-sharp in octave 3 | C-sharp in octave 5 | A in octave 4} Quarter Triplet (2/3 QL),F#3-minor triad,2/3,53.75
Chord {G-sharp in octave 4 | C in octave 5 | E-flat in octave 4} Eighth,C5-major triad,0.5,54.5
Chord {E in octave 4 | B in octave 3} 16th,E4-interval class 5,0.25,55.25
Chord {G-sharp in octave 4 | F in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-incomplete minor-seventh chord,1/3,55.75
Chord {G-sharp in octave 4 | G-sharp in octave 6} Quarter Triplet (2/3 QL),G#4-unison,2/3,69.0
Chord {C-sharp in octave 5 | E in octave 4} 16th,C#5-interval class 3,0.25,271/3
Chord {C-sharp in octave 6 | D in octave 4} Eighth,D4-interval class 1,0.5,286/3
Chord {D in octave 4 | G-sharp in octave 3} Eighth,G#3-tritone,0.5,96.5
Chord {B-flat in octave 5 | F in octave 5} Double Dotted Quarter,B-5-interval class 5,1.75,308/3
Chord {C-sharp in octave 5 | C in octave 3 | E in octave 4} Quarter Triplet (2/3 QL),C#5-major-minor trichord,2/3,334/3
Chord {C in octave 5 | G in octave 4} Quarter,C5-interval class 5,1.0,113.25
Chord {G-sharp in octave 4 | C in octave 5} Quarter,C5-interval class 4,1.0,130.5
Chord {F in octave 5 | F in octave 4} Eighth Triplet (1/3 QL),F5-unison,1/3,141.5
Chord {C in octave 5 | G in octave 4} Dotted Quarter,C5-interval class 5,1.5,168.5
Chord {D in octave 5 | D in octave 4} Quarter,D5-unison,1.0,173.5
Chord {G-sharp in octave 3 | G-sharp in octave 5} Quarter tied to 16th (1 1/4 total QL),G#3-unison,1.25,565/3
Chord {D in octave 5 | A in octave 4} 16th,D5-interval class 5,0.25,577/3
Chord {E-flat in octave 5 | C in octave 5} Eighth,C5-interval class 3,0.5,200.75
Chord {G-sharp in octave 5 | C in octave 5} Quarter,C5-interval class 4,1.0,202.25
Chord {G in octave 5 | E in octave 5} Dotted Eighth,E5-interval class 3,0.75,204.25
Chord {F-sharp in octave 3 | E-flat in octave 4} Quarter Triplet (2/3 QL),F#3-interval class 3,2/3,641/3
Chord {B in octave 4 | F-sharp in octave 4} Double Dotted Quarter,B4-interval class 5,1.75,230.0
Chord {C in octave 5 | G in octave 4} Half Triplet (1 1/3 QL),C5-interval class 5,4/3,232.0
Chord {F in octave 4 | C-sharp in octave 4} Quarter Triplet (2/3 QL),F4-interval class 4,2/3,244.75
Chord {F-sharp in octave 3 | B-flat in octave 3} 16th,B-3-interval class 4,0.25,737/3
Chord {C-sharp in octave 4 | C-sharp in octave 3} 16th,C#4-unison,0.25,253.25
Chord {E-flat in octave 2 | F-sharp in octave 3} Dotted Eighth,F#3-interval class 3,0.75,257.5
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 2} 16th,F2-minor triad,0.25,260.25
Chord {C in octave 5 | E-flat in octave 4} Dotted Eighth,C5-interval class 3,0.75,261.25
Chord {F-sharp in octave 4 | G-sharp in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),G#3-incomplete half-diminished seventh chord,1.25,263.75
Chord {G in octave 3 | F in octave 4} Half,G3-interval class 2,2.0,268.0
Chord {F-sharp in octave 5 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 3} Eighth,B-3-major seventh chord,0.5,271.0
Chord {F in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Eighth Triplet (1/3 QL),B-3-minor triad,1/3,817/3
Chord {F-sharp in octave 3 | F in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Eighth,B-3-major seventh chord,0.5,273.0
Chord {G-sharp in octave 2 | F-sharp in octave 3 | F in octave 4 | B-flat in octave 3} Eighth,G#2-phrygian tetrachord,0.5,273.75
Chord {C-sharp in octave 4 | F in octave 3 | G-sharp in octave 3} Eighth,F3-major triad,0.5,830/3
Chord {C in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,832/3
Chord {E-flat in octave 5 | F in octave 4 | G-sharp in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),C5-minor seventh chord,1/3,835/3
Chord {E-flat in octave 5 | E-flat in octave 4} Eighth,E-5-unison,0.5,279.25
Chord {C-sharp in octave 4 | C-sharp in octave 5} Eighth,C#4-unison,0.5,280.0
Chord {C in octave 4 | C in octave 5} Dotted Eighth,C4-unison,0.75,280.5
Chord {B-flat in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,284.0
Chord {F-sharp in octave 6 | F-sharp in octave 5} Quarter Triplet (2/3 QL),F#6-unison,2/3,286.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C#4-incomplete minor-seventh chord,1/3,289.75
Chord {G-sharp in octave 4 | C-sharp in octave 4} Eighth,C#4-interval class 5,0.5,871/3
Chord {B in octave 3 | A in octave 4 | D in octave 4} 16th,B3-incomplete minor-seventh chord,0.25,291.25
Chord {B-flat in octave 3 | C-sharp in octave 4 | F in octave 4} Zero,B-3-minor triad,0.0,291.75
Chord {F-sharp in octave 3 | G-sharp in octave 3} 16th,G#3-interval class 2,0.25,291.75
Chord {E-flat in octave 4 | G-sharp in octave 3} Quarter Triplet (2/3 QL),E-4-interval class 5,2/3,306.25
Chord {D in octave 4 | E in octave 4 | B-flat in octave 2 | G-sharp in octave 3} Eighth,E4-Messiaen's truncated mode 6,0.5,309.0
Chord {F-sharp in octave 4 | G-sharp in octave 3} 16th,G#3-interval class 2,0.25,310.5
Chord {F in octave 4 | C in octave 5} Quarter,F4-interval class 5,1.0,312.0
Chord {C in octave 5 | C-sharp in octave 4} Eighth Triplet (1/3 QL),C5-interval class 1,1/3,940/3
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 2} 16th,F4-major triad,0.25,317.75
