402.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,5.0
Chord {F in octave 3 | B-flat in octave 3 | A in octave 3} Eighth Triplet (1/3 QL),B-3-incomplete major-seventh chord,1/3,5.5
Chord {E in octave 4 | B-flat in octave 3 | F-sharp in octave 2} 16th,E4-incomplete dominant-seventh chord,0.25,7.75
Chord {C in octave 5 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C5-interval class 4,2/3,26/3
Chord {C in octave 4 | E in octave 3} Eighth,C4-interval class 4,0.5,12.25
Chord {F in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),F5-interval class 5,1/3,13.75
Chord {G in octave 4 | G-sharp in octave 3 | B in octave 3 | G in octave 3} Eighth,G4-major-minor trichord,0.5,20.0
Chord {G-sharp in octave 3 | B in octave 3} Quarter Triplet (2/3 QL),G#3-interval class 3,2/3,62/3
Chord {D in octave 4 | B-flat in octave 3 | G in octave 3} 16th,G3-minor triad,0.25,22.0
Chord {B-flat in octave 3 | F in octave 4 | G in octave 3 | D in octave 4} 16th,G3-minor seventh chord,0.25,22.5
Chord {D in octave 4 | B-flat in octave 3 | F in octave 4} Zero,B-3-major triad,0.0,23.0
Chord {A in octave 4 | F in octave 4 | A in octave 3} 16th,F4-interval class 4,0.25,23.0
Chord {D in octave 5 | B-flat in octave 4 | F in octave 4 | G in octave 4} 16th,G4-minor seventh chord,0.25,23.5
Chord {C in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,24.25
Chord {C-sharp in octave 4 | F-sharp in octave 4 | A in octave 3} 16th,F#4-minor triad,0.25,33.25
Chord {F-sharp in octave 5 | C-sharp in octave 5 | A in octave 4} Zero,F#5-minor triad,0.0,34.5
Chord {C-sharp in octave 5 | A in octave 4 | F-sharp in octave 4} 16th,F#4-minor triad,0.25,35.25
Chord {C-sharp in octave 4 | F in octave 4} Dotted Eighth,F4-interval class 4,0.75,41.75
