857.25
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 6 | B in octave 5} Quarter,B5-interval class 3,1.0,200/3
Chord {E in octave 5 | A in octave 4} Eighth,A4-interval class 5,0.5,226/3
Chord {D in octave 4 | B-flat in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),B-3-interval class 4,2.75,88.25
Chord {B-flat in octave 3 | F in octave 4 | C-sharp in octave 4} Quarter,B-3-minor triad,1.0,101.5
Chord {F in octave 4 | C-sharp in octave 4} Dotted Eighth,F4-interval class 4,0.75,103.0
Chord {D in octave 5 | F-sharp in octave 4} 16th,D5-interval class 4,0.25,115.0
Chord {A in octave 5 | G-sharp in octave 3} 16th,A5-interval class 1,0.25,117.0
Chord {F-sharp in octave 4 | D in octave 4} Eighth,D4-interval class 4,0.5,117.75
Chord {G in octave 6 | A in octave 6} Eighth Triplet (1/3 QL),A6-interval class 2,1/3,355/3
Chord {E in octave 4 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),E4-interval class 3,1.25,121.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | C in octave 4 | G in octave 4} Quarter,C4-major seventh chord,1.0,394/3
Chord {G in octave 6 | D in octave 6} Eighth,G6-interval class 5,0.5,133.0
Chord {E-flat in octave 6 | B-flat in octave 5} Dotted Eighth,E-6-interval class 5,0.75,134.5
Chord {C in octave 6 | G in octave 5} Quarter Triplet (2/3 QL),C6-interval class 5,2/3,136.0
Chord {F in octave 4 | F-sharp in octave 3 | G-sharp in octave 6 | C-sharp in octave 4 | E-flat in octave 6} Eighth Triplet (1/3 QL),C#4-major pentachord,1/3,137.5
Chord {B-flat in octave 6 | B-flat in octave 5 | F in octave 4 | F-sharp in octave 3} 16th,B-6-incomplete major-seventh chord,0.25,138.25
Chord {G-sharp in octave 6 | F in octave 4 | E-flat in octave 6} Quarter,E-6-incomplete minor-seventh chord,1.0,416/3
Chord {E-flat in octave 5 | E in octave 4 | B-flat in octave 5} Zero,E-5-tritone-fourth,0.0,141.0
Chord {G-sharp in octave 4 | B in octave 3} Dotted Quarter,G#4-interval class 3,1.5,144.0
Chord {F-sharp in octave 4 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 4,1.25,448/3
Chord {G in octave 6 | D in octave 6} Quarter Triplet (2/3 QL),G6-interval class 5,2/3,157.0
Chord {D in octave 3 | A in octave 3 | F in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),D3-minor seventh chord,1.25,475/3
Chord {F in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-interval class 3,1.25,161.5
Chord {A in octave 5 | A in octave 3} Eighth,A5-unison,0.5,163.5
Chord {F-sharp in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),F#5-interval class 3,1/3,180.0
Chord {F in octave 3 | F in octave 4} Eighth,F3-unison,0.5,193.5
Chord {G in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 5,2/3,217.5
Chord {E-flat in octave 5 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-5-unison,2/3,222.25
Chord {E in octave 5 | D in octave 4 | C in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),C5-major-second major tetrachord,1/3,226.0
Chord {G in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,227.0
Chord {G-sharp in octave 3 | E in octave 4} Quarter Triplet (2/3 QL),E4-interval class 4,2/3,228.75
Chord {B in octave 5 | B in octave 4} Quarter Triplet (2/3 QL),B5-unison,2/3,229.75
Chord {E in octave 5 | C in octave 5} Double Dotted Quarter,C5-interval class 4,1.75,748/3
Chord {A in octave 5 | E in octave 4} Dotted Eighth,A5-interval class 5,0.75,255.0
Chord {G-sharp in octave 3 | B in octave 5 | B in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),E4-major triad,2/3,255.75
Chord {C in octave 5 | G in octave 3} Eighth,C5-interval class 5,0.5,257.0
Chord {F in octave 5 | D in octave 6 | B-flat in octave 5} Eighth,B-5-major triad,0.5,258.25
Chord {B-flat in octave 6 | D in octave 6} 16th,B-6-interval class 4,0.25,260.5
Chord {G-sharp in octave 3 | B in octave 3} Dotted Eighth,G#3-interval class 3,0.75,267.0
Chord {D in octave 4 | C in octave 4} Whole,D4-interval class 2,4.0,275.0
Chord {E in octave 5 | A in octave 4} Quarter,A4-interval class 5,1.0,313.75
Chord {D in octave 4 | F in octave 4} Dotted Eighth,D4-interval class 3,0.75,323.0
Chord {F in octave 5 | F in octave 4} Quarter,F5-unison,1.0,325.75
Chord {G in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),G4-interval class 5,1/3,386.25
Chord {D in octave 4 | G in octave 3} 16th,G3-interval class 5,0.25,1171/3
Chord {D in octave 5 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D5-interval class 5,5/3,391.5
Chord {E in octave 4 | G in octave 3 | C in octave 4} 16th,C4-major triad,0.25,417.25
Chord {G in octave 3 | E in octave 4 | C in octave 4} Zero,C4-major triad,0.0,417.75
Chord {C-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 2 | G-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),G#3-major-second major tetrachord,1.25,421.0
Chord {F in octave 3 | E in octave 4 | A in octave 3 | C in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),F3-major seventh chord,2.75,427.0
Chord {D in octave 4 | A in octave 3} Dotted Half,D4-interval class 5,3.0,431.0
Chord {G-sharp in octave 3 | F in octave 3 | D in octave 4} 16th,G#3-diminished triad,0.25,451.0
Chord {B in octave 4 | A in octave 3} 16th,B4-interval class 2,0.25,459.75
Chord {D in octave 6 | G-sharp in octave 3} 16th,G#3-tritone,0.25,1385/3
Chord {C in octave 4 | A in octave 3} Zero,A3-interval class 3,0.0,1388/3
Chord {F-sharp in octave 5 | F in octave 3} 16th,F#5-interval class 1,0.25,1394/3
Chord {G-sharp in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 4,1/3,477.0
Chord {G in octave 3 | E in octave 4 | C in octave 4} Eighth,C4-major triad,0.5,478.0
Chord {F in octave 5 | F in octave 4} Zero,F5-unison,0.0,1445/3
Chord {F-sharp in octave 3 | B-flat in octave 3} Dotted Eighth,B-3-interval class 4,0.75,481.75
