588.8333333333334
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 3 | E-flat in octave 4} Whole Triplet (2 2/3 QL),E-4-interval class 5,8/3,0.75
Chord {D in octave 5 | G in octave 4} Half Triplet (1 1/3 QL),G4-interval class 5,4/3,9.5
Chord {E-flat in octave 4 | G in octave 4 | C in octave 4} 16th,C4-minor triad,0.25,34/3
Chord {E-flat in octave 4 | C in octave 5 | G-sharp in octave 3 | C in octave 4} Eighth,C5-major triad,0.5,12.0
Chord {G in octave 6 | G in octave 5 | G-sharp in octave 3 | C in octave 4 | G in octave 4} Quarter,C4-incomplete major-seventh chord,1.0,13.5
Chord {F in octave 6 | E-flat in octave 4 | G-sharp in octave 3 | G in octave 4 | F in octave 5 | C in octave 4 | C in octave 6} Quarter Triplet (2/3 QL),C4-minor-ninth chord,2/3,15.0
Chord {F in octave 4 | D in octave 4} 16th,D4-interval class 3,0.25,17.0
Chord {G-sharp in octave 4 | D in octave 4 | F in octave 4} Dotted Eighth,G#4-diminished triad,0.75,18.5
Chord {G in octave 4 | B in octave 3 | D in octave 4} Zero,G4-major triad,0.0,58/3
Chord {B-flat in octave 2 | G in octave 4 | E-flat in octave 4} Half Triplet (1 1/3 QL),E-4-major triad,4/3,20.0
Chord {G in octave 3 | C in octave 4} Dotted Eighth,C4-interval class 5,0.75,24.0
Chord {E-flat in octave 5 | A in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),A4-diminished triad,1/3,26.0
Chord {A in octave 4 | C in octave 4} Zero,A4-interval class 3,0.0,27.5
Chord {F-sharp in octave 4 | F-sharp in octave 3} Quarter,F#4-unison,1.0,29.5
Chord {G in octave 3 | C in octave 4} Dotted Eighth,C4-interval class 5,0.75,32.0
Chord {E-flat in octave 4 | G-sharp in octave 3} Dotted Quarter,E-4-interval class 5,1.5,33.5
Chord {E-flat in octave 4 | G-sharp in octave 3} 16th,E-4-interval class 5,0.25,35.75
Chord {D in octave 5 | B in octave 3} Eighth Triplet (1/3 QL),B3-interval class 3,1/3,39.25
