514.5833333333334
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 3 | B in octave 5} 16th,B3-unison,0.25,8.75
Chord {C in octave 2 | F-sharp in octave 2} Zero,F#2-tritone,0.0,47/3
Chord {A in octave 3 | D in octave 4} Zero,D4-interval class 5,0.0,47/3
Chord {F-sharp in octave 4 | D in octave 4} 16th,D4-interval class 4,0.25,47/3
Chord {B in octave 2 | B in octave 3} 16th,B2-unison,0.25,27.75
Chord {F-sharp in octave 2 | C in octave 4 | E in octave 4} Quarter,F#2-incomplete half-diminished seventh chord,1.0,34.0
Chord {C in octave 3 | F-sharp in octave 3 | E in octave 6 | E in octave 5} 16th,F#3-incomplete half-diminished seventh chord,0.25,110/3
Chord {A in octave 5 | D in octave 4 | F in octave 5 | E-flat in octave 3 | C in octave 5} 16th,D4-minor-diminished ninth chord,0.25,39.5
Chord {C in octave 2 | B in octave 3} Zero,C2-interval class 1,0.0,128/3
Chord {B in octave 3 | B-flat in octave 2} Zero,B3-interval class 1,0.0,43.0
Chord {B in octave 3 | F in octave 3} 16th,B3-tritone,0.25,131/3
Chord {F in octave 4 | A in octave 6 | C-sharp in octave 4 | G in octave 3 | A in octave 5} Dotted Eighth,F4-augmented seventh chord,0.75,44.0
Chord {C-sharp in octave 4 | G in octave 6 | C in octave 4 | G in octave 3 | G in octave 5} 16th,C#4-tritone-fourth,0.25,45.0
Chord {E in octave 5 | G in octave 4 | C in octave 5 | G in octave 3 | E in octave 4} 16th,C5-major triad,0.25,47.75
Chord {B-flat in octave 5 | F-sharp in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),B-5-incomplete half-diminished seventh chord,1.25,49.0
Chord {D in octave 6 | D in octave 4 | E in octave 3} Quarter Triplet (2/3 QL),E3-interval class 2,2/3,55.0
Chord {F-sharp in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),F#4-interval class 2,2/3,61.0
Chord {E in octave 4 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),F3-interval class 1,1.25,64.0
Chord {E-flat in octave 5 | B in octave 4 | G in octave 4} Eighth,E-5-augmented triad,0.5,67.0
Chord {B in octave 3 | A in octave 5} Eighth,B3-interval class 2,0.5,68.0
Chord {D in octave 6 | B in octave 5 | E in octave 4} Eighth,E4-incomplete dominant-seventh chord,0.5,79.25
Chord {C-sharp in octave 5 | D in octave 4 | C-sharp in octave 6} Dotted Eighth,D4-interval class 1,0.75,242/3
Chord {F-sharp in octave 6 | F-sharp in octave 5} Eighth Triplet (1/3 QL),F#6-unison,1/3,84.5
Chord {C in octave 6 | C in octave 5 | E in octave 4 | G in octave 3 | B in octave 3} Eighth,C6-major seventh chord,0.5,88.0
Chord {D in octave 6 | D in octave 5 | C in octave 4 | E in octave 4 | G in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),C4-major-ninth chord,1/3,266/3
Chord {E in octave 6 | E in octave 4 | E in octave 5 | G in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),E6-minor triad,1/3,89.5
Chord {B-flat in octave 1 | A in octave 3} 16th,B-1-interval class 1,0.25,103.75
Chord {D in octave 4 | A in octave 3 | C-sharp in octave 4} Eighth,D4-incomplete major-seventh chord,0.5,107.75
Chord {C in octave 4 | B in octave 3} 16th,C4-interval class 1,0.25,113.75
Chord {B in octave 3 | D in octave 2} Zero,B3-interval class 3,0.0,362/3
Chord {D in octave 5 | B-flat in octave 2} Eighth Triplet (1/3 QL),B-2-interval class 4,1/3,389/3
Chord {E-flat in octave 3 | D in octave 2} Eighth,E-3-interval class 1,0.5,133.0
Chord {B in octave 3 | E in octave 3 | G in octave 3} Dotted Quarter,E3-minor triad,1.5,142.0
Chord {C in octave 2 | G in octave 4 | D in octave 4} Zero,C2-quartal trichord,0.0,440/3
Chord {D in octave 5 | E-flat in octave 4 | G in octave 4 | D in octave 4 | E-flat in octave 3} 16th,E-4-incomplete major-seventh chord,0.25,440/3
Chord {C in octave 2 | F in octave 2} Zero,F2-interval class 5,0.0,443/3
Chord {D in octave 4 | E-flat in octave 3 | D in octave 5 | B in octave 4} Dotted Eighth,E-3-major-minor trichord,0.75,157.0
Chord {E in octave 2 | E in octave 4 | C in octave 4 | B in octave 3 | C in octave 6} 16th,C4-incomplete major-seventh chord,0.25,167.75
Chord {F in octave 4 | G-sharp in octave 6 | F-sharp in octave 3 | E-flat in octave 6 | G-sharp in octave 5 | C in octave 4 | B-flat in octave 3} Eighth,C4-dorian hexachord,0.5,169.75
Chord {B in octave 6 | F-sharp in octave 6 | B in octave 5 | F-sharp in octave 3 | F-sharp in octave 2 | D in octave 4 | A in octave 3} 16th,B6-minor seventh chord,0.25,515/3
Chord {G in octave 2 | E-flat in octave 3} Quarter Triplet (2/3 QL),E-3-interval class 4,2/3,172.0
