424.75
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 5 | D in octave 4} Quarter,G5-interval class 5,1.0,32.0
Chord {G-sharp in octave 4 | D in octave 5 | B in octave 4} 16th,G#4-diminished triad,0.25,58.0
Chord {F in octave 5 | B-flat in octave 4} Quarter,B-4-interval class 5,1.0,62.0
Chord {B-flat in octave 4 | F-sharp in octave 4} 16th,B-4-interval class 4,0.25,98.5
Chord {B-flat in octave 5 | G-sharp in octave 5 | E-flat in octave 4 | B in octave 3} 16th,E-4-major-second minor tetrachord,0.25,103.5
Chord {G in octave 5 | D in octave 4 | E in octave 4} Double Dotted Quarter,E4-incomplete minor-seventh chord,1.75,116.25
Chord {C in octave 6 | C in octave 5} Eighth Triplet (1/3 QL),C6-unison,1/3,126.5
Chord {B in octave 5 | D in octave 5 | E-flat in octave 3 | D in octave 4 | G in octave 5 | A in octave 3} Eighth Triplet (1/3 QL),E-3-enigmatic pentachord,1/3,128.0
Chord {B in octave 5 | A in octave 3} Quarter,B5-interval class 2,1.0,129.0
Chord {C in octave 5 | E in octave 5} Quarter,C5-interval class 4,1.0,134.0
Chord {G in octave 4 | C-sharp in octave 4} Quarter Triplet (2/3 QL),C#4-tritone,2/3,139.0
Chord {F in octave 4 | F in octave 3 | E-flat in octave 4} Eighth,F4-interval class 2,0.5,140.0
Chord {F in octave 4 | D in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),B3-diminished triad,1/3,440/3
Chord {E-flat in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Zero,C#4-incomplete dominant-seventh chord,0.0,154.0
Chord {G in octave 3 | C-sharp in octave 4 | A in octave 2} Zero,A2-incomplete dominant-seventh chord,0.0,154.0
Chord {E-flat in octave 4 | C-sharp in octave 4} Quarter Triplet (2/3 QL),C#4-interval class 2,2/3,155.0
Chord {G in octave 5 | G-sharp in octave 3} 16th,G5-interval class 1,0.25,159.5
Chord {E-flat in octave 5 | B in octave 3} Quarter,E-5-interval class 4,1.0,160.0
Chord {G-sharp in octave 5 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-4-interval class 5,2/3,161.5
Chord {B-flat in octave 5 | E-flat in octave 5 | E-flat in octave 4 | B in octave 3} 16th,E-5-incomplete major-seventh chord,0.25,554/3
Chord {G-sharp in octave 5 | E-flat in octave 5 | E-flat in octave 4} 16th,E-5-interval class 5,0.25,557/3
Chord {B in octave 3 | E-flat in octave 5 | E-flat in octave 4 | G in octave 5} Eighth,E-5-augmented triad,0.5,186.0
Chord {E-flat in octave 4 | B in octave 3} Zero,E-4-interval class 4,0.0,187.0
Chord {G in octave 3 | C in octave 3} Quarter,C3-interval class 5,1.0,188.25
Chord {E-flat in octave 5 | G-sharp in octave 4} Eighth Triplet (1/3 QL),E-5-interval class 5,1/3,199.0
Chord {C in octave 6 | C in octave 5} 16th,C6-unison,0.25,208.5
