363.0
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 4 | E-flat in octave 5 | B in octave 5 | G in octave 5} 16th,E-5-augmented triad,0.25,1.0
Chord {G in octave 5 | B in octave 5 | B in octave 4} Eighth,G5-interval class 4,0.5,2.0
Chord {B in octave 5 | B in octave 4 | G in octave 5 | E in octave 5} Zero,E5-minor triad,0.0,8/3
Chord {E in octave 4 | B in octave 3} Quarter,E4-interval class 5,1.0,2.75
Chord {E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 3} Eighth,E-4-minor triad,0.5,14/3
Chord {C in octave 2 | G in octave 2} 16th,C2-interval class 5,0.25,5.5
Chord {E in octave 4 | B in octave 3 | C in octave 4} Zero,C4-incomplete major-seventh chord,0.0,6.5
Chord {G in octave 3 | B-flat in octave 3 | C in octave 3} Eighth Triplet (1/3 QL),C3-incomplete dominant-seventh chord,1/3,9.25
Chord {D in octave 4 | A in octave 3} 16th,D4-interval class 5,0.25,13.0
Chord {C-sharp in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),A3-interval class 4,1/3,15.5
Chord {G in octave 2 | D in octave 4 | F-sharp in octave 3 | A in octave 3} 16th,D4-perfect-fourth major tetrachord,0.25,49/3
Chord {E in octave 4 | B in octave 3 | D in octave 5} Zero,E4-incomplete dominant-seventh chord,0.0,17.25
Chord {A in octave 5 | D in octave 5} Zero,D5-interval class 5,0.0,17.75
Chord {F-sharp in octave 4 | D in octave 4} Eighth,D4-interval class 4,0.5,19.0
Chord {A in octave 3 | B in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),B3-incomplete minor-seventh chord,2/3,20.0
Chord {D in octave 4 | B in octave 3} 16th,B3-interval class 3,0.25,20.75
Chord {D in octave 4 | A in octave 4 | F-sharp in octave 4 | B in octave 3} Eighth,B3-minor seventh chord,0.5,21.5
Chord {D in octave 4 | G in octave 4 | B in octave 3 | F-sharp in octave 4 | E in octave 3} Eighth,E3-minor-ninth chord,0.5,22.0
Chord {A in octave 4 | D in octave 4 | B in octave 3} Eighth,B3-incomplete minor-seventh chord,0.5,68/3
Chord {C-sharp in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,79/3
Chord {C-sharp in octave 4 | F in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),F4-augmented triad,2/3,27.25
Chord {C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4} Eighth,F4-major triad,0.5,30.0
Chord {C in octave 4 | A in octave 2 | E in octave 4} Zero,A2-minor triad,0.0,31.0
