389.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 5 | E in octave 5 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),C5-major triad,1.25,4.0
Chord {G in octave 5 | D in octave 4 | B in octave 3} Dotted Eighth,G5-major triad,0.75,8.0
Chord {B in octave 3 | A in octave 2 | C in octave 4 | G in octave 4 | E in octave 4 | G in octave 3 | E in octave 3} Zero,A2-minor-ninth chord,0.0,29/3
Chord {A in octave 3 | F in octave 3 | D in octave 3} Zero,D3-minor triad,0.0,12.0
Chord {C in octave 4 | C in octave 5 | F in octave 3} Quarter Triplet (2/3 QL),F3-interval class 5,2/3,13.0
Chord {B in octave 4 | E in octave 4 | F in octave 3} Quarter Triplet (2/3 QL),E4-tritone-fourth,2/3,14.0
Chord {E in octave 4 | F in octave 3} Eighth Triplet (1/3 QL),F3-interval class 1,1/3,15.0
Chord {G in octave 5 | B in octave 3 | D in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),G5-major triad,1/3,47/3
Chord {B-flat in octave 3 | C-sharp in octave 4 | G in octave 3} Dotted Eighth,C#4-diminished triad,0.75,53/3
Chord {F-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 4} Eighth,C#4-minor seventh chord,0.5,19.0
Chord {F in octave 4 | C in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-incomplete minor-seventh chord,1/3,59/3
Chord {E in octave 4 | B in octave 3 | F in octave 3} Dotted Eighth,E4-tritone-fourth,0.75,22.0
Chord {C-sharp in octave 5 | A in octave 4 | A in octave 3} 16th,A4-interval class 4,0.25,23.0
Chord {G in octave 5 | B in octave 3 | E in octave 5 | G in octave 3 | D in octave 4 | E in octave 3} Eighth Triplet (1/3 QL),E5-minor seventh chord,1/3,71/3
Chord {C in octave 5 | D in octave 4 | B in octave 3 | G in octave 3 | E in octave 3} 16th,C5-major-ninth chord,0.25,25.0
Chord {E in octave 4 | B in octave 4} Eighth,E4-interval class 5,0.5,26.0
Chord {E in octave 4 | C in octave 5 | C in octave 4 | B in octave 3} 16th,C5-incomplete major-seventh chord,0.25,80/3
Chord {G-sharp in octave 5 | C-sharp in octave 5} Quarter,C#5-interval class 5,1.0,86/3
Chord {E in octave 5 | D in octave 4 | G in octave 4} Dotted Eighth,E5-incomplete minor-seventh chord,0.75,91/3
Chord {G-sharp in octave 4 | D in octave 4} Quarter,G#4-tritone,1.0,95/3
