702.75
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | F in octave 4} Whole tied to Dotted Quarter (5 1/2 total QL),G4-interval class 2,5.5,0.0
Chord {C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F4-interval class 5,2/3,6.0
Chord {C in octave 4 | F in octave 3} Quarter Triplet (2/3 QL),F3-interval class 5,2/3,7.0
Chord {F in octave 6 | C in octave 6} Eighth,F6-interval class 5,0.5,14.0
Chord {A in octave 6 | E in octave 6 | G in octave 3 | C in octave 4 | A in octave 3} Eighth,A6-minor seventh chord,0.5,15.0
Chord {G in octave 6 | C in octave 6 | F in octave 4 | A in octave 3} Zero,F4-major-second major tetrachord,0.0,16.0
Chord {C in octave 4 | G in octave 3} Zero,C4-interval class 5,0.0,16.0
Chord {G in octave 6 | F in octave 4 | G in octave 5 | A in octave 3} Zero,F4-whole-tone trichord,0.0,50/3
Chord {C in octave 6 | G in octave 5 | A in octave 3 | C in octave 4} Zero,A3-incomplete minor-seventh chord,0.0,16.75
Chord {C in octave 4 | F in octave 4 | D in octave 4} Eighth,D4-incomplete minor-seventh chord,0.5,22.0
Chord {D in octave 4 | D in octave 3 | B in octave 3} 16th,B3-interval class 3,0.25,23.0
Chord {C in octave 4 | A in octave 3 | G in octave 3} Half tied to 16th (2 1/4 total QL),A3-incomplete minor-seventh chord,2.25,24.0
Chord {D in octave 6 | G in octave 4 | D in octave 4 | E in octave 4} Eighth,E4-incomplete minor-seventh chord,0.5,32.0
Chord {D in octave 6 | G in octave 4 | E in octave 4 | D in octave 4} Zero,E4-incomplete minor-seventh chord,0.0,32.75
Chord {C in octave 5 | F in octave 4 | F in octave 5 | C in octave 4} Eighth,F4-interval class 5,0.5,45.0
Chord {B-flat in octave 5 | F in octave 5} Dotted Eighth,B-5-interval class 5,0.75,46.0
Chord {G-sharp in octave 3 | G-sharp in octave 5 | G-sharp in octave 4 | C in octave 4} Zero,C4-interval class 4,0.0,52.5
