721.3333333333334
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 6 | C in octave 6} Eighth Triplet (1/3 QL),F6-interval class 5,1/3,86/3
Chord {C in octave 6 | G in octave 5} 16th,C6-interval class 5,0.25,89/3
Chord {D in octave 4 | A in octave 3} Dotted Eighth,D4-interval class 5,0.75,119/3
Chord {G-sharp in octave 4 | B in octave 6} 16th,G#4-interval class 3,0.25,54.0
Chord {C in octave 5 | F in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),F4-major triad,2/3,72.0
Chord {E in octave 5 | F in octave 4} Eighth,F4-interval class 1,0.5,220/3
Chord {D in octave 2 | B in octave 1} Zero,B1-interval class 3,0.0,75.25
Chord {F in octave 2 | D in octave 2} Zero,D2-interval class 3,0.0,75.5
Chord {C in octave 3 | A in octave 2} Zero,A2-interval class 3,0.0,76.0
Chord {D in octave 3 | B in octave 2} Zero,B2-interval class 3,0.0,76.0
Chord {F in octave 3 | D in octave 3} Zero,D3-interval class 3,0.0,229/3
Chord {G in octave 3 | E in octave 3} Zero,E3-interval class 3,0.0,76.5
Chord {G in octave 3 | C in octave 4} Quarter,C4-interval class 5,1.0,76.75
Chord {F in octave 5 | D in octave 5} Zero,D5-interval class 3,0.0,78.25
Chord {A in octave 6 | B in octave 3} Quarter Triplet (2/3 QL),B3-interval class 2,2/3,263/3
Chord {F in octave 5 | E-flat in octave 5} Double Dotted Quarter,F5-interval class 2,1.75,128.0
Chord {A in octave 5 | A in octave 3} 16th,A5-unison,0.25,132.75
Chord {A in octave 5 | D in octave 5} Eighth,D5-interval class 5,0.5,401/3
Chord {C in octave 6 | F-sharp in octave 5 | A in octave 5} 16th,F#5-diminished triad,0.25,148.25
Chord {A in octave 5 | F-sharp in octave 4} 16th,F#4-interval class 3,0.25,149.0
Chord {B-flat in octave 4 | E in octave 5 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#5-diminished triad,1/3,149.25
Chord {C in octave 5 | C in octave 4} Dotted Eighth,C5-unison,0.75,163.0
Chord {F in octave 4 | B in octave 3} Half Triplet (1 1/3 QL),B3-tritone,4/3,167.0
Chord {F in octave 5 | F in octave 4} Zero,F5-unison,0.0,178.25
Chord {C in octave 6 | A in octave 5} 16th,A5-interval class 3,0.25,179.5
Chord {G in octave 1 | G in octave 3 | G in octave 2 | C in octave 4} Zero,C4-interval class 5,0.0,182.0
Chord {F in octave 4 | B-flat in octave 3} Quarter,B-3-interval class 5,1.0,551/3
Chord {G in octave 3 | F in octave 1} Quarter tied to 16th (1 1/4 total QL),G3-interval class 2,1.25,575/3
Chord {A in octave 2 | F in octave 3} Quarter,F3-interval class 4,1.0,613/3
Chord {A in octave 2 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),F#3-interval class 3,1.25,205.5
Chord {C-sharp in octave 4 | F in octave 4 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-augmented triad,1.25,209.0
Chord {E in octave 5 | E in octave 4} Quarter Triplet (2/3 QL),E5-unison,2/3,224.25
Chord {D in octave 5 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 2,1/3,225.25
Chord {C in octave 5 | A in octave 2 | G in octave 4} Eighth Triplet (1/3 QL),A2-incomplete minor-seventh chord,1/3,226.25
Chord {G-sharp in octave 5 | E in octave 5} Quarter Triplet (2/3 QL),E5-interval class 4,2/3,228.5
Chord {F-sharp in octave 3 | G-sharp in octave 5} Eighth Triplet (1/3 QL),G#5-interval class 2,1/3,231.0
Chord {G in octave 6 | G in octave 2} Eighth,G6-unison,0.5,232.75
Chord {G in octave 4 | G in octave 6} 16th,G4-unison,0.25,234.5
Chord {G in octave 7 | G in octave 5} Eighth Triplet (1/3 QL),G7-unison,1/3,236.25
Chord {C in octave 6 | G in octave 4} Eighth,C6-interval class 5,0.5,845/3
Chord {F in octave 5 | F in octave 4} Eighth,F5-unison,0.5,295.75
Chord {A in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),A5-unison,1/3,296.5
Chord {F in octave 4 | B-flat in octave 3} Half Triplet (1 1/3 QL),B-3-interval class 5,4/3,302.25
Chord {C in octave 6 | C in octave 5 | G in octave 5 | B-flat in octave 5} Dotted Eighth,C6-incomplete dominant-seventh chord,0.75,331.5
Chord {C-sharp in octave 5 | E in octave 5} Quarter Triplet (2/3 QL),C#5-interval class 3,2/3,333.0
Chord {F-sharp in octave 4 | F in octave 5} Dotted Eighth,F#4-interval class 1,0.75,1004/3
Chord {A in octave 5 | E in octave 5 | D in octave 5} Quarter,D5-quartal trichord,1.0,336.5
Chord {E in octave 6 | A in octave 5} 16th,A5-interval class 5,0.25,358.5
Chord {E in octave 6 | A in octave 5} 16th,A5-interval class 5,0.25,359.0
Chord {C-sharp in octave 6 | E in octave 5} 16th,C#6-interval class 3,0.25,359.5
Chord {C-sharp in octave 6 | E in octave 5} Eighth Triplet (1/3 QL),C#6-interval class 3,1/3,360.0
Chord {E in octave 6 | A in octave 5} 16th,A5-interval class 5,0.25,1081/3
Chord {E in octave 6 | A in octave 5} Eighth Triplet (1/3 QL),A5-interval class 5,1/3,361.0
Chord {C-sharp in octave 6 | E in octave 5} 16th,C#6-interval class 3,0.25,1084/3
Chord {B-flat in octave 3 | B-flat in octave 2} Eighth,B-3-unison,0.5,365.25
Chord {B-flat in octave 3 | A in octave 4 | D in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B-3-major seventh chord,1/3,367.0
Chord {F in octave 4 | B-flat in octave 3} Half tied to Eighth (2 1/2 total QL),B-3-interval class 5,2.5,375.75
Chord {E-flat in octave 3 | F in octave 5} Quarter Triplet (2/3 QL),F5-interval class 2,2/3,398.5
Chord {B-flat in octave 3 | F in octave 4 | D in octave 4} Quarter,B-3-major triad,1.0,1205/3
Chord {F in octave 4 | D in octave 4} Quarter,D4-interval class 3,1.0,403.25
Chord {A in octave 5 | D in octave 3} 16th,D3-interval class 5,0.25,1217/3
Chord {G in octave 2 | C in octave 5} Zero,C5-interval class 5,0.0,406.25
Chord {E-flat in octave 6 | E-flat in octave 5} 16th,E-6-unison,0.25,1220/3
Chord {A in octave 4 | A in octave 3} Eighth,A4-unison,0.5,410.25
Chord {D in octave 4 | C in octave 4} Zero,D4-interval class 2,0.0,413.75
Chord {A in octave 3 | C in octave 4 | F in octave 3} Zero,F3-major triad,0.0,413.75
Chord {C-sharp in octave 4 | G in octave 3} 16th,C#4-tritone,0.25,417.0
Chord {D in octave 5 | G in octave 4} 16th,G4-interval class 5,0.25,419.75
Chord {F in octave 4 | C in octave 4} Dotted Eighth,F4-interval class 5,0.75,1271/3
Chord {E in octave 4 | B in octave 3 | A in octave 6} 16th,A6-quartal trichord,0.25,425.25
Chord {C-sharp in octave 7 | E in octave 6} 16th,C#7-interval class 3,0.25,425.75
Chord {E in octave 7 | A in octave 6} 16th,A6-interval class 5,0.25,426.0
Chord {E in octave 6 | C-sharp in octave 7} 16th,C#7-interval class 3,0.25,426.5
Chord {D in octave 3 | A in octave 6} 16th,D3-interval class 5,0.25,427.0
Chord {C-sharp in octave 7 | E in octave 6} 16th,C#7-interval class 3,0.25,1282/3
Chord {E in octave 6 | C-sharp in octave 7} 16th,C#7-interval class 3,0.25,428.25
Chord {B in octave 3 | E in octave 4} Eighth,E4-interval class 5,0.5,428.5
Chord {E in octave 4 | G in octave 2} Quarter,E4-interval class 3,1.0,430.25
Chord {G in octave 2 | D in octave 4} Quarter Triplet (2/3 QL),G2-interval class 5,2/3,431.75
Chord {D in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),B-3-interval class 4,2/3,435.5
Chord {F in octave 4 | C in octave 3} Quarter,F4-interval class 5,1.0,1310/3
Chord {G-sharp in octave 4 | C in octave 5 | B-flat in octave 3 | E in octave 4} Dotted Eighth,C5-augmented seventh chord,0.75,1330/3
Chord {C in octave 5 | E in octave 4} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,444.5
Chord {C in octave 5 | G in octave 4 | A in octave 3} Eighth,A3-incomplete minor-seventh chord,0.5,445.0
