367.3333333333333
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 4 | C-sharp in octave 5} Eighth,F4-interval class 4,0.5,82.0
Chord {C in octave 5 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F4-interval class 5,10/3,251/3
Chord {F in octave 4 | C-sharp in octave 5} Quarter Triplet (2/3 QL),F4-interval class 4,2/3,138.0
Chord {C in octave 5 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F4-interval class 5,10/3,419/3
Chord {F in octave 4 | C-sharp in octave 4} Quarter,F4-interval class 4,1.0,161.25
Chord {G in octave 4 | E-flat in octave 4} Quarter,E-4-interval class 4,1.0,162.25
Chord {F in octave 4 | G-sharp in octave 4} Triple Dotted Half (3 3/4 QL),G#4-interval class 3,3.75,163.25
Chord {E-flat in octave 4 | G in octave 4} Whole tied to Quarter (5 total QL),E-4-interval class 4,5.0,167.0
Chord {F in octave 4 | C-sharp in octave 5} Quarter Triplet (2/3 QL),F4-interval class 4,2/3,234.0
Chord {C in octave 5 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F4-interval class 5,10/3,707/3
Chord {F in octave 4 | C-sharp in octave 4} Quarter,F4-interval class 4,1.0,257.25
Chord {G in octave 4 | E-flat in octave 4} Quarter,E-4-interval class 4,1.0,258.25
Chord {F in octave 4 | G-sharp in octave 4} Triple Dotted Half (3 3/4 QL),G#4-interval class 3,3.75,259.25
Chord {E-flat in octave 4 | G in octave 4} Whole tied to Quarter (5 total QL),E-4-interval class 4,5.0,263.0
Chord {C in octave 4 | C in octave 3} Breve,C4-unison,8.0,24.0
Chord {G-sharp in octave 2 | G-sharp in octave 3} Eighth Triplet (1/3 QL),G#2-unison,1/3,68.0
Chord {G in octave 2 | G in octave 3} Eighth Triplet (1/3 QL),G2-unison,1/3,205/3
Chord {G-sharp in octave 2 | G-sharp in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),G#2-unison,10/3,206/3
Chord {E-flat in octave 3 | E-flat in octave 2} Quarter Triplet (2/3 QL),E-3-unison,2/3,79.0
Chord {F in octave 3 | F in octave 2} Breve Tuplet of 24/19ths (6 1/3 QL),F3-unison,19/3,239/3
Chord {G-sharp in octave 2 | G-sharp in octave 3} Eighth Triplet (1/3 QL),G#2-unison,1/3,124.0
Chord {G in octave 2 | G in octave 3} Eighth Triplet (1/3 QL),G2-unison,1/3,373/3
Chord {G-sharp in octave 2 | G-sharp in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),G#2-unison,10/3,374/3
Chord {E-flat in octave 3 | E-flat in octave 2} Quarter Triplet (2/3 QL),E-3-unison,2/3,135.0
Chord {F in octave 2 | F in octave 3} Breve Tuplet of 24/19ths (6 1/3 QL),F2-unison,19/3,407/3
Chord {C in octave 4 | C in octave 3} Breve,C4-unison,8.0,176.0
Chord {G-sharp in octave 2 | G-sharp in octave 3} Eighth Triplet (1/3 QL),G#2-unison,1/3,220.0
Chord {G in octave 2 | G in octave 3} Eighth Triplet (1/3 QL),G2-unison,1/3,661/3
Chord {G-sharp in octave 2 | G-sharp in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),G#2-unison,10/3,662/3
Chord {E-flat in octave 3 | E-flat in octave 2} Quarter Triplet (2/3 QL),E-3-unison,2/3,231.0
Chord {F in octave 2 | F in octave 3} Breve Tuplet of 24/19ths (6 1/3 QL),F2-unison,19/3,695/3
Chord {C in octave 4 | C in octave 3} Breve,C4-unison,8.0,272.0
Chord {A in octave 2 | A in octave 3} Eighth Triplet (1/3 QL),A2-unison,1/3,332.0
Chord {G-sharp in octave 2 | G-sharp in octave 3} Eighth Triplet (1/3 QL),G#2-unison,1/3,997/3
Chord {A in octave 2 | A in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),A2-unison,10/3,998/3
Chord {F in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),F4-minor triad,1/3,98/3
Chord {G-sharp in octave 3 | F in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),F4-minor triad,1/3,101/3
Chord {G-sharp in octave 3 | C in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-minor triad,1/3,104/3
Chord {C in octave 4 | F in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),F4-minor triad,1/3,107/3
Chord {E in octave 4 | C in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C4-augmented triad,1/3,110/3
Chord {E in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-augmented triad,1/3,113/3
Chord {G-sharp in octave 3 | E in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-augmented triad,1/3,116/3
Chord {E in octave 4 | C in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C4-augmented triad,1/3,119/3
Chord {C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),C4-major triad,1/3,122/3
Chord {C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),C4-major triad,1/3,125/3
Chord {C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),C4-major triad,1/3,128/3
Chord {C in octave 4 | G-sharp in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),C4-major triad,1/3,131/3
Chord {D in octave 4 | B-flat in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),B-3-major triad,1/3,134/3
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B-3-major triad,1/3,137/3
