371.3333333333333
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 4 | A in octave 3} Breve,A4-unison,8.0,28.0
Chord {F in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),F3-unison,1/3,72.0
Chord {E in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E3-unison,1/3,217/3
Chord {F in octave 3 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F3-unison,10/3,218/3
Chord {C in octave 4 | C in octave 3} Quarter Triplet (2/3 QL),C4-unison,2/3,83.0
Chord {D in octave 4 | D in octave 3} Breve Tuplet of 24/19ths (6 1/3 QL),D4-unison,19/3,251/3
Chord {F in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),F3-unison,1/3,128.0
Chord {E in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E3-unison,1/3,385/3
Chord {F in octave 3 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F3-unison,10/3,386/3
Chord {C in octave 4 | C in octave 3} Quarter Triplet (2/3 QL),C4-unison,2/3,139.0
Chord {D in octave 3 | D in octave 4} Breve Tuplet of 24/19ths (6 1/3 QL),D3-unison,19/3,419/3
Chord {A in octave 4 | A in octave 3} Breve,A4-unison,8.0,180.0
Chord {F in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),F3-unison,1/3,224.0
Chord {E in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E3-unison,1/3,673/3
Chord {F in octave 3 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F3-unison,10/3,674/3
Chord {C in octave 4 | C in octave 3} Quarter Triplet (2/3 QL),C4-unison,2/3,235.0
Chord {D in octave 3 | D in octave 4} Breve Tuplet of 24/19ths (6 1/3 QL),D3-unison,19/3,707/3
Chord {A in octave 4 | A in octave 3} Breve,A4-unison,8.0,276.0
Chord {F-sharp in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#3-unison,1/3,336.0
Chord {F in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),F3-unison,1/3,1009/3
Chord {F-sharp in octave 3 | F-sharp in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F#3-unison,10/3,1010/3
Chord {A in octave 1 | C-sharp in octave 4 | A in octave 3 | E in octave 3} Quarter Triplet (2/3 QL),A1-major triad,2/3,86.0
Chord {D in octave 2 | D in octave 3 | B in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),G3-major triad,1/3,482/3
Chord {G in octave 1 | G in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,G1-minor triad,1.0,162.0
Chord {A in octave 1 | C in octave 4 | E in octave 4 | A in octave 3} Quarter,A1-minor triad,1.0,163.0
Chord {B-flat in octave 1 | D in octave 4 | F in octave 4 | B-flat in octave 3} Whole,B-1-major triad,4.0,164.0
Chord {G in octave 1 | G in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,G1-minor triad,1.0,258.0
Chord {A in octave 1 | C in octave 4 | E in octave 4 | A in octave 3} Quarter,A1-minor triad,1.0,259.0
Chord {B-flat in octave 1 | D in octave 4 | F in octave 4 | B-flat in octave 3} Whole,B-1-major triad,4.0,260.0
Chord {E-flat in octave 7 | E-flat in octave 6} Eighth,E-7-unison,0.5,366.0
