400.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 3 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,39.0
Chord {D in octave 3 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,87.0
Chord {D in octave 3 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,131.0
Chord {D in octave 3 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,211.0
Chord {D in octave 3 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,215.0
Chord {D in octave 3 | G-sharp in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,387.0
Chord {E-flat in octave 4 | G in octave 3 | B-flat in octave 4} 16th,E-4-major triad,0.25,8.75
Chord {E-flat in octave 4 | G in octave 3 | B-flat in octave 4} Double Dotted Quarter,E-4-major triad,1.75,10.0
Chord {C in octave 5 | F in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),F4-interval class 5,3.25,16.0
Chord {C in octave 5 | G in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C5-interval class 5,3.25,20.0
Chord {B-flat in octave 4 | E-flat in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),E-4-interval class 5,3.25,24.0
Chord {B-flat in octave 3 | C in octave 4 | E-flat in octave 3 | G in octave 4} 16th,C4-minor seventh chord,0.25,28.75
Chord {B-flat in octave 3 | C in octave 4 | E-flat in octave 3 | G in octave 4} Double Dotted Quarter,C4-minor seventh chord,1.75,30.0
Chord {E-flat in octave 3 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-minor seventh chord,1/3,98/3
Chord {C in octave 5 | F in octave 4 | G-sharp in octave 3 | D in octave 3 | D in octave 4} Double Dotted Quarter,D3-half-diminished seventh chord,1.75,34.0
Chord {B-flat in octave 4 | E-flat in octave 4 | G in octave 3 | C in octave 3 | C in octave 4} Double Dotted Quarter,C3-minor seventh chord,1.75,36.0
Chord {G-sharp in octave 3 | C in octave 5 | D in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),C5-minor-second quartal tetrachord,1/3,116/3
Chord {C in octave 4 | E-flat in octave 4 | G in octave 3 | B-flat in octave 3} 16th,C4-minor seventh chord,0.25,40.75
