515.5
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 2 | D in octave 4 | A in octave 3} Dotted Eighth,B2-incomplete minor-seventh chord,0.75,8.0
Chord {C in octave 3 | B in octave 3} Half tied to 16th (2 1/4 total QL),C3-interval class 1,2.25,8.75
Chord {E in octave 3 | G in octave 4} Half,E3-interval class 3,2.0,12.0
Chord {F-sharp in octave 4 | D in octave 3} Quarter,D3-interval class 4,1.0,14.0
Chord {D in octave 4 | B in octave 2} Quarter,B2-interval class 3,1.0,15.0
Chord {D in octave 4 | B in octave 2 | A in octave 3} Dotted Eighth,B2-incomplete minor-seventh chord,0.75,16.0
Chord {B in octave 3 | E in octave 4 | C in octave 3} Dotted Half,C3-incomplete major-seventh chord,3.0,16.75
Chord {D in octave 5 | A in octave 4} Quarter,D5-interval class 5,1.0,22.75
Chord {F-sharp in octave 4 | A in octave 3} 16th,F#4-interval class 3,0.25,23.75
Chord {E in octave 4 | G in octave 3 | C in octave 3} Dotted Half,C3-major triad,3.0,24.0
Chord {E in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),E4-interval class 3,2/3,36.0
Chord {D in octave 4 | F-sharp in octave 4} Quarter,D4-interval class 4,1.0,36.75
Chord {E in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),E4-interval class 2,2/3,38.0
Chord {D in octave 4 | G in octave 3} Eighth,G3-interval class 5,0.5,38.75
Chord {E in octave 4 | A in octave 3} 16th,A3-interval class 5,0.25,39.25
Chord {F-sharp in octave 3 | D in octave 4} Eighth,D4-interval class 4,0.5,39.5
Chord {G in octave 3 | B in octave 3 | E in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E4-minor triad,2.75,40.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,42.75
Chord {E in octave 4 | B in octave 3 | G in octave 3} Dotted Half,E4-minor triad,3.0,44.0
Chord {F-sharp in octave 3 | A in octave 3 | D in octave 4} Quarter,D4-major triad,1.0,47.0
Chord {D in octave 4 | G in octave 3 | B in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),G3-major triad,2.75,48.0
Chord {A in octave 3 | F-sharp in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,50.75
Chord {D in octave 4 | G in octave 3 | B in octave 3} Dotted Half,G3-major triad,3.0,52.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 3} Quarter,D4-major triad,1.0,55.0
Chord {E in octave 4 | B in octave 3 | G in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),E4-minor triad,2.75,56.0
Chord {A in octave 3 | F-sharp in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,58.75
Chord {G in octave 3 | B in octave 3 | E in octave 4} Dotted Half,E4-minor triad,3.0,60.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 3} Quarter,D4-major triad,1.0,63.0
Chord {G in octave 3 | D in octave 4 | B in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),G3-major triad,2.75,64.0
Chord {A in octave 3 | F-sharp in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,66.75
Chord {D in octave 4 | G in octave 3 | B in octave 3} Dotted Half,G3-major triad,3.0,68.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 3} Quarter,D4-major triad,1.0,71.0
Chord {E in octave 4 | G in octave 3 | B in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),E4-minor triad,2.75,72.0
Chord {F-sharp in octave 3 | A in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,74.75
Chord {G in octave 3 | B in octave 3 | E in octave 4} Dotted Half,E4-minor triad,3.0,76.0
Chord {D in octave 4 | A in octave 3 | F-sharp in octave 3} Quarter,D4-major triad,1.0,79.0
Chord {B in octave 3 | D in octave 4 | G in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),G3-major triad,2.75,80.0
Chord {D in octave 4 | A in octave 3 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,82.75
Chord {G in octave 3 | D in octave 4 | B in octave 3} Dotted Half,G3-major triad,3.0,84.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 3} Quarter,D4-major triad,1.0,87.0
Chord {E in octave 4 | G in octave 3 | B in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),E4-minor triad,2.75,88.0
Chord {A in octave 3 | F-sharp in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,90.75
Chord {G in octave 3 | B in octave 3 | E in octave 4} Dotted Half,E4-minor triad,3.0,92.0
Chord {A in octave 3 | F-sharp in octave 3 | D in octave 4} Quarter,D4-major triad,1.0,95.0
Chord {G in octave 3 | D in octave 4 | B in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),G3-major triad,2.75,96.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,98.75
Chord {D in octave 4 | B in octave 3 | G in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),G3-major triad,2.75,100.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 3} Quarter,D4-major triad,1.0,102.75
Chord {E in octave 4 | B in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),E4-incomplete dominant-seventh chord,2/3,104.0
Chord {B in octave 3 | D in octave 4 | E in octave 4} Eighth,E4-incomplete dominant-seventh chord,0.5,105.5
Chord {D in octave 4 | F-sharp in octave 4 | B in octave 3} Dotted Eighth,B3-minor triad,0.75,106.0
Chord {F-sharp in octave 4 | B in octave 3 | D in octave 4} Eighth,B3-minor triad,0.5,106.75
Chord {E in octave 4 | D in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),E4-incomplete dominant-seventh chord,2/3,108.0
Chord {B in octave 3 | E in octave 4 | D in octave 4} Eighth,E4-incomplete dominant-seventh chord,0.5,109.5
Chord {B in octave 3 | D in octave 4 | F-sharp in octave 4} Dotted Eighth,B3-minor triad,0.75,110.0
Chord {F-sharp in octave 4 | D in octave 4 | B in octave 3} Eighth,B3-minor triad,0.5,110.75
Chord {E in octave 4 | D in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),E4-incomplete dominant-seventh chord,2/3,112.0
Chord {E in octave 4 | B in octave 3 | D in octave 4} Eighth,E4-incomplete dominant-seventh chord,0.5,113.5
Chord {B in octave 3 | F-sharp in octave 4 | D in octave 4} Dotted Eighth,B3-minor triad,0.75,114.0
Chord {B in octave 3 | F-sharp in octave 4 | D in octave 4} Eighth,B3-minor triad,0.5,114.75
Chord {E in octave 4 | B in octave 3 | G in octave 3} Dotted Half,E4-minor triad,3.0,116.0
Chord {F-sharp in octave 3 | D in octave 4 | A in octave 3} Quarter,D4-major triad,1.0,119.0
Chord {B in octave 3 | D in octave 4 | F-sharp in octave 4} Half,B3-minor triad,2.0,120.0
Chord {B in octave 3 | F-sharp in octave 3 | B in octave 2} Half,B3-interval class 5,2.0,122.0
Chord {F-sharp in octave 3 | B in octave 3 | D in octave 4} Half,B3-minor triad,2.0,124.0
Chord {C-sharp in octave 4 | A in octave 3 | E in octave 4} Half,A3-major triad,2.0,126.0
Chord {B in octave 3 | G in octave 3 | E in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E4-minor triad,2.75,128.0
Chord {F-sharp in octave 3 | A in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,130.75
Chord {E in octave 4 | B in octave 3 | G in octave 3} Dotted Half,E4-minor triad,3.0,132.0
Chord {F-sharp in octave 3 | A in octave 3 | D in octave 4} Quarter,D4-major triad,1.0,135.0
Chord {D in octave 4 | B in octave 3 | G in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),G3-major triad,2.75,136.0
Chord {D in octave 4 | F-sharp in octave 3 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,138.75
Chord {B in octave 3 | D in octave 4 | G in octave 3} Dotted Half,G3-major triad,3.0,140.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 3} Quarter,D4-major triad,1.0,143.0
Chord {E in octave 4 | B in octave 3 | G in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),E4-minor triad,2.75,144.0
