438.0
3/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 3 | G in octave 4 | G-sharp in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),C4-major seventh chord,4/3,0.0
Chord {E-flat in octave 3 | G in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-major seventh chord,1/3,1.75
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G4-minor seventh chord,1/3,11/3
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G4-minor seventh chord,1/3,5.0
Chord {G in octave 3 | B-flat in octave 3 | C in octave 4 | E-flat in octave 4} Half tied to 16th (2 1/4 total QL),C4-minor seventh chord,2.25,20/3
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Half Triplet (1 1/3 QL),G4-minor seventh chord,4/3,9.0
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G4-minor seventh chord,1/3,10.75
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth Triplet (1/3 QL),C5-minor seventh chord,1/3,38/3
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth,C5-minor seventh chord,0.5,14.0
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G4-minor seventh chord,1/3,47/3
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G4-minor seventh chord,1/3,17.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-minor seventh chord,5/3,18.0
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),G4-minor seventh chord,1.25,59/3
Chord {E-flat in octave 3 | G in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-major seventh chord,1/3,65/3
Chord {E-flat in octave 3 | G in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth,C4-major seventh chord,0.5,23.0
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Half tied to Eighth (2 1/2 total QL),F4-major seventh chord,2.5,24.75
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Half tied to 16th (2 1/4 total QL),F4-major seventh chord,2.25,27.75
Chord {B in octave 3 | E-flat in octave 4 | F-sharp in octave 3 | G-sharp in octave 4} Double Dotted Quarter,E-4-minor seventh chord,1.75,30.0
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Quarter,F4-major seventh chord,1.0,32.0
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth Triplet (1/3 QL),C5-minor seventh chord,1/3,101/3
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth,C5-minor seventh chord,0.5,35.0
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Half tied to Eighth (2 1/2 total QL),F4-major seventh chord,2.5,36.75
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Half tied to 16th (2 1/4 total QL),F4-major seventh chord,2.25,39.75
Chord {B in octave 3 | E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 3 | G in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),E-4-Lebanese pentachord,5/3,42.0
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-major seventh chord,1.25,131/3
Chord {E-flat in octave 4 | G in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth Triplet (1/3 QL),C5-major seventh chord,1/3,137/3
Chord {E-flat in octave 4 | G in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth Triplet (1/3 QL),C5-major seventh chord,1/3,47.0
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),C4-minor seventh chord,4/3,48.0
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-minor seventh chord,1/3,49.75
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Half Triplet (1 1/3 QL),G4-minor seventh chord,4/3,51.0
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G4-minor seventh chord,1/3,52.75
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Half Triplet (1 1/3 QL),C4-minor seventh chord,4/3,54.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),C4-minor seventh chord,1/3,55.75
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G4-minor seventh chord,1/3,173/3
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Eighth,G4-minor seventh chord,0.5,59.0
Chord {E-flat in octave 3 | G in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-major seventh chord,1/3,182/3
Chord {E-flat in octave 3 | G in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth,C4-major seventh chord,0.5,62.0
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3 | D in octave 4} Half Triplet (1 1/3 QL),G3-minor seventh chord,4/3,63.0
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-minor seventh chord,1/3,64.75
Chord {G in octave 3 | B-flat in octave 3 | C in octave 4 | E-flat in octave 4} Double Dotted Quarter,C4-minor seventh chord,1.75,66.0
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | D in octave 4} Quarter,G4-minor seventh chord,1.0,68.0
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth Triplet (1/3 QL),C5-minor seventh chord,1/3,209/3
Chord {E-flat in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth,C5-minor seventh chord,0.5,71.0
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Half tied to Eighth (2 1/2 total QL),F4-major seventh chord,2.5,218/3
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth Triplet (1/3 QL),F4-major seventh chord,1/3,227/3
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Eighth,F4-major seventh chord,0.5,77.0
Chord {B in octave 3 | E-flat in octave 4 | F-sharp in octave 3 | B-flat in octave 4 | G in octave 3} Double Dotted Quarter,E-4-Lebanese pentachord,1.75,78.0
Chord {C-sharp in octave 4 | F in octave 4 | G-sharp in octave 3 | B-flat in octave 4} Quarter,G#3-minor seventh chord,1.0,80.0
Chord {E-flat in octave 3 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C4-minor seventh chord,1/3,245/3
Chord {E-flat in octave 3 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Eighth,C4-minor seventh chord,0.5,83.0
