620.5
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,404.25
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,405.0
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,406.25
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,407.0
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Zero,D1-quartal tetramirror,0.0,408.25
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,409.0
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,410.0
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,411.5
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Zero,D1-quartal tetramirror,0.0,412.25
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,413.0
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,414.25
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,415.0
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,416.25
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,417.0
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Quarter,D1-quartal tetramirror,1.0,418.0
Chord {F in octave 2 | C in octave 2 | G in octave 1 | D in octave 1} Zero,D1-quartal tetramirror,0.0,419.5
Chord {F in octave 4 | G in octave 3 | D in octave 4 | B in octave 3} Dotted Half,G3-dominant seventh chord,3.0,36.0
Chord {F in octave 3 | A in octave 3 | B in octave 3 | E in octave 4} Whole,F3-minor-second quartal tetrachord,4.0,44.0
Chord {F in octave 4 | A in octave 4 | B in octave 4 | D in octave 5} 16th,B4-half-diminished seventh chord,0.25,50.0
Chord {F in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} 16th,B3-diminished triad,0.25,52.0
Chord {F in octave 3 | B in octave 3 | F in octave 4} Dotted Half,B3-tritone,3.0,52.75
Chord {F in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} 16th,B3-diminished triad,0.25,60.0
Chord {F in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} Dotted Half,B3-diminished triad,3.0,60.75
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3} Whole,E3-incomplete half-diminished seventh chord,4.0,68.0
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 4} 16th,B-3-minor-second quartal tetrachord,0.25,72.5
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3} Half,E3-incomplete half-diminished seventh chord,2.0,73.5
Chord {F in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} 16th,B3-diminished triad,0.25,76.0
Chord {F in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} Dotted Half,B3-diminished triad,3.0,76.75
Chord {G in octave 3 | A in octave 3 | D in octave 4 | F in octave 4} Whole,D4-perfect-fourth minor tetrachord,4.0,80.0
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | B in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor-second quartal tetrachord,11/3,84.0
Chord {G in octave 3 | C-sharp in octave 4 | F in octave 4 | C in octave 5 | B-flat in octave 4} Half,G3-Kumoi pentachord,2.0,88.0
Chord {F-sharp in octave 3 | C in octave 4 | E in octave 4 | B in octave 4 | A in octave 4} Half,F#3-Kumoi pentachord,2.0,90.0
Chord {A in octave 4 | E in octave 4 | B in octave 3 | F in octave 3} 16th,F3-minor-second quartal tetrachord,0.25,98.0
