396.0
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 3 | B in octave 4} Dotted Eighth,B3-unison,0.75,18.0
Chord {E in octave 3 | E in octave 4} Quarter Triplet (2/3 QL),E3-unison,2/3,58/3
Chord {G in octave 4 | G in octave 3} Half,G4-unison,2.0,20.0
Chord {D in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),D3-unison,2/3,34.0
Chord {F in octave 4 | F in octave 3} Dotted Quarter,F4-unison,1.5,34.75
Chord {D in octave 4 | D in octave 5} Half tied to 16th (2 1/4 total QL),D4-unison,2.25,204.0
Chord {D in octave 5 | D in octave 4} Dotted Eighth,D5-unison,0.75,210.5
Chord {C in octave 5 | C in octave 4} Eighth,C5-unison,0.5,634/3
Chord {D in octave 5 | D in octave 4} Double Dotted Quarter,D5-unison,1.75,212.0
Chord {B in octave 4 | B in octave 3} Dotted Eighth,B4-unison,0.75,214.5
Chord {C in octave 5 | C in octave 4} Quarter Triplet (2/3 QL),C5-unison,2/3,646/3
Chord {B-flat in octave 3 | B-flat in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),B-3-unison,3.25,36.0
Chord {C in octave 5 | C in octave 4} Quarter,C5-unison,1.0,213.5
Chord {E in octave 4 | C in octave 4 | A in octave 3} Triple Dotted Half (3 3/4 QL),A3-minor triad,3.75,8.0
Chord {B in octave 5 | C in octave 5 | F-sharp in octave 5 | E in octave 5} 16th,C5-minor-second quartal tetrachord,0.25,38/3
Chord {E in octave 4 | A in octave 3 | C in octave 4 | B in octave 5 | F-sharp in octave 5 | E in octave 5} Half Triplet (1 1/3 QL),F#5-Kumoi pentachord,4/3,14.0
Chord {C in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,56/3
Chord {A in octave 3 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-interval class 3,1.25,20.0
Chord {A in octave 4 | E in octave 5 | C in octave 5} 16th,A4-minor triad,0.25,21.25
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} Double Dotted Quarter,B-3-major triad,1.75,32.0
Chord {B-flat in octave 3 | D in octave 4} Dotted Half,B-3-interval class 4,3.0,36.0
Chord {B-flat in octave 3 | G in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),G3-interval class 3,2.75,44.0
Chord {E in octave 5 | E in octave 4 | A in octave 3 | C in octave 4 | F in octave 4 | A in octave 4 | C in octave 5 | F in octave 3} 16th,F4-major seventh chord,0.25,50.5
Chord {A in octave 4 | D in octave 5 | F in octave 4} 16th,D5-minor triad,0.25,51.25
Chord {C in octave 4 | B in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),B4-tritone-fourth,2/3,164/3
Chord {D in octave 4 | B in octave 3 | G in octave 5 | B in octave 4} Quarter,G5-major triad,1.0,170/3
Chord {B in octave 3 | G in octave 4} Eighth,G4-interval class 4,0.5,64.0
Chord {E in octave 3 | G-sharp in octave 3 | B in octave 3} Quarter,E3-major triad,1.0,70.0
Chord {E in octave 4 | C in octave 4 | A in octave 3} Half,A3-minor triad,2.0,84.0
Chord {E in octave 4 | C in octave 4 | A in octave 3} Double Dotted Quarter,A3-minor triad,1.75,88.0
Chord {E in octave 4 | A in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),A3-minor triad,4/3,92.0
Chord {A in octave 3 | C in octave 4 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-interval class 3,1.25,94.0
Chord {D in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),B-3-interval class 4,2/3,98.75
Chord {E in octave 5 | F in octave 4 | B-flat in octave 4} Quarter,E5-tritone-fourth,1.0,99.75
Chord {G in octave 4 | B-flat in octave 4 | D in octave 5} 16th,G4-minor triad,0.25,104.0
Chord {A in octave 3 | F in octave 3} Dotted Eighth,F3-interval class 4,0.75,116.0
Chord {G in octave 3 | B in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),G3-major triad,2/3,122.0
Chord {F in octave 4 | B in octave 4 | G in octave 3} Quarter,G3-incomplete dominant-seventh chord,1.0,123.25
Chord {G in octave 3 | B in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-interval class 4,1.25,124.25
Chord {D in octave 4 | B in octave 3 | D in octave 5 | G in octave 3 | B in octave 4 | G in octave 5} 16th,G3-major triad,0.25,126.5
Chord {C in octave 3 | E in octave 3 | B in octave 3 | G in octave 5 | B in octave 4 | G in octave 3 | E in octave 5} Double Dotted Quarter,C3-major seventh chord,1.75,386/3
Chord {G-sharp in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | F in octave 4} Half,G#3-minor seventh chord,2.0,132.0
Chord {B-flat in octave 3 | G in octave 3 | F in octave 4 | C-sharp in octave 4} Half,G3-half-diminished seventh chord,2.0,134.0
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 3} Whole,C4-minor seventh chord,4.0,136.0
Chord {G-sharp in octave 3 | C in octave 5 | C-sharp in octave 4 | F in octave 4} Half,F4-major seventh chord,2.0,140.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Half,C4-minor seventh chord,2.0,145.75
Chord {G-sharp in octave 3 | G-sharp in octave 4 | C in octave 4 | E-flat in octave 4} Half,C4-major triad,2.0,152.0
Chord {E in octave 4 | C in octave 4 | G-sharp in octave 4 | G-sharp in octave 3} Half,C4-augmented triad,2.0,154.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | F in octave 3 | G-sharp in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),G#3-minor seventh chord,5/3,156.0
Chord {B-flat in octave 4 | G in octave 3 | F in octave 4 | C-sharp in octave 4} Breve,G3-half-diminished seventh chord,8.0,479/3
Chord {F in octave 4 | C-sharp in octave 4 | B-flat in octave 4 | G-sharp in octave 3} Whole tied to 16th (4 1/4 total QL),G#3-minor seventh chord,4.25,503/3
Chord {C-sharp in octave 4 | F in octave 4 | G in octave 3 | C in octave 5} Half,F4-minor-second quartal tetrachord,2.0,173.75
Chord {C-sharp in octave 4 | F in octave 4 | G in octave 3 | C in octave 4} Half tied to 16th (2 1/4 total QL),F4-minor-second quartal tetrachord,2.25,533/3
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G3-half-diminished seventh chord,5/3,180.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 4 | E-flat in octave 3} Whole,C4-minor seventh chord,4.0,184.0
Chord {A in octave 3 | E in octave 3 | D in octave 4 | B-flat in octave 3} Whole,B-3-minor-second quartal tetrachord,4.0,575/3
Chord {F in octave 4 | D in octave 4 | B in octave 4 | A in octave 3} Half,B4-half-diminished seventh chord,2.0,587/3
Chord {G-sharp in octave 3 | C in octave 4 | E in octave 3 | D in octave 4 | C in octave 5 | C in octave 6} Quarter tied to 16th (1 1/4 total QL),C4-augmented seventh chord,1.25,198.75
Chord {A in octave 4 | C in octave 5} Half Triplet (1 1/3 QL),A4-interval class 3,4/3,200.0
Chord {B in octave 5 | F-sharp in octave 5} Whole Triplet (2 2/3 QL),B5-interval class 5,8/3,202.5
Chord {E in octave 4 | C in octave 4 | A in octave 3} Quarter Triplet (2/3 QL),A3-minor triad,2/3,620/3
Chord {E in octave 5 | C in octave 5 | F-sharp in octave 5} Eighth,F#5-incomplete half-diminished seventh chord,0.5,208.5
Chord {C in octave 5 | A in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),A5-minor triad,1/3,209.25
Chord {A in octave 3 | C in octave 4} Quarter,A3-interval class 3,1.0,212.0
Chord {A in octave 4 | D in octave 5 | C in octave 5} Quarter,D5-incomplete dominant-seventh chord,1.0,213.5
Chord {D in octave 5 | A in octave 4 | E in octave 5 | C in octave 5} 16th,A4-perfect-fourth minor tetrachord,0.25,644/3
