436.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | G-sharp in octave 3 | G in octave 4 | E-flat in octave 4} Whole,C4-major seventh chord,4.0,8.0
Chord {F in octave 4 | C-sharp in octave 4 | C in octave 5 | G-sharp in octave 3} Whole,F4-major seventh chord,4.0,12.0
Chord {B in octave 4 | G in octave 3 | E in octave 4 | C-sharp in octave 4} Whole,C#4-half-diminished seventh chord,4.0,16.0
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 3} Whole,C4-minor seventh chord,4.0,20.0
Chord {G-sharp in octave 4 | F in octave 3 | E-flat in octave 4 | C in octave 4} Whole,C4-minor seventh chord,4.0,24.0
Chord {F in octave 3 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),E-4-half-diminished seventh chord,11/3,28.0
Chord {G in octave 3 | E-flat in octave 3 | C in octave 4 | B-flat in octave 3} Whole,C4-minor seventh chord,4.0,40.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 4 | E-flat in octave 3} Whole,C4-minor seventh chord,4.0,44.0
Chord {E in octave 4 | G in octave 4 | D in octave 4 | C in octave 4 | G-sharp in octave 3} Whole,C4-enigmatic pentachord,4.0,48.0
Chord {B-flat in octave 3 | G in octave 3 | F in octave 4 | D in octave 4} Whole,G3-minor seventh chord,4.0,52.0
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 3} Whole,C4-minor seventh chord,4.0,56.0
Chord {A in octave 4 | F-sharp in octave 3 | D in octave 4 | C in octave 4} Whole,D4-dominant seventh chord,4.0,60.0
Chord {D in octave 4 | B in octave 3 | A in octave 4 | F-sharp in octave 3} Breve,B3-minor seventh chord,8.0,64.0
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-major seventh chord,11/3,72.0
Chord {D in octave 4 | B in octave 3 | A in octave 4 | F-sharp in octave 3} Breve tied to 16th (8 1/4 total QL),B3-minor seventh chord,8.25,239/3
Chord {C-sharp in octave 4 | A in octave 3 | F-sharp in octave 3 | E in octave 3} Whole,F#3-minor seventh chord,4.0,88.0
Chord {B in octave 3 | F-sharp in octave 4 | A in octave 3 | E-flat in octave 3} Whole Tuplet of 12/11ths (3 2/3 QL),F#4-dominant seventh chord,11/3,92.0
Chord {G-sharp in octave 4 | E in octave 3 | C-sharp in octave 4 | B-flat in octave 3} Whole,C#4-half-diminished seventh chord,4.0,299/3
Chord {G-sharp in octave 3 | C in octave 4 | C-sharp in octave 4 | F in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),F4-major seventh chord,11/3,108.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor seventh chord,11/3,116.0
Chord {E in octave 3 | G-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),E3-minor-second quartal tetrachord,11/3,124.0
Chord {F in octave 4 | D in octave 4 | B in octave 4 | G-sharp in octave 3} Whole,G#3-diminished seventh chord,4.0,132.0
Chord {G-sharp in octave 3 | C in octave 4 | C-sharp in octave 4 | F in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),F4-major seventh chord,11/3,136.0
Chord {B in octave 3 | G in octave 3 | E in octave 4 | C-sharp in octave 4} Whole tied to 16th (4 1/4 total QL),C#4-half-diminished seventh chord,4.25,419/3
Chord {G-sharp in octave 3 | G-sharp in octave 4 | C in octave 4 | E-flat in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-major triad,11/3,144.0
Chord {F in octave 4 | C-sharp in octave 4 | C in octave 4 | G-sharp in octave 3} Whole,F4-major seventh chord,4.0,455/3
Chord {C-sharp in octave 3 | G in octave 3 | E-flat in octave 4 | B-flat in octave 3} Whole,C#3-dominant seventh chord,4.0,467/3
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 3} Whole,C4-minor seventh chord,4.0,479/3
Chord {G-sharp in octave 4 | F in octave 3 | E-flat in octave 4 | C in octave 4} Whole,C4-minor seventh chord,4.0,491/3
Chord {F in octave 3 | B in octave 3 | G in octave 4 | D in octave 4} Whole tied to 16th (4 1/4 total QL),G4-dominant seventh chord,4.25,503/3
Chord {G in octave 3 | E in octave 3 | D in octave 4 | B in octave 3} Dotted Whole,E3-minor seventh chord,6.0,173.75
Chord {G in octave 3 | E-flat in octave 3 | C in octave 4 | B-flat in octave 3} Half tied to 16th (2 1/4 total QL),C4-minor seventh chord,2.25,181.75
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 4 | E-flat in octave 3} Whole,C4-minor seventh chord,4.0,184.0
Chord {D in octave 3 | G-sharp in octave 3 | F in octave 4 | B-flat in octave 3} Whole,G#3-dominant seventh chord,4.0,188.0
Chord {D in octave 4 | F in octave 4 | G in octave 3 | B-flat in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),G3-minor seventh chord,11/3,192.0
