331.0
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 4 | F in octave 2} Half,F2-interval class 4,2.0,0.0
Chord {E in octave 4 | C in octave 2} Half,C2-interval class 4,2.0,6.0
Chord {A in octave 4 | F in octave 2} Whole,F2-interval class 4,4.0,20.0
Chord {E in octave 4 | C in octave 2} Whole,C2-interval class 4,4.0,28.0
Chord {A in octave 4 | F in octave 2} Whole,F2-interval class 4,4.0,36.0
Chord {C-sharp in octave 4 | A in octave 2} Whole,A2-interval class 4,4.0,52.0
Chord {F-sharp in octave 4 | D in octave 2} Quarter,D2-interval class 4,1.0,68.0
Chord {A in octave 4 | F in octave 2} Whole,F2-interval class 4,4.0,76.0
Chord {G-sharp in octave 4 | E in octave 2} Quarter,E2-interval class 4,1.0,86.0
Chord {E in octave 4 | C in octave 2} Half,C2-interval class 4,2.0,134.0
Chord {F-sharp in octave 4 | D in octave 2} Quarter,D2-interval class 4,1.0,196.0
Chord {E in octave 4 | C in octave 2} Quarter,C2-interval class 4,1.0,199.0
Chord {G-sharp in octave 4 | E in octave 2} Quarter,E2-interval class 4,1.0,214.0
Chord {B-flat in octave 4 | G in octave 2} Half,G2-interval class 3,2.0,260.0
Chord {A in octave 4 | C in octave 5} Whole Triplet (2 2/3 QL),A4-interval class 3,8/3,328.0
Chord {A in octave 4 | C in octave 5} Quarter,A4-interval class 3,1.0,320.0
Chord {F in octave 4 | A in octave 4} Whole tied to Dotted Quarter (5 1/2 total QL),F4-interval class 4,5.5,321.0
Chord {A in octave 3 | C in octave 4 | F in octave 4 | A in octave 4} Half,F4-major triad,2.0,0.0
Chord {F in octave 4 | A in octave 4} Half,F4-interval class 4,2.0,2.0
Chord {B-flat in octave 3 | D in octave 4 | G in octave 4 | B-flat in octave 4} Half,G4-minor triad,2.0,4.0
Chord {G in octave 3 | B-flat in octave 3 | C in octave 4 | E in octave 4} Half,C4-dominant seventh chord,2.0,6.0
Chord {F in octave 4 | A in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),F4-interval class 4,11/3,8.0
Chord {A in octave 4 | F in octave 4} Whole,F4-interval class 4,4.0,12.0
Chord {A in octave 3 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,F4-major triad,3.5,16.0
Chord {A in octave 4 | F in octave 4 | C in octave 4 | A in octave 3} Whole,F4-major triad,4.0,20.0
Chord {G in octave 3 | B-flat in octave 3 | C in octave 4 | E in octave 4} Double Dotted Half,C4-dominant seventh chord,3.5,24.0
Chord {E in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 3} Whole,C4-dominant seventh chord,4.0,28.0
Chord {A in octave 3 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,F4-major triad,3.5,32.0
Chord {A in octave 4 | F in octave 4 | C in octave 4 | A in octave 3} Whole,F4-major triad,4.0,36.0
Chord {A in octave 3 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,F4-major triad,3.5,40.0
Chord {A in octave 4 | F in octave 4 | C in octave 4 | A in octave 3} Whole,F4-major triad,4.0,44.0
Chord {E in octave 3 | A in octave 3 | C-sharp in octave 4 | E in octave 4} Double Dotted Half,A3-major triad,3.5,48.0
Chord {E in octave 4 | C-sharp in octave 4 | A in octave 3 | E in octave 3} Whole,A3-major triad,4.0,52.0
Chord {E in octave 3 | G-sharp in octave 3 | B in octave 3 | D in octave 4} Double Dotted Half,E3-dominant seventh chord,3.5,56.0
Chord {D in octave 4 | B in octave 3 | G-sharp in octave 3 | E in octave 3} Whole,E3-dominant seventh chord,4.0,60.0
Chord {E in octave 3 | A in octave 3 | E in octave 4 | C-sharp in octave 4} Dotted Eighth,A3-major triad,0.75,64.0
Chord {D in octave 4 | F-sharp in octave 4} Quarter,D4-interval class 4,1.0,68.0
Chord {C in octave 4 | E-flat in octave 4} Quarter,C4-interval class 3,1.0,69.0
Chord {G in octave 4 | B-flat in octave 4} Quarter,G4-interval class 3,1.0,70.0
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,71.0
Chord {A in octave 3 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,F4-major triad,3.5,72.0
Chord {A in octave 4 | F in octave 4 | C in octave 4 | A in octave 3} Whole,F4-major triad,4.0,76.0
Chord {A in octave 3 | F in octave 4 | C in octave 4 | A in octave 4} Half,F4-major triad,2.0,80.0
Chord {F in octave 4 | A in octave 4} Half,F4-interval class 4,2.0,84.0
Chord {E in octave 4 | G-sharp in octave 4} Quarter,E4-interval class 4,1.0,86.0
Chord {E-flat in octave 4 | G in octave 4} Quarter,E-4-interval class 4,1.0,87.0
Chord {D in octave 4 | F-sharp in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),D4-interval class 4,11/3,88.0
Chord {F-sharp in octave 4 | D in octave 4} Whole,D4-interval class 4,4.0,92.0
Chord {G in octave 4 | B-flat in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),G4-interval class 3,11/3,96.0
Chord {B-flat in octave 4 | G in octave 4} Whole,G4-interval class 3,4.0,100.0
Chord {F in octave 3 | B-flat in octave 3 | F in octave 4 | C-sharp in octave 4} Dotted Eighth,B-3-minor triad,0.75,108.0
Chord {A in octave 3 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,F4-major triad,3.5,112.0
Chord {A in octave 3 | D in octave 4 | C in octave 4 | F-sharp in octave 4} Half,D4-dominant seventh chord,2.0,116.0
