187.58333333333334
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 3 | F in octave 3} Quarter Triplet (2/3 QL),B-3-interval class 5,2/3,2.25
Chord {B in octave 3 | E in octave 4} Quarter,E4-interval class 5,1.0,21.75
Chord {F in octave 4 | C in octave 4 | C in octave 6} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,83/3
Chord {F in octave 4 | C in octave 6} Quarter,F4-interval class 5,1.0,86/3
Chord {C in octave 6 | G in octave 5} Quarter,C6-interval class 5,1.0,30.25
Chord {E-flat in octave 4 | F in octave 3} Dotted Quarter,F3-interval class 2,1.5,42.5
Chord {G-sharp in octave 3 | E-flat in octave 3} Quarter,E-3-interval class 5,1.0,46.5
Chord {C in octave 5 | D in octave 5} Eighth Triplet (1/3 QL),D5-interval class 2,1/3,154/3
Chord {B in octave 5 | C in octave 6} Eighth Triplet (1/3 QL),C6-interval class 1,1/3,53.0
Chord {C in octave 6 | B in octave 5} 16th,C6-interval class 1,0.25,53.75
Chord {D in octave 4 | A in octave 3} Dotted Quarter,D4-interval class 5,1.5,63.5
Chord {C in octave 4 | G in octave 3} Dotted Quarter,C4-interval class 5,1.5,69.75
Chord {G in octave 2 | D in octave 3} Quarter Triplet (2/3 QL),G2-interval class 5,2/3,74.25
Chord {C in octave 4 | E in octave 4} Quarter,C4-interval class 4,1.0,227/3
Chord {E in octave 3 | D in octave 4} Quarter,E3-interval class 2,1.0,79.5
Chord {D in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),D3-interval class 2,1/3,83.25
Chord {F-sharp in octave 6 | F in octave 5} Eighth,F#6-interval class 1,0.5,85.75
Chord {B in octave 6 | C in octave 7} 16th,C7-interval class 1,0.25,86.25
Chord {C in octave 2 | G in octave 2} Quarter,C2-interval class 5,1.0,87.75
Chord {E-flat in octave 4 | B-flat in octave 3} Eighth,E-4-interval class 5,0.5,89.0
Chord {C-sharp in octave 2 | G-sharp in octave 2} Eighth,C#2-interval class 5,0.5,89.5
Chord {D in octave 2 | A in octave 2} Eighth Triplet (1/3 QL),D2-interval class 5,1/3,90.5
Chord {A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,91.0
Chord {B in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,93.75
Chord {E-flat in octave 3 | G-sharp in octave 3} Eighth,E-3-interval class 5,0.5,95.75
Chord {A in octave 2 | D in octave 3} Eighth,D3-interval class 5,0.5,97.0
Chord {G-sharp in octave 4 | C-sharp in octave 5} Zero,C#5-interval class 5,0.0,98.0
Chord {C in octave 6 | F-sharp in octave 6} Eighth Triplet (1/3 QL),F#6-tritone,1/3,102.25
Chord {G in octave 3 | F in octave 4} Dotted Quarter,G3-interval class 2,1.5,107.5
Chord {D in octave 3 | G-sharp in octave 6} Eighth,G#6-tritone,0.5,117.5
Chord {D in octave 3 | C-sharp in octave 4 | G-sharp in octave 3} Quarter,C#4-tritone-fourth,1.0,355/3
Chord {E-flat in octave 6 | C-sharp in octave 4 | G-sharp in octave 5 | G-sharp in octave 6 | G-sharp in octave 3} Eighth Triplet (1/3 QL),C#4-quartal trichord,1/3,120.0
Chord {G-sharp in octave 6 | G-sharp in octave 5} Quarter,G#6-unison,1.0,120.75
