692.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | E in octave 4 | A in octave 4} 16th,A4-minor triad,0.25,4.0
Chord {C in octave 4 | E in octave 4 | A in octave 4} 16th,A4-minor triad,0.25,5.5
Chord {A in octave 3 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-minor triad,1/3,6.5
Chord {G in octave 3 | B in octave 3 | E in octave 4} Eighth,E4-minor triad,0.5,7.5
Chord {F in octave 4 | A in octave 4 | D in octave 5} 16th,D5-minor triad,0.25,12.0
Chord {F in octave 4 | A in octave 4 | D in octave 5} 16th,D5-minor triad,0.25,13.5
Chord {F in octave 4 | A in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),D5-minor triad,1/3,14.5
Chord {B in octave 3 | D in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-major triad,1/3,15.5
Chord {D in octave 4 | G in octave 4 | B in octave 4} 16th,G4-major triad,0.25,16.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} Quarter,G4-major triad,1.0,17.5
Chord {G in octave 3 | B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-major triad,1/3,18.5
Chord {G in octave 3 | B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-major triad,1/3,19.5
Chord {F in octave 4 | A in octave 4 | C in octave 5} 16th,F4-major triad,0.25,20.0
Chord {F in octave 4 | A in octave 4 | C in octave 5} Quarter,F4-major triad,1.0,21.5
Chord {F in octave 4 | A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F4-major triad,1/3,22.5
Chord {G in octave 3 | B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-major triad,1/3,23.5
Chord {B in octave 3 | D in octave 4 | G in octave 4} 16th,G4-major triad,0.25,24.5
Chord {B in octave 3 | D in octave 4 | G in octave 4} Quarter,G4-major triad,1.0,25.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),G4-major triad,1/3,26.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),G4-major triad,1/3,27.5
Chord {A in octave 3 | C in octave 4 | E in octave 4} 16th,A3-minor triad,0.25,36.0
Chord {C in octave 4 | E in octave 4 | A in octave 4} 16th,A4-minor triad,0.25,37.5
Chord {C in octave 4 | E in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-minor triad,1/3,38.5
Chord {C in octave 4 | E in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-minor triad,1/3,39.5
Chord {C in octave 4 | E in octave 4 | A in octave 4} 16th,A4-minor triad,0.25,40.5
Chord {E in octave 4 | A in octave 4 | C in octave 5} Quarter,A4-minor triad,1.0,41.5
Chord {E in octave 4 | A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A4-minor triad,1/3,42.5
Chord {A in octave 3 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-minor triad,1/3,43.5
Chord {E in octave 4 | A in octave 4 | C in octave 5} Eighth,A4-minor triad,0.5,47.5
Chord {B in octave 3 | D in octave 4 | G in octave 4} 16th,G4-major triad,0.25,52.0
Chord {B in octave 3 | D in octave 4 | G in octave 4} 16th,G4-major triad,0.25,53.5
Chord {B in octave 3 | D in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-major triad,1/3,54.5
Chord {D in octave 4 | F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D4-minor triad,1/3,55.5
Chord {C in octave 4 | E in octave 4 | A in octave 4} 16th,A4-minor triad,0.25,68.0
Chord {E in octave 4 | A in octave 4 | C in octave 5} 16th,A4-minor triad,0.25,69.5
Chord {E in octave 4 | A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A4-minor triad,1/3,70.5
Chord {G in octave 3 | B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-major triad,1/3,71.5
Chord {D in octave 4 | G in octave 4 | B in octave 4} 16th,G4-major triad,0.25,72.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} 16th,G4-major triad,0.25,73.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),G4-major triad,1/3,74.5
Chord {G in octave 3 | B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),G3-major triad,1/3,75.5
Chord {F in octave 4 | A in octave 4 | C in octave 5} 16th,F4-major triad,0.25,76.0
Chord {F in octave 4 | A in octave 4 | C in octave 5} 16th,F4-major triad,0.25,77.5
Chord {F in octave 4 | A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F4-major triad,1/3,78.5
Chord {G in octave 3 | B in octave 3 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),C4-major seventh chord,1/3,79.5
Chord {B in octave 3 | D in octave 4 | G in octave 4} Eighth,G4-major triad,0.5,87.5
Chord {A in octave 3 | C in octave 4 | F in octave 4} Whole,F4-major triad,4.0,88.0
Chord {E in octave 4 | A in octave 4 | C in octave 5} 16th,A4-minor triad,0.25,92.0
Chord {E in octave 4 | A in octave 4 | C in octave 5} 16th,A4-minor triad,0.25,93.5
Chord {A in octave 3 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-minor triad,1/3,94.5
Chord {F in octave 4 | A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F4-major triad,1/3,95.5
Chord {B in octave 3 | E in octave 4 | G in octave 4} Eighth,E4-minor triad,0.5,111.5
Chord {G in octave 3 | B in octave 3 | D in octave 4} Whole,G3-major triad,4.0,112.0
Chord {E in octave 4 | G in octave 4 | C in octave 5} 16th,C5-major triad,0.25,116.0
Chord {E in octave 4 | G in octave 4 | C in octave 5} Quarter,C5-major triad,1.0,117.5
Chord {E in octave 4 | G in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),C5-major triad,1/3,118.5
Chord {E in octave 4 | G in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),C5-major triad,1/3,119.5
Chord {B in octave 3 | D in octave 4 | G in octave 4} 16th,G4-major triad,0.25,124.0
Chord {G in octave 4 | B in octave 4 | D in octave 5} 16th,G4-major triad,0.25,125.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),G4-major triad,1/3,126.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),G4-major triad,1/3,127.5
Chord {C in octave 4 | E in octave 4 | A in octave 4} 16th,A4-minor triad,0.25,132.0
Chord {C in octave 4 | E in octave 4 | A in octave 4} 16th,A4-minor triad,0.25,133.5
Chord {C in octave 4 | E in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-minor triad,1/3,134.5
Chord {G in octave 3 | B in octave 3 | E in octave 4} Eighth,E4-minor triad,0.5,135.5
Chord {F in octave 4 | A in octave 4 | D in octave 5} 16th,D5-minor triad,0.25,140.0
Chord {F in octave 4 | A in octave 4 | D in octave 5} 16th,D5-minor triad,0.25,141.5
Chord {F in octave 4 | A in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),D5-minor triad,1/3,142.5
Chord {B in octave 3 | D in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-major triad,1/3,143.5
Chord {D in octave 4 | G in octave 4 | B in octave 4} 16th,G4-major triad,0.25,144.5
