736.1666666666666
4/4
FullName,CommonName,Len,Offset
Chord {C-sharp in octave 3 | C in octave 2 | E in octave 2} Quarter,C#3-major-minor trichord,1.0,27.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,29.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,31.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,33.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,35.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,37.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,39.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,40.0
Chord {F-sharp in octave 2 | B in octave 1} 16th,B1-interval class 5,0.25,128/3
Chord {F-sharp in octave 2 | D in octave 2} 16th,D2-interval class 4,0.25,43.0
Chord {C-sharp in octave 3 | E-flat in octave 3 | B in octave 1} 16th,C#3-whole-tone trichord,0.25,44.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,45.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,46.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,47.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,49.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,51.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,53.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,55.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,167/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,57.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,59.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,61.0
Chord {C-sharp in octave 3 | D in octave 2} 16th,D2-interval class 1,0.25,188/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,63.0
Chord {C-sharp in octave 3 | D in octave 2} 16th,D2-interval class 1,0.25,191/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,65.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,67.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,203/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,69.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,209/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,71.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,73.0
Chord {C-sharp in octave 3 | D in octave 2} 16th,D2-interval class 1,0.25,221/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,75.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,77.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,79.0
Chord {C-sharp in octave 3 | D in octave 2} 16th,D2-interval class 1,0.25,242/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,81.0
Chord {C-sharp in octave 3 | D in octave 2} 16th,D2-interval class 1,0.25,245/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,83.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,85.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,257/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,87.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,89.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,91.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,93.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,95.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,97.0
Chord {C-sharp in octave 3 | D in octave 2} 16th,D2-interval class 1,0.25,293/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,99.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,101.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,305/3
Chord {A in octave 3 | C in octave 2 | D in octave 2} Quarter Triplet (2/3 QL),D2-incomplete dominant-seventh chord,2/3,102.0
Chord {E in octave 2 | C in octave 2 | D in octave 2} Quarter Triplet (2/3 QL),C2-whole-tone trichord,2/3,103.0
Chord {C-sharp in octave 3 | E-flat in octave 3 | B in octave 1} 16th,C#3-whole-tone trichord,0.25,108.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,109.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,110.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,111.0
Chord {C-sharp in octave 3 | D in octave 2} 16th,D2-interval class 1,0.25,338/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,113.0
Chord {C-sharp in octave 3 | D in octave 2} 16th,D2-interval class 1,0.25,344/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,115.0
Chord {C-sharp in octave 3 | D in octave 2} 16th,D2-interval class 1,0.25,350/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,117.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,119.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,121.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,123.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,371/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,125.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,377/3
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,127.0
Chord {E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,129.0
