562.5
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 4 | B-flat in octave 1} Eighth,B-1-interval class 4,0.5,14.0
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,20.5
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,22.0
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,27.5
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,48.75
Chord {E-flat in octave 3 | C in octave 4 | A in octave 1 | G in octave 3} Zero,A1-half-diminished seventh chord,0.0,52.0
Chord {C in octave 4 | G-sharp in octave 3 | D in octave 3} Zero,C4-incomplete half-diminished seventh chord,0.0,60.0
Chord {E in octave 3 | G in octave 3 | B-flat in octave 3 | C in octave 4} Zero,C4-dominant seventh chord,0.0,71.5
Chord {E in octave 3 | B-flat in octave 3} Eighth,E3-tritone,0.5,73.75
Chord {C in octave 2 | E in octave 3} 16th,C2-interval class 4,0.25,75.25
Chord {F in octave 3 | G-sharp in octave 3} Zero,G#3-interval class 3,0.0,76.0
Chord {F in octave 1 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,76.25
Chord {E-flat in octave 3 | A in octave 3} 16th,A3-tritone,0.25,80.0
Chord {G-sharp in octave 3 | D in octave 3 | D in octave 2} Eighth Triplet (1/3 QL),G#3-tritone,1/3,84.25
Chord {E-flat in octave 3 | A in octave 3} Zero,A3-tritone,0.0,88.5
Chord {G-sharp in octave 3 | D in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,98.75
Chord {G-sharp in octave 3 | D in octave 3} 16th,G#3-tritone,0.25,99.75
Chord {D in octave 2 | E-flat in octave 2} 16th,E-2-interval class 1,0.25,106.0
Chord {E-flat in octave 3 | C in octave 4} Quarter,C4-interval class 3,1.0,329/3
Chord {E-flat in octave 3 | C in octave 4 | G in octave 3} Zero,C4-minor triad,0.0,111.25
Chord {B-flat in octave 3 | E in octave 3} Quarter Triplet (2/3 QL),E3-tritone,2/3,121.5
Chord {B-flat in octave 3 | E in octave 3} Zero,E3-tritone,0.0,122.5
Chord {E-flat in octave 3 | E-flat in octave 4 | A in octave 3} 16th,A3-tritone,0.25,135.25
Chord {G in octave 2 | C in octave 4} 16th,C4-interval class 5,0.25,138.0
Chord {B-flat in octave 3 | C in octave 4} Zero,C4-interval class 2,0.0,140.0
Chord {B-flat in octave 3 | E in octave 3 | G in octave 3 | C in octave 4} Half,C4-dominant seventh chord,2.0,140.75
Chord {D in octave 4 | B-flat in octave 1} Eighth,B-1-interval class 4,0.5,150.0
Chord {D in octave 4 | D in octave 3} Zero,D4-unison,0.0,461/3
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,156.5
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,158.0
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,163.5
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,184.75
Chord {E-flat in octave 3 | C in octave 4 | A in octave 1 | G in octave 3} Zero,A1-half-diminished seventh chord,0.0,188.0
Chord {C in octave 4 | G-sharp in octave 3 | D in octave 3} Zero,C4-incomplete half-diminished seventh chord,0.0,196.0
Chord {E in octave 3 | G in octave 3 | B-flat in octave 3 | C in octave 4} Zero,C4-dominant seventh chord,0.0,207.5
Chord {E in octave 3 | B-flat in octave 3} Eighth,E3-tritone,0.5,209.75
Chord {C in octave 2 | E in octave 3} 16th,C2-interval class 4,0.25,211.25
Chord {F in octave 3 | G-sharp in octave 3} Zero,G#3-interval class 3,0.0,212.0
Chord {F in octave 1 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,212.25
Chord {E-flat in octave 3 | A in octave 3} 16th,A3-tritone,0.25,216.0
Chord {G-sharp in octave 3 | D in octave 3 | D in octave 2} Eighth Triplet (1/3 QL),G#3-tritone,1/3,220.25
Chord {E-flat in octave 3 | A in octave 3} Zero,A3-tritone,0.0,224.5
Chord {G-sharp in octave 3 | D in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,234.75
Chord {G-sharp in octave 3 | D in octave 3} 16th,G#3-tritone,0.25,235.75
Chord {D in octave 2 | E-flat in octave 2} 16th,E-2-interval class 1,0.25,242.0
Chord {E-flat in octave 3 | C in octave 4} Quarter,C4-interval class 3,1.0,737/3
Chord {E-flat in octave 3 | C in octave 4 | G in octave 3} Zero,C4-minor triad,0.0,247.25
Chord {B-flat in octave 3 | E in octave 3} Quarter Triplet (2/3 QL),E3-tritone,2/3,257.5
Chord {B-flat in octave 3 | E in octave 3} Zero,E3-tritone,0.0,258.5
Chord {G in octave 2 | C in octave 4} 16th,C4-interval class 5,0.25,274.0
Chord {B-flat in octave 3 | C in octave 4} Zero,C4-interval class 2,0.0,276.0
Chord {B-flat in octave 3 | E in octave 3 | G in octave 3 | C in octave 4} Half,C4-dominant seventh chord,2.0,276.75
Chord {D in octave 4 | B-flat in octave 1} Eighth,B-1-interval class 4,0.5,286.0
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,292.5
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,294.0
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,299.5
Chord {G-sharp in octave 3 | D in octave 4} Zero,G#3-tritone,0.0,937/3
Chord {E-flat in octave 3 | C in octave 4} Zero,C4-interval class 3,0.0,320.75
Chord {E-flat in octave 3 | C in octave 4 | A in octave 1 | G in octave 3} Zero,A1-half-diminished seventh chord,0.0,324.0
Chord {C in octave 4 | G-sharp in octave 3 | D in octave 3} Zero,C4-incomplete half-diminished seventh chord,0.0,332.0
Chord {E in octave 3 | G in octave 3 | B-flat in octave 3 | C in octave 4} Zero,C4-dominant seventh chord,0.0,343.5
Chord {E in octave 3 | B-flat in octave 3} Eighth,E3-tritone,0.5,345.75
Chord {C in octave 2 | E in octave 3} 16th,C2-interval class 4,0.25,347.25
Chord {F in octave 3 | G-sharp in octave 3} Zero,G#3-interval class 3,0.0,348.0
Chord {F in octave 1 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,348.25
Chord {E-flat in octave 3 | A in octave 3} 16th,A3-tritone,0.25,352.0
Chord {G-sharp in octave 3 | D in octave 3 | D in octave 2} Eighth Triplet (1/3 QL),G#3-tritone,1/3,356.25
Chord {E-flat in octave 3 | A in octave 3} Zero,A3-tritone,0.0,360.5
Chord {G-sharp in octave 3 | D in octave 3} Quarter Triplet (2/3 QL),G#3-tritone,2/3,370.75
Chord {G-sharp in octave 3 | D in octave 3} 16th,G#3-tritone,0.25,371.75
Chord {D in octave 2 | E-flat in octave 2} 16th,E-2-interval class 1,0.25,378.0
Chord {E-flat in octave 3 | C in octave 4} Quarter,C4-interval class 3,1.0,1145/3
