748.1666666666666
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 3 | B-flat in octave 3} Whole tied to Double Dotted Quarter (5 3/4 total QL),B-3-interval class 5,5.75,12.0
Chord {A in octave 4 | D in octave 4 | F in octave 4 | B-flat in octave 3} Quarter,B-3-major seventh chord,1.0,18.0
Chord {B-flat in octave 3 | F in octave 4} Quarter,B-3-interval class 5,1.0,19.0
Chord {D in octave 4 | A in octave 3 | F in octave 3} Whole,D4-minor triad,4.0,20.0
Chord {F in octave 3 | A in octave 3} Quarter Triplet (2/3 QL),F3-interval class 4,2/3,24.0
Chord {A in octave 3 | C in octave 4} Dotted Half,A3-interval class 3,3.0,24.75
Chord {D in octave 4 | F in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),B-3-major triad,2/3,34.5
Chord {B-flat in octave 3 | F in octave 4 | F in octave 3} 16th,B-3-interval class 5,0.25,42.25
Chord {D in octave 4 | G in octave 4 | F in octave 3} Quarter,G4-incomplete dominant-seventh chord,1.0,42.75
Chord {A in octave 3 | D in octave 4 | B-flat in octave 3} Dotted Half,B-3-incomplete major-seventh chord,3.0,51.75
Chord {F in octave 4 | A in octave 4} Eighth,F4-interval class 4,0.5,55.25
Chord {G in octave 4 | E in octave 4} Dotted Quarter,E4-interval class 3,1.5,55.75
Chord {F in octave 4 | D in octave 4} 16th,D4-interval class 3,0.25,172/3
Chord {C in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-interval class 4,1.25,57.75
Chord {D in octave 4 | B-flat in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),B-3-interval class 4,5/3,64.0
Chord {F in octave 4 | G in octave 3} Dotted Eighth,G3-interval class 2,0.75,66.0
Chord {D in octave 4 | B-flat in octave 3 | F in octave 3} Dotted Half,B-3-major triad,3.0,67.0
Chord {F in octave 4 | A in octave 4 | D in octave 4 | B-flat in octave 3} 16th,B-3-major seventh chord,0.25,70.25
Chord {F in octave 4 | C in octave 5 | B-flat in octave 3 | D in octave 4} Eighth,B-3-major-second major tetrachord,0.5,74.25
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),F3-minor triad,2.75,76.0
Chord {G-sharp in octave 3 | C in octave 4 | E-flat in octave 4} Zero,C4-major triad,0.0,244/3
Chord {G in octave 4 | C in octave 4 | G-sharp in octave 3} Quarter,C4-incomplete major-seventh chord,1.0,81.75
Chord {E-flat in octave 4 | G-sharp in octave 3 | C in octave 4} Quarter,C4-major triad,1.0,83.0
Chord {B-flat in octave 3 | F-sharp in octave 3 | C-sharp in octave 4 | E-flat in octave 4} Zero,C#4-minor seventh chord,0.0,262/3
Chord {C-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 3} 16th,B-3-major triad,0.25,87.5
Chord {B-flat in octave 3 | F-sharp in octave 3} Quarter Triplet (2/3 QL),B-3-interval class 4,2/3,87.75
Chord {F in octave 4 | B-flat in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 3} Zero,B-4-major seventh chord,0.0,89.25
Chord {C-sharp in octave 5 | B-flat in octave 3 | F in octave 4 | C-sharp in octave 4 | F-sharp in octave 3} Quarter,B-3-major seventh chord,1.0,89.75
Chord {C-sharp in octave 4 | B-flat in octave 3} Eighth,C#4-interval class 3,0.5,91.0
Chord {C in octave 4 | A in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-incomplete dominant-seventh chord,5/3,92.0
Chord {A in octave 4 | D in octave 4 | C in octave 4 | A in octave 3} Half,D4-incomplete dominant-seventh chord,2.0,95.75
Chord {A in octave 3 | C in octave 4 | D in octave 4 | A in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,97.75
Chord {E-flat in octave 4 | C in octave 4} Triple Dotted Half (3 3/4 QL),C4-interval class 3,3.75,100.0
Chord {E in octave 4 | A in octave 3} Zero,A3-interval class 5,0.0,104.25
Chord {G in octave 4 | C in octave 4 | A in octave 3} 16th,A3-incomplete minor-seventh chord,0.25,104.75
Chord {A in octave 3 | E in octave 4 | C in octave 4} Dotted Eighth,A3-minor triad,0.75,105.25
Chord {D in octave 4 | A in octave 3 | F in octave 3 | C in octave 4} Zero,D4-minor seventh chord,0.0,113.25
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3} Quarter,F4-major triad,1.0,113.75
Chord {D in octave 4 | A in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),D4-interval class 5,7/3,115.0
Chord {C in octave 4 | F in octave 4 | D in octave 4} Zero,D4-incomplete minor-seventh chord,0.0,352/3
Chord {C in octave 4 | F in octave 3 | A in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),F3-major triad,7/3,117.75
Chord {F in octave 4 | F in octave 3 | C in octave 4} Zero,F4-interval class 5,0.0,120.25
Chord {C in octave 4 | F in octave 3} Half,F3-interval class 5,2.0,120.75
