468.0
6/8
FullName,CommonName,Len,Offset
Chord {D in octave 2 | D in octave 1} Dotted Quarter,D2-unison,1.5,232.5
Chord {C in octave 1 | C in octave 2} Dotted Breve,C1-unison,12.0,420.0
Chord {C in octave 2 | C in octave 1} Dotted Breve,C2-unison,12.0,432.0
Chord {A in octave 3 | F in octave 3 | D in octave 3 | B-flat in octave 1} Dotted Half,B-1-major seventh chord,3.0,105.0
Chord {E-flat in octave 3 | C in octave 3 | G in octave 3 | G-sharp in octave 1} Dotted Half,C3-major seventh chord,3.0,108.0
Chord {D in octave 3 | B-flat in octave 3} Breve tied to Quarter (9 total QL),B-3-interval class 4,9.0,111.0
Chord {A in octave 3 | D in octave 3 | F in octave 3 | F in octave 1} Dotted Whole,D3-minor triad,6.0,120.0
Chord {G in octave 3 | B-flat in octave 3 | E-flat in octave 3 | G in octave 1} Dotted Whole,E-3-major triad,6.0,126.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | A in octave 1} Dotted Whole,F3-major triad,6.0,132.0
Chord {G in octave 3 | E in octave 4 | E in octave 3 | C in octave 2} Dotted Half,C2-major triad,3.0,138.0
Chord {C in octave 3 | G in octave 3 | E in octave 4 | A in octave 1} Dotted Half,A1-minor seventh chord,3.0,141.0
Chord {A in octave 3 | C in octave 3 | E in octave 4 | F in octave 1} Dotted Half,F1-major seventh chord,3.0,144.0
Chord {F in octave 3 | A in octave 3 | C in octave 4 | D in octave 1} Dotted Half,D1-minor seventh chord,3.0,147.0
Chord {B-flat in octave 1 | F in octave 3 | A in octave 3 | D in octave 4} Dotted Breve,B-1-major seventh chord,12.0,150.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4 | G in octave 1} Dotted Half,G1-minor seventh chord,3.0,162.0
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | E-flat in octave 1} Dotted Half,E-1-major seventh chord,3.0,165.0
Chord {E-flat in octave 3 | G in octave 3 | B-flat in octave 3 | C in octave 2} Dotted Half,C2-minor seventh chord,3.0,168.0
Chord {E-flat in octave 3 | A in octave 3 | C in octave 3 | F in octave 1} Dotted Half,F1-dominant seventh chord,3.0,171.0
Chord {D in octave 3 | G in octave 3 | B-flat in octave 3 | E in octave 1} Dotted Whole,E1-half-diminished seventh chord,6.0,174.0
Chord {B-flat in octave 3 | G in octave 3 | E-flat in octave 1 | D in octave 3} Dotted Whole,E-1-major seventh chord,6.0,180.0
Chord {B-flat in octave 2 | F in octave 3 | D in octave 4 | B-flat in octave 1} Dotted Quarter,B-2-major triad,1.5,198.0
Chord {F in octave 3 | C in octave 4 | A in octave 3 | A in octave 1} Dotted Quarter,F3-major triad,1.5,199.5
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 3 | G-sharp in octave 1} Dotted Quarter,F3-minor triad,1.5,201.0
Chord {D in octave 3 | F in octave 3 | B-flat in octave 3 | G in octave 1} Dotted Quarter,G1-minor seventh chord,1.5,202.5
Chord {D in octave 3 | B-flat in octave 3 | F in octave 3 | F in octave 1} Dotted Quarter,B-3-major triad,1.5,204.0
Chord {B-flat in octave 2 | D in octave 3 | G in octave 3 | E-flat in octave 1} Whole tied to Eighth (4 1/2 total QL),E-1-major seventh chord,4.5,205.5
Chord {D in octave 4 | F in octave 3 | B-flat in octave 2 | B-flat in octave 1} Dotted Quarter,B-2-major triad,1.5,210.0
Chord {F in octave 3 | A in octave 3 | C in octave 4 | A in octave 1} Dotted Quarter,F3-major triad,1.5,211.5
Chord {B-flat in octave 3 | D in octave 3 | F in octave 3 | G in octave 1} Dotted Half,G1-minor seventh chord,3.0,213.0
Chord {D in octave 3 | F-sharp in octave 3 | A in octave 3 | F-sharp in octave 1} Dotted Quarter,D3-major triad,1.5,216.0
Chord {D in octave 3 | G in octave 3 | B-flat in octave 3 | F in octave 1} Dotted Quarter,G3-minor seventh chord,1.5,217.5
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | E in octave 1} Dotted Half,E1-half-diminished seventh chord,3.0,219.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 1} Dotted Half,B-3-major triad,3.0,222.0
Chord {E-flat in octave 3 | C in octave 4 | G in octave 3 | G-sharp in octave 1} Dotted Half,C4-major seventh chord,3.0,225.0
Chord {D in octave 3 | F in octave 3 | B-flat in octave 3 | G in octave 1} Whole tied to Eighth (4 1/2 total QL),G1-minor seventh chord,4.5,228.0
Chord {C in octave 4 | D in octave 1 | D in octave 3 | D in octave 2} Dotted Quarter,D1-interval class 2,1.5,232.5
Chord {B-flat in octave 3 | D in octave 4 | G in octave 2 | G in octave 1} Dotted Whole,G2-minor triad,6.0,234.0
Chord {F in octave 4 | D in octave 4} Dotted Half,D4-interval class 3,3.0,240.0
Chord {C in octave 3 | C in octave 2} Dotted Quarter,C3-unison,1.5,336.0
Chord {B in octave 2 | B in octave 1} Dotted Quarter,B2-unison,1.5,337.5
Chord {B-flat in octave 2 | D in octave 3 | B-flat in octave 1} Dotted Quarter,B-2-interval class 4,1.5,339.0
Chord {A in octave 2 | C in octave 3 | A in octave 1} Dotted Quarter,A2-interval class 3,1.5,340.5
Chord {G in octave 2 | G in octave 3 | G in octave 1} Dotted Quarter,G2-unison,1.5,342.0
Chord {F in octave 2 | A in octave 3 | F in octave 1} Whole tied to Eighth (4 1/2 total QL),F2-interval class 4,4.5,343.5
Chord {C in octave 3 | G in octave 3 | C in octave 4 | A in octave 1} Dotted Half,A1-incomplete minor-seventh chord,3.0,351.0
Chord {G-sharp in octave 3 | B in octave 3 | G-sharp in octave 1} Dotted Quarter,G#3-interval class 3,1.5,354.0
Chord {A in octave 3 | C in octave 4 | G in octave 1} Dotted Quarter,A3-incomplete minor-seventh chord,1.5,355.5
Chord {C in octave 4 | E in octave 4} Half tied to Eighth (2 1/2 total QL),C4-interval class 4,2.5,357.0
Chord {E in octave 4 | G in octave 3} Whole tied to Quarter (5 total QL),E4-interval class 3,5.0,360.0
Chord {D in octave 3 | C in octave 4 | F in octave 3 | G in octave 1} Dotted Whole,D3-quartal tetramirror,6.0,366.0
Chord {C in octave 4 | G in octave 3 | A in octave 1} Dotted Whole,A1-incomplete minor-seventh chord,6.0,372.0
Chord {A in octave 3 | E in octave 3 | F-sharp in octave 1} Dotted Whole,F#1-incomplete minor-seventh chord,6.0,378.0
Chord {C in octave 4 | B in octave 3 | E in octave 3 | G in octave 1} Dotted Whole,C4-major seventh chord,6.0,384.0
Chord {D in octave 3 | F in octave 3 | C in octave 4 | G in octave 1} Dotted Whole,D3-quartal tetramirror,6.0,390.0
Chord {C in octave 2 | B in octave 3 | E in octave 4} Dotted Half,C2-incomplete major-seventh chord,3.0,396.0
Chord {B-flat in octave 3 | E-flat in octave 4 | C in octave 2} Dotted Half,C2-incomplete minor-seventh chord,3.0,399.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4 | C in octave 2} Dotted Whole,B-3-major-second major tetrachord,6.0,402.0
Chord {B in octave 3 | E in octave 4 | C in octave 2} Dotted Half,C2-incomplete major-seventh chord,3.0,408.0
Chord {E-flat in octave 4 | B-flat in octave 3 | C in octave 2} Dotted Half,C2-incomplete minor-seventh chord,3.0,411.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Dotted Whole,B-3-major triad,6.0,414.0
Chord {B in octave 3 | E in octave 4 | C in octave 2} Dotted Half,C2-incomplete major-seventh chord,3.0,420.0
Chord {E-flat in octave 4 | B-flat in octave 3 | C in octave 2} Dotted Half,C2-incomplete minor-seventh chord,3.0,423.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Dotted Whole,B-3-major triad,6.0,426.0
Chord {B in octave 3 | E in octave 4 | C in octave 2} Dotted Half,C2-incomplete major-seventh chord,3.0,432.0
Chord {E-flat in octave 4 | B-flat in octave 3 | C in octave 2} Dotted Half,C2-incomplete minor-seventh chord,3.0,435.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Dotted Whole,B-3-major triad,6.0,438.0
Chord {B in octave 3 | E in octave 4 | C in octave 2} Dotted Half,C2-incomplete major-seventh chord,3.0,444.0
Chord {E-flat in octave 4 | B-flat in octave 3 | C in octave 2} Dotted Half,C2-incomplete minor-seventh chord,3.0,447.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Dotted Whole,B-3-major triad,6.0,450.0
Chord {B in octave 3 | E in octave 4 | C in octave 2} Dotted Half,C2-incomplete major-seventh chord,3.0,456.0
Chord {E-flat in octave 4 | B-flat in octave 3 | C in octave 2} Dotted Half,C2-incomplete minor-seventh chord,3.0,459.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Dotted Whole,B-3-major triad,6.0,462.0
Chord {B in octave 3 | E in octave 4} Dotted Half,E4-interval class 5,3.0,33.0
Chord {B-flat in octave 3 | E-flat in octave 4} Dotted Half,E-4-interval class 5,3.0,36.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Dotted Whole,B-3-major triad,6.0,39.0
Chord {B in octave 3 | E in octave 4} Dotted Half,E4-interval class 5,3.0,45.0
Chord {B-flat in octave 3 | E-flat in octave 4} Dotted Half,E-4-interval class 5,3.0,48.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Dotted Whole,B-3-major triad,6.0,51.0
Chord {B in octave 3 | E in octave 4} Dotted Half,E4-interval class 5,3.0,57.0
Chord {B-flat in octave 3 | E-flat in octave 4} Dotted Half,E-4-interval class 5,3.0,60.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Dotted Whole,B-3-major triad,6.0,63.0
Chord {B in octave 3 | E in octave 4} Dotted Half,E4-interval class 5,3.0,69.0
Chord {B-flat in octave 3 | E-flat in octave 4} Dotted Half,E-4-interval class 5,3.0,72.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Dotted Whole,B-3-major triad,6.0,75.0
Chord {G in octave 3 | E in octave 4 | B in octave 3 | C in octave 2} Dotted Half,C2-major seventh chord,3.0,81.0
Chord {B-flat in octave 3 | E-flat in octave 4 | G in octave 3 | G-sharp in octave 1} Dotted Half,E-4-perfect-fourth major tetrachord,3.0,84.0
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | E-flat in octave 2} Dotted Whole,E-2-major seventh chord,6.0,87.0
