456.0
3/4
FullName,CommonName,Len,Offset
Chord {C-sharp in octave 4 | E-flat in octave 4 | G in octave 4} Double Dotted Quarter,C#4-incomplete dominant-seventh chord,1.75,3.0
Chord {E-flat in octave 3 | E-flat in octave 4} Quarter,E-3-unison,1.0,9.0
Chord {C in octave 3 | C in octave 4} Double Dotted Quarter,C3-unison,1.75,10.0
Chord {G-sharp in octave 2 | G-sharp in octave 3} 16th,G#2-unison,0.25,11.75
Chord {G in octave 2 | G in octave 3} Dotted Half,G2-unison,3.0,12.0
Chord {F in octave 2 | F in octave 3} Dotted Half,F2-unison,3.0,15.0
Chord {G-sharp in octave 4 | G-sharp in octave 5} Whole Tuplet of 12/7ths (2 1/3 QL),G#4-unison,7/3,18.0
Chord {A in octave 4 | A in octave 5} Quarter,A4-unison,1.0,21.0
Chord {E-flat in octave 3 | G in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 4} Whole tied to Quarter (5 total QL),C#4-dominant seventh chord,5.0,24.0
Chord {C-sharp in octave 5 | E-flat in octave 5 | G in octave 5 | B-flat in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),C#5-dominant seventh chord,5/3,42.0
Chord {E-flat in octave 4 | E-flat in octave 5} Dotted Eighth,E-4-unison,0.75,44.0
Chord {C-sharp in octave 5 | E-flat in octave 5 | G in octave 5 | B in octave 5} Half,C#5-augmented seventh chord,2.0,45.0
Chord {E-flat in octave 4 | E-flat in octave 5} Dotted Eighth,E-4-unison,0.75,47.0
Chord {C in octave 5 | E-flat in octave 5 | F in octave 5 | G-sharp in octave 5 | C in octave 6} Dotted Half,C5-minor seventh chord,3.0,48.0
Chord {C-sharp in octave 5 | E-flat in octave 5 | G in octave 5 | B-flat in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),C#5-dominant seventh chord,5/3,51.0
Chord {F in octave 5 | B-flat in octave 5 | C-sharp in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),B-5-minor triad,5/3,66.0
Chord {F in octave 5 | A in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),F5-major triad,5/3,69.0
Chord {C-sharp in octave 5 | F in octave 5} Whole Tuplet of 12/7ths (2 1/3 QL),F5-interval class 4,7/3,72.0
Chord {C-sharp in octave 5 | E in octave 5 | G-sharp in octave 5} Dotted Half,C#5-minor triad,3.0,81.0
Chord {C in octave 6 | B-flat in octave 6} Dotted Eighth,C6-interval class 2,0.75,84.0
Chord {C-sharp in octave 6 | G-sharp in octave 6} Dotted Eighth,C#6-interval class 5,0.75,85.0
Chord {C in octave 6 | E-flat in octave 6} Dotted Eighth,C6-interval class 3,0.75,86.0
