418.0
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 1 | E-flat in octave 2} Eighth Triplet (1/3 QL),E-1-unison,1/3,18.0
Chord {E in octave 2 | E in octave 1} 16th,E2-unison,0.25,18.5
Chord {F in octave 2 | F in octave 1} 16th,F2-unison,0.25,19.0
Chord {F-sharp in octave 2 | F-sharp in octave 1} 16th,F#2-unison,0.25,19.5
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | G in octave 4} Eighth,C4-major seventh chord,0.5,24.0
Chord {E-flat in octave 4 | G-sharp in octave 4 | C in octave 4 | G in octave 4} 16th,C4-major seventh chord,0.25,24.75
Chord {D in octave 4 | B-flat in octave 4 | A in octave 4 | F in octave 4} Eighth,B-4-major seventh chord,0.5,28.0
Chord {D in octave 4 | B-flat in octave 4 | A in octave 4 | F in octave 4} 16th,B-4-major seventh chord,0.25,28.75
Chord {C-sharp in octave 5 | C-sharp in octave 4 | A in octave 4} Zero,A4-interval class 4,0.0,31.25
Chord {E in octave 4 | A in octave 4} 16th,A4-interval class 5,0.25,31.25
Chord {C-sharp in octave 4 | F-sharp in octave 2 | A in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),F#2-minor seventh chord,1/3,32.75
Chord {B-flat in octave 4 | B-flat in octave 3 | G in octave 2} 16th,G2-interval class 3,0.25,33.5
Chord {E-flat in octave 5 | C in octave 5} Eighth,C5-interval class 3,0.5,84.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | G-sharp in octave 4} Dotted Quarter,E-4-interval class 5,1.5,84.75
Chord {E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,86.5
Chord {B-flat in octave 4 | D in octave 5} 16th,B-4-interval class 4,0.25,87.0
Chord {G-sharp in octave 4 | G-sharp in octave 3 | E-flat in octave 4 | C in octave 5} Zero,C5-major triad,0.0,87.5
Chord {B-flat in octave 4 | D in octave 4 | G in octave 3 | G in octave 4} Eighth,G3-minor triad,0.5,88.0
Chord {D in octave 4 | G in octave 3} Half tied to Eighth (2 1/2 total QL),G3-interval class 5,2.5,88.75
Chord {E-flat in octave 4 | G-sharp in octave 4 | G-sharp in octave 3} Eighth,E-4-interval class 5,0.5,92.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | G-sharp in octave 4} Eighth,E-4-interval class 5,0.5,92.75
Chord {G-sharp in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C in octave 5} 16th,C5-major triad,0.25,93.5
Chord {G-sharp in octave 3 | E-flat in octave 4 | E-flat in octave 5 | G-sharp in octave 4 | C in octave 5} Eighth,C5-major triad,0.5,94.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | D in octave 5} Eighth,E-4-tritone-fourth,0.5,94.75
Chord {G-sharp in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C in octave 5} 16th,C5-major triad,0.25,95.5
Chord {B-flat in octave 4 | G in octave 4 | D in octave 4 | G in octave 3} Eighth,G4-minor triad,0.5,96.0
Chord {D in octave 4 | G in octave 3 | G in octave 4} Quarter,G3-interval class 5,1.0,96.75
Chord {B-flat in octave 4 | F in octave 4 | D in octave 4 | G in octave 3} Dotted Eighth,G3-minor seventh chord,0.75,98.5
Chord {E in octave 4 | B-flat in octave 4 | C in octave 4 | C in octave 5 | G in octave 3} Zero,C4-dominant seventh chord,0.0,99.5
Chord {E-flat in octave 5 | C in octave 5 | E-flat in octave 4} Eighth,C5-interval class 3,0.5,100.0
Chord {E-flat in octave 4 | G-sharp in octave 3 | G-sharp in octave 4} Dotted Quarter,E-4-interval class 5,1.5,100.75
Chord {E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,102.5
Chord {G-sharp in octave 4 | C in octave 5} 16th,C5-interval class 4,0.25,103.5
Chord {F in octave 4 | B-flat in octave 4 | D in octave 4 | G in octave 3} Half Triplet (1 1/3 QL),G3-minor seventh chord,4/3,104.0
Chord {B-flat in octave 4 | E in octave 4 | C in octave 4 | G in octave 3} Double Dotted Quarter,C4-dominant seventh chord,1.75,105.5
Chord {E-flat in octave 5 | G-sharp in octave 4 | G-sharp in octave 3 | E-flat in octave 4 | C in octave 5} Eighth,C5-major triad,0.5,108.0
Chord {G-sharp in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),C5-interval class 4,2/3,108.75
Chord {E-flat in octave 5 | G-sharp in octave 3 | G-sharp in octave 4 | E-flat in octave 4 | C in octave 5} 16th,C5-major triad,0.25,109.5
Chord {F in octave 4 | G-sharp in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),G#4-diminished triad,2/3,110.0
Chord {G-sharp in octave 3 | C in octave 5 | C in octave 4} Eighth,C5-interval class 4,0.5,110.75
Chord {G-sharp in octave 3 | D in octave 5} 16th,G#3-tritone,0.25,111.5
Chord {G in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),D4-quartal tetramirror,2/3,112.0
Chord {B-flat in octave 4 | G in octave 3 | D in octave 4 | F in octave 4} Eighth,G3-minor seventh chord,0.5,112.75
Chord {G in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} 16th,D4-quartal tetramirror,0.25,113.5
Chord {E in octave 4 | G in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),E4-interval class 3,5/3,114.0
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 5} Quarter,C5-major triad,1.0,116.0
Chord {G-sharp in octave 3 | G-sharp in octave 4} Half tied to 16th (2 1/4 total QL),G#3-unison,2.25,117.5
Chord {C in octave 4 | F-sharp in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Whole Triplet (2 2/3 QL),C4-dominant seventh chord,8/3,120.0
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | G in octave 4} Eighth,C4-major seventh chord,0.5,128.0
Chord {E-flat in octave 4 | G-sharp in octave 4 | C in octave 4 | G in octave 4} 16th,C4-major seventh chord,0.25,128.75
Chord {D in octave 4 | B-flat in octave 4 | A in octave 4 | F in octave 4} Eighth,B-4-major seventh chord,0.5,132.0
Chord {D in octave 4 | B-flat in octave 4 | A in octave 4 | F in octave 4} 16th,B-4-major seventh chord,0.25,132.75
Chord {C-sharp in octave 5 | C-sharp in octave 4 | A in octave 4} Zero,A4-interval class 4,0.0,135.25
Chord {E in octave 4 | A in octave 4} 16th,A4-interval class 5,0.25,135.25
Chord {C-sharp in octave 4 | F-sharp in octave 2 | A in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),F#2-minor seventh chord,1/3,136.75
Chord {B-flat in octave 4 | B-flat in octave 3 | G in octave 2} 16th,G2-interval class 3,0.25,137.5
Chord {E-flat in octave 5 | C in octave 5} Eighth,C5-interval class 3,0.5,188.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | G-sharp in octave 4} Dotted Quarter,E-4-interval class 5,1.5,188.75
Chord {E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,190.5
Chord {B-flat in octave 4 | D in octave 5} 16th,B-4-interval class 4,0.25,191.0
Chord {G-sharp in octave 4 | G-sharp in octave 3 | E-flat in octave 4 | C in octave 5} Zero,C5-major triad,0.0,191.5
Chord {B-flat in octave 4 | D in octave 4 | G in octave 3 | G in octave 4} Eighth,G3-minor triad,0.5,192.0
Chord {D in octave 4 | G in octave 3} Half tied to Eighth (2 1/2 total QL),G3-interval class 5,2.5,192.75
Chord {E-flat in octave 4 | G-sharp in octave 4 | G-sharp in octave 3} Eighth,E-4-interval class 5,0.5,196.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | G-sharp in octave 4} Eighth,E-4-interval class 5,0.5,196.75
Chord {G-sharp in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C in octave 5} 16th,C5-major triad,0.25,197.5
Chord {G-sharp in octave 3 | E-flat in octave 4 | E-flat in octave 5 | G-sharp in octave 4 | C in octave 5} Eighth,C5-major triad,0.5,198.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | D in octave 5} Eighth,E-4-tritone-fourth,0.5,198.75
Chord {G-sharp in octave 3 | E-flat in octave 4 | G-sharp in octave 4 | C in octave 5} 16th,C5-major triad,0.25,199.5
Chord {B-flat in octave 4 | G in octave 4 | D in octave 4 | G in octave 3} Eighth,G4-minor triad,0.5,200.0
Chord {D in octave 4 | G in octave 3 | G in octave 4} Quarter,G3-interval class 5,1.0,200.75
Chord {B-flat in octave 4 | F in octave 4 | D in octave 4 | G in octave 3} Dotted Eighth,G3-minor seventh chord,0.75,202.5
Chord {E in octave 4 | B-flat in octave 4 | C in octave 4 | C in octave 5 | G in octave 3} Zero,C4-dominant seventh chord,0.0,203.5
Chord {E-flat in octave 5 | C in octave 5 | E-flat in octave 4} Eighth,C5-interval class 3,0.5,204.0
Chord {E-flat in octave 4 | G-sharp in octave 3 | G-sharp in octave 4} Dotted Quarter,E-4-interval class 5,1.5,204.75
Chord {E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,206.5
Chord {G-sharp in octave 4 | C in octave 5} 16th,C5-interval class 4,0.25,207.5
Chord {F in octave 4 | B-flat in octave 4 | D in octave 4 | G in octave 3} Half Triplet (1 1/3 QL),G3-minor seventh chord,4/3,208.0
Chord {B-flat in octave 4 | E in octave 4 | C in octave 4 | G in octave 3} Double Dotted Quarter,C4-dominant seventh chord,1.75,209.5
Chord {E-flat in octave 5 | G-sharp in octave 4 | G-sharp in octave 3 | E-flat in octave 4 | C in octave 5} Eighth,C5-major triad,0.5,212.0
Chord {G-sharp in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),C5-interval class 4,2/3,212.75
Chord {E-flat in octave 5 | G-sharp in octave 3 | G-sharp in octave 4 | E-flat in octave 4 | C in octave 5} 16th,C5-major triad,0.25,213.5
Chord {F in octave 4 | G-sharp in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),G#4-diminished triad,2/3,214.0
Chord {G-sharp in octave 3 | C in octave 5 | C in octave 4} Eighth,C5-interval class 4,0.5,214.75
Chord {G-sharp in octave 3 | D in octave 5} 16th,G#3-tritone,0.25,215.5
Chord {G in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),D4-quartal tetramirror,2/3,216.0
Chord {B-flat in octave 4 | G in octave 3 | D in octave 4 | F in octave 4} Eighth,G3-minor seventh chord,0.5,216.75
Chord {G in octave 3 | C in octave 5 | D in octave 4 | F in octave 4} 16th,D4-quartal tetramirror,0.25,217.5
Chord {E in octave 4 | G in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),E4-interval class 3,5/3,218.0
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 5} Quarter,C5-major triad,1.0,220.0
Chord {G-sharp in octave 3 | G-sharp in octave 4} Half tied to 16th (2 1/4 total QL),G#3-unison,2.25,221.5
Chord {C in octave 4 | F-sharp in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Whole Triplet (2 2/3 QL),C4-dominant seventh chord,8/3,224.0
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | G in octave 4} Eighth,C4-major seventh chord,0.5,232.0
Chord {E-flat in octave 4 | G-sharp in octave 4 | C in octave 4 | G in octave 4} 16th,C4-major seventh chord,0.25,232.75
Chord {D in octave 4 | B-flat in octave 4 | F in octave 4 | A in octave 4} Eighth,B-4-major seventh chord,0.5,236.0
Chord {D in octave 4 | B-flat in octave 4 | F in octave 4 | A in octave 4} 16th,B-4-major seventh chord,0.25,236.75
Chord {B-flat in octave 4 | D in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),B-4-incomplete major-seventh chord,2/3,237.5
Chord {B-flat in octave 4 | A in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),B-4-incomplete major-seventh chord,1/3,238.5
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | G in octave 4} Eighth,C4-major seventh chord,0.5,240.0
Chord {E-flat in octave 4 | G-sharp in octave 4 | C in octave 4 | G in octave 4} 16th,C4-major seventh chord,0.25,240.75
Chord {G in octave 4 | C in octave 4 | E in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),C4-major seventh chord,1/3,896/3
Chord {B in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),E-4-major seventh chord,1/3,898/3
Chord {E in octave 4 | C-sharp in octave 4} Quarter,C#4-interval class 3,1.0,304.0
Chord {A in octave 3 | C-sharp in octave 4} Double Dotted Quarter,A3-interval class 4,1.75,306.0
Chord {C-sharp in octave 4 | F-sharp in octave 2 | A in octave 3 | E in octave 4} Eighth Triplet (1/3 QL),F#2-minor seventh chord,1/3,308.75
Chord {B-flat in octave 4 | B-flat in octave 3 | G in octave 2} 16th,G2-interval class 3,0.25,309.5
Chord {E-flat in octave 5 | C in octave 5} Eighth,C5-interval class 3,0.5,360.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | G-sharp in octave 4} Dotted Quarter,E-4-interval class 5,1.5,360.75
Chord {E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,362.5
