682.0
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 3 | E in octave 4} Quarter,E4-interval class 4,1.0,20.0
Chord {E in octave 4 | G-sharp in octave 3} Quarter,E4-interval class 4,1.0,28.0
Chord {A in octave 2 | A in octave 1} Double Dotted Whole,A2-unison,7.0,36.0
Chord {A in octave 1 | A in octave 2} 16th,A1-unison,0.25,43.5
Chord {B in octave 3 | E in octave 4 | A in octave 3} Quarter,A3-quartal trichord,1.0,44.0
Chord {B in octave 3 | B in octave 1} Eighth,B3-unison,0.5,51.5
Chord {E in octave 4 | B in octave 3} Quarter,E4-interval class 5,1.0,60.0
Chord {E-flat in octave 4 | G-sharp in octave 3} Quarter,E-4-interval class 5,1.0,66.5
Chord {G-sharp in octave 1 | G-sharp in octave 2} 16th,G#1-unison,0.25,67.5
Chord {A in octave 3 | E in octave 4} Quarter,A3-interval class 5,1.0,68.0
Chord {E-flat in octave 4 | A in octave 3} Quarter,A3-tritone,1.0,74.5
Chord {A in octave 3 | E in octave 4} Quarter,A3-interval class 5,1.0,76.0
Chord {E-flat in octave 4 | A in octave 3} Quarter,A3-tritone,1.0,82.5
Chord {G-sharp in octave 3 | B in octave 3 | E in octave 4} Quarter,E4-major triad,1.0,92.0
Chord {E-flat in octave 4 | G-sharp in octave 3} Quarter,E-4-interval class 5,1.0,98.5
Chord {A in octave 3 | E in octave 4} Quarter,A3-interval class 5,1.0,100.0
Chord {E-flat in octave 4 | A in octave 3} Quarter,A3-tritone,1.0,106.5
Chord {A in octave 1 | A in octave 2} 16th,A1-unison,0.25,107.5
Chord {E in octave 4 | A in octave 3} Quarter,A3-interval class 5,1.0,108.0
Chord {A in octave 3 | C-sharp in octave 4 | E in octave 4} 16th,A3-major triad,0.25,113.5
Chord {A in octave 3 | E-flat in octave 4 | F-sharp in octave 4} 16th,F#4-diminished triad,0.25,114.5
Chord {F-sharp in octave 4 | E-flat in octave 4 | B in octave 3} 16th,E-4-major triad,0.25,121.5
Chord {B in octave 3 | F-sharp in octave 4 | E-flat in octave 4} 16th,E-4-major triad,0.25,126.5
Chord {E in octave 4 | G-sharp in octave 4} Quarter,E4-interval class 4,1.0,127.5
Chord {B in octave 3 | G-sharp in octave 4 | E in octave 4} Eighth,E4-major triad,0.5,130.5
Chord {G-sharp in octave 4 | C-sharp in octave 4 | E in octave 4} Quarter,C#4-minor triad,1.0,132.0
Chord {G-sharp in octave 4 | C-sharp in octave 4 | E in octave 4} Dotted Quarter,C#4-minor triad,1.5,135.5
Chord {C-sharp in octave 4 | F-sharp in octave 4 | A in octave 3} Dotted Eighth,F#4-minor triad,0.75,138.5
Chord {C in octave 4 | F-sharp in octave 4 | A in octave 3 | E-flat in octave 4} 16th,F#4-diminished seventh chord,0.25,146.5
Chord {C-sharp in octave 4 | B in octave 3 | G-sharp in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-minor seventh chord,1.25,148.0
Chord {G-sharp in octave 4 | C-sharp in octave 4 | B in octave 3 | E in octave 4} Dotted Eighth,C#4-minor seventh chord,0.75,154.5
Chord {A in octave 3 | F-sharp in octave 4 | C-sharp in octave 4 | E in octave 4 | F-sharp in octave 3} Half tied to 16th (2 1/4 total QL),F#4-minor seventh chord,2.25,156.0
Chord {B in octave 2 | C-sharp in octave 4 | E in octave 4 | F-sharp in octave 4 | A in octave 3 | B in octave 1} Eighth,F#4-major pentatonic,0.5,162.0
Chord {G-sharp in octave 4 | E in octave 4} Quarter,E4-interval class 4,1.0,164.0
Chord {F-sharp in octave 4 | E-flat in octave 4 | B in octave 3} 16th,E-4-major triad,0.25,165.5
Chord {G-sharp in octave 4 | B in octave 3 | E in octave 4} 16th,E4-major triad,0.25,166.5
Chord {C-sharp in octave 4 | A in octave 4 | E in octave 4} Whole Triplet (2 2/3 QL),A4-major triad,8/3,167.5
