272.0
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | C-sharp in octave 3 | F-sharp in octave 3 | A in octave 4} 16th,F#3-perfect-fourth minor tetrachord,0.25,8.0
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,8.25
Chord {F-sharp in octave 2 | F-sharp in octave 3 | A in octave 4} 16th,F#2-interval class 3,0.25,8.5
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,8.75
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3 | B-flat in octave 4 | A in octave 4} 16th,B-4-Lebanese pentachord,0.25,9.0
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,9.25
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3 | A in octave 4} 16th,B1-incomplete dominant-seventh chord,0.25,9.5
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,9.75
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3 | A in octave 4} 16th,B1-incomplete dominant-seventh chord,0.25,10.0
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,10.25
Chord {F-sharp in octave 2 | F-sharp in octave 3 | A in octave 4} 16th,F#2-interval class 3,0.25,10.5
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,10.75
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3 | B-flat in octave 4 | A in octave 4} 16th,B-4-Lebanese pentachord,0.25,11.0
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,11.25
Chord {F-sharp in octave 2 | F-sharp in octave 3 | A in octave 4} 16th,F#2-interval class 3,0.25,11.5
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,11.75
Chord {B in octave 1 | F-sharp in octave 3 | A in octave 4} 16th,B1-incomplete dominant-seventh chord,0.25,12.0
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,12.25
Chord {F-sharp in octave 2 | F-sharp in octave 3 | A in octave 4} 16th,F#2-interval class 3,0.25,12.5
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,12.75
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3 | B-flat in octave 4 | A in octave 4} 16th,B-4-Lebanese pentachord,0.25,13.0
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,13.25
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3 | A in octave 4} 16th,B1-incomplete dominant-seventh chord,0.25,13.5
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,13.75
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3 | A in octave 4} 16th,B1-incomplete dominant-seventh chord,0.25,14.0
Chord {F-sharp in octave 3 | A in octave 4} 16th,F#3-interval class 3,0.25,14.25
