566.5
3/4
FullName,CommonName,Len,Offset
Chord {F in octave 4 | G in octave 4} Half tied to Eighth (2 1/2 total QL),G4-interval class 2,2.5,564.0
Chord {E-flat in octave 4 | G in octave 4} Half,E-4-interval class 4,2.0,3.0
Chord {E-flat in octave 4 | G in octave 4} Quarter,E-4-interval class 4,1.0,5.0
Chord {E-flat in octave 4 | G-sharp in octave 4} Half,E-4-interval class 5,2.0,6.0
Chord {E-flat in octave 4 | G-sharp in octave 4} Quarter,E-4-interval class 5,1.0,8.0
Chord {E-flat in octave 4 | G in octave 4} Half,E-4-interval class 4,2.0,9.0
Chord {E-flat in octave 4 | G in octave 4} Quarter,E-4-interval class 4,1.0,11.0
Chord {E-flat in octave 4 | F in octave 4} Dotted Half,F4-interval class 2,3.0,12.0
Chord {B-flat in octave 3 | D in octave 4} Half,B-3-interval class 4,2.0,15.0
Chord {B-flat in octave 3 | D in octave 4} Quarter,B-3-interval class 4,1.0,17.0
Chord {B-flat in octave 3 | C-sharp in octave 4} Half,C#4-interval class 3,2.0,18.0
Chord {B-flat in octave 3 | C-sharp in octave 4} Quarter,C#4-interval class 3,1.0,20.0
Chord {A in octave 3 | C in octave 4} Whole tied to Quarter (5 total QL),A3-interval class 3,5.0,21.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,28.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,29.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,31.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,32.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,34.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,35.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,37.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,38.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,40.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,41.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,43.0
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,B-3-major triad,1.0,44.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,46.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,47.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,49.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,50.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,52.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,53.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,55.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,56.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,58.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,59.0
Chord {E-flat in octave 3 | A in octave 3} Quarter,A3-tritone,1.0,61.0
Chord {E-flat in octave 3 | A in octave 3} Quarter,A3-tritone,1.0,62.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,76.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,77.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,79.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,80.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,82.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,83.0
Chord {E-flat in octave 3 | A in octave 3} Quarter,A3-tritone,1.0,85.0
Chord {E-flat in octave 3 | A in octave 3} Quarter,A3-tritone,1.0,86.0
Chord {B-flat in octave 3 | F in octave 4} Quarter,B-3-interval class 5,1.0,100.0
Chord {B-flat in octave 3 | F in octave 4} Quarter,B-3-interval class 5,1.0,101.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,103.0
Chord {B-flat in octave 3 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,104.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,106.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,107.0
Chord {E-flat in octave 3 | A in octave 3} Quarter,A3-tritone,1.0,109.0
Chord {E-flat in octave 3 | A in octave 3} Quarter,A3-tritone,1.0,110.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,112.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,113.0
Chord {A in octave 3 | E-flat in octave 4} Quarter,A3-tritone,1.0,115.0
Chord {A in octave 3 | E-flat in octave 4} Quarter,A3-tritone,1.0,116.0
Chord {C in octave 4 | D in octave 4} Quarter,D4-interval class 2,1.0,118.0
Chord {C in octave 4 | D in octave 4} Quarter,D4-interval class 2,1.0,119.0
Chord {B-flat in octave 3 | D in octave 4} Quarter,B-3-interval class 4,1.0,121.0
Chord {B-flat in octave 3 | D in octave 4} Quarter,B-3-interval class 4,1.0,122.0
Chord {B-flat in octave 3 | D in octave 4 | G in octave 4} Quarter,G4-minor triad,1.0,124.0
Chord {B-flat in octave 3 | D in octave 4 | G in octave 4} Quarter,G4-minor triad,1.0,125.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,127.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,128.0
Chord {G in octave 3 | D in octave 4} Quarter,G3-interval class 5,1.0,130.0
Chord {G in octave 3 | D in octave 4} Quarter,G3-interval class 5,1.0,131.0
Chord {G in octave 3 | D in octave 4} Quarter,G3-interval class 5,1.0,133.0
Chord {G in octave 3 | D in octave 4} Quarter,G3-interval class 5,1.0,134.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,136.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,137.0
Chord {E-flat in octave 4 | A in octave 4} Quarter,A4-tritone,1.0,139.0
Chord {E-flat in octave 4 | A in octave 4} Quarter,A4-tritone,1.0,140.0
Chord {A in octave 3 | C in octave 4} Quarter,A3-interval class 3,1.0,142.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,143.0
Chord {A in octave 3 | C in octave 4} Quarter,A3-interval class 3,1.0,145.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,146.0
Chord {F in octave 3 | B-flat in octave 3} Quarter,B-3-interval class 5,1.0,184.0
Chord {B-flat in octave 3 | F in octave 3} Quarter,B-3-interval class 5,1.0,185.0
Chord {F in octave 3 | A in octave 3} Quarter,F3-interval class 4,1.0,187.0
Chord {F in octave 3 | A in octave 3} Quarter,F3-interval class 4,1.0,188.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,190.0
Chord {G in octave 3 | B-flat in octave 3} Quarter,G3-interval class 3,1.0,191.0
Chord {B-flat in octave 3 | D in octave 4} Quarter,B-3-interval class 4,1.0,194.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,196.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,197.0
Chord {E-flat in octave 3 | A in octave 3} Quarter,A3-tritone,1.0,199.0
Chord {E-flat in octave 3 | A in octave 3} Quarter,A3-tritone,1.0,200.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,202.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,203.0
Chord {C in octave 4 | E-flat in octave 4} Quarter,C4-interval class 3,1.0,205.0
Chord {C in octave 4 | E-flat in octave 4} Quarter,C4-interval class 3,1.0,206.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,208.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,209.0
Chord {A in octave 3 | E-flat in octave 4} Quarter,A3-tritone,1.0,211.0
Chord {A in octave 3 | E-flat in octave 4} Quarter,A3-tritone,1.0,212.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,214.0
Chord {B-flat in octave 3 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,215.0
Chord {A in octave 3 | E-flat in octave 4} Quarter,A3-tritone,1.0,217.0
Chord {A in octave 3 | E-flat in octave 4} Quarter,A3-tritone,1.0,218.0
Chord {D in octave 4 | F in octave 4 | A in octave 4} Quarter,D4-minor triad,1.0,220.0
