511.9166666666667
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),C3-interval class 5,1/3,0.0
Chord {E in octave 2 | G-sharp in octave 3} Eighth Triplet (1/3 QL),E2-interval class 4,1/3,4.0
Chord {G in octave 3 | A in octave 2} 16th,A2-interval class 2,0.25,9.5
Chord {A in octave 2 | G in octave 3} 16th,A2-interval class 2,0.25,12.0
Chord {G in octave 3 | A in octave 2} 16th,A2-interval class 2,0.25,13.5
Chord {D in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),D3-interval class 2,1/3,16.0
Chord {B in octave 3 | G in octave 2} Eighth,G2-interval class 4,0.5,20.0
Chord {C in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),C3-interval class 1,1/3,24.0
Chord {C in octave 4 | D in octave 3} Eighth,D3-interval class 2,0.5,28.0
Chord {C in octave 4 | D in octave 3} 16th,D3-interval class 2,0.25,30.0
Chord {C in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),C3-interval class 5,1/3,32.0
Chord {E in octave 2 | G-sharp in octave 3} Eighth Triplet (1/3 QL),E2-interval class 4,1/3,36.0
Chord {G in octave 3 | A in octave 2} 16th,A2-interval class 2,0.25,41.5
Chord {A in octave 2 | G in octave 3} 16th,A2-interval class 2,0.25,44.0
Chord {G in octave 3 | A in octave 2} 16th,A2-interval class 2,0.25,45.5
Chord {D in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),D3-interval class 2,1/3,48.0
Chord {G in octave 2 | B in octave 3} Eighth Triplet (1/3 QL),G2-interval class 4,1/3,52.0
Chord {A in octave 3 | C in octave 3} Eighth,A3-interval class 3,0.5,56.0
Chord {A in octave 3 | C in octave 3} 16th,A3-interval class 3,0.25,60.0
Chord {A in octave 3 | C in octave 3} 16th,A3-interval class 3,0.25,61.0
Chord {A in octave 3 | C in octave 3} 16th,A3-interval class 3,0.25,62.0
Chord {A in octave 3 | C in octave 3} 16th,A3-interval class 3,0.25,63.0
Chord {G-sharp in octave 3 | E in octave 2} 16th,E2-interval class 4,0.25,64.0
Chord {G-sharp in octave 3 | E in octave 2} 16th,E2-interval class 4,0.25,65.0
Chord {G-sharp in octave 3 | E in octave 2} 16th,E2-interval class 4,0.25,66.0
Chord {G-sharp in octave 3 | E in octave 2} 16th,E2-interval class 4,0.25,67.0
Chord {G-sharp in octave 3 | E in octave 2} 16th,E2-interval class 4,0.25,69.0
Chord {E in octave 2 | G-sharp in octave 3} 16th,E2-interval class 4,0.25,70.0
