544.0
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 4 | D in octave 4 | F in octave 4} 16th,B-4-major triad,0.25,7.5
Chord {B-flat in octave 4 | D in octave 4 | F in octave 4} 16th,B-4-major triad,0.25,7.75
Chord {F in octave 4 | D in octave 4 | B-flat in octave 3} 16th,B-3-major triad,0.25,8.5
Chord {G in octave 4 | E in octave 4 | C in octave 4} 16th,C4-major triad,0.25,9.25
Chord {A in octave 4 | F in octave 4 | D in octave 4} 16th,D4-minor triad,0.25,10.0
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} 16th,B-3-major triad,0.25,15.5
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} 16th,B-3-major triad,0.25,15.75
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} 16th,B-3-major triad,0.25,16.5
Chord {E in octave 4 | C in octave 4 | G in octave 4} 16th,C4-major triad,0.25,17.25
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} 16th,B-3-major triad,0.25,18.0
Chord {B-flat in octave 4 | D in octave 4 | F in octave 4} 16th,B-4-major triad,0.25,23.5
Chord {D in octave 4 | B-flat in octave 4 | F in octave 4} 16th,B-4-major triad,0.25,23.75
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} 16th,B-3-major triad,0.25,24.5
Chord {C in octave 4 | E in octave 4 | G in octave 4} 16th,C4-major triad,0.25,25.25
Chord {D in octave 4 | F in octave 4 | A in octave 4} 16th,D4-minor triad,0.25,26.0
Chord {G in octave 4 | C in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),C4-major triad,2/3,40.0
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,40.75
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,41.5
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,42.5
Chord {G in octave 4 | C in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),C4-major triad,2/3,44.0
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,44.75
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,45.5
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,46.5
Chord {G in octave 4 | C in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),C4-major triad,2/3,48.0
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,48.75
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,49.5
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,50.5
Chord {G in octave 4 | C in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),C4-major triad,2/3,52.0
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,52.75
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,53.5
Chord {G in octave 4 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,54.5
Chord {F in octave 3 | A in octave 3} Eighth,F3-interval class 4,0.5,56.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,56.75
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,57.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,58.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,59.25
Chord {F in octave 3 | A in octave 3 | C in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,60.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,60.75
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,61.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} Zero,F3-major triad,0.0,62.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} Zero,F3-major triad,0.0,63.25
Chord {F in octave 3 | A in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),D4-minor triad,2/3,64.0
Chord {A in octave 3 | F in octave 3 | D in octave 4} Zero,D4-minor triad,0.0,64.75
Chord {A in octave 3 | F in octave 3 | D in octave 4} 16th,D4-minor triad,0.25,65.5
Chord {F in octave 3 | A in octave 3 | D in octave 4} 16th,D4-minor triad,0.25,66.5
Chord {F in octave 3 | A in octave 3 | D in octave 4} 16th,D4-minor triad,0.25,67.25
Chord {A in octave 3 | F in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),D4-minor triad,2/3,68.0
Chord {C in octave 4 | G in octave 3 | E in octave 3} 16th,C4-major triad,0.25,68.75
Chord {F in octave 3 | B-flat in octave 3 | D in octave 4} Eighth,B-3-major triad,0.5,69.75
Chord {G in octave 3 | C in octave 4 | E in octave 4} 16th,C4-major triad,0.25,70.5
