284.0
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 4 | C in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),C3-interval class 2,3.25,8.0
Chord {C in octave 4 | B-flat in octave 3 | G in octave 4 | C in octave 3} 16th,C4-incomplete dominant-seventh chord,0.25,11.5
Chord {C in octave 3 | G in octave 4 | B-flat in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),C3-incomplete dominant-seventh chord,1/3,13.5
Chord {C in octave 4 | B-flat in octave 4 | G in octave 4} Eighth,C4-incomplete dominant-seventh chord,0.5,17.0
Chord {B-flat in octave 4 | C in octave 4 | G in octave 4} Eighth,C4-incomplete dominant-seventh chord,0.5,19.5
Chord {B-flat in octave 4 | E-flat in octave 4} Eighth,E-4-interval class 5,0.5,20.5
Chord {G in octave 3 | B-flat in octave 4} Quarter Triplet (2/3 QL),G3-interval class 3,2/3,22.0
Chord {B-flat in octave 4 | C in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),C4-interval class 2,1/3,23.0
Chord {C in octave 4 | B-flat in octave 4 | G in octave 4} Eighth,C4-incomplete dominant-seventh chord,0.5,25.0
Chord {C in octave 4 | B-flat in octave 4 | G in octave 4} Eighth,C4-incomplete dominant-seventh chord,0.5,26.5
Chord {C in octave 3 | C in octave 3} Quarter,C3-unison,1.0,27.25
Chord {E-flat in octave 5 | F in octave 4} Eighth,F4-interval class 2,0.5,29.5
Chord {C in octave 5 | E-flat in octave 4} Eighth,C5-interval class 3,0.5,30.0
Chord {C in octave 5 | E-flat in octave 4} Eighth Triplet (1/3 QL),C5-interval class 3,1/3,30.5
Chord {C in octave 4 | G-sharp in octave 4} Eighth,C4-interval class 4,0.5,31.0
Chord {F in octave 4 | G-sharp in octave 3 | B-flat in octave 3} Eighth,G#3-incomplete dominant-seventh chord,0.5,33.0
Chord {D in octave 4 | F in octave 4 | G in octave 4} Dotted Eighth,G4-incomplete dominant-seventh chord,0.75,35.5
Chord {G in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),G4-interval class 5,1/3,36.5
Chord {D in octave 4 | E-flat in octave 3} Dotted Eighth,E-3-interval class 1,0.75,37.5
Chord {G-sharp in octave 4 | E-flat in octave 5 | C in octave 5} Eighth,C5-major triad,0.5,41.0
Chord {D in octave 4 | B in octave 4 | G-sharp in octave 4} Eighth,G#4-diminished triad,0.5,49.0
Chord {D in octave 4 | B in octave 4 | G-sharp in octave 4} Eighth,G#4-diminished triad,0.5,50.5
Chord {G in octave 2 | G in octave 2} Quarter,G2-unison,1.0,51.25
