695.6666666666666
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | C-sharp in octave 5} 16th,C#5-tritone,0.25,293.0
Chord {C-sharp in octave 5 | G in octave 4} Eighth,C#5-tritone,0.5,884/3
Chord {G-sharp in octave 4 | D in octave 5} Half tied to Eighth (2 1/2 total QL),G#4-tritone,2.5,887/3
Chord {C-sharp in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),C#5-tritone,1/3,301.0
Chord {E-flat in octave 4 | C-sharp in octave 5} 16th,C#5-interval class 2,0.25,905/3
Chord {C-sharp in octave 5 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,302.0
Chord {C-sharp in octave 5 | G in octave 4} Quarter Triplet (2/3 QL),C#5-tritone,2/3,908/3
Chord {C in octave 5 | G-sharp in octave 4} Half,C5-interval class 4,2.0,911/3
Chord {C in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,309.0
Chord {G-sharp in octave 4 | C in octave 5} Whole Triplet (2 2/3 QL),C5-interval class 4,8/3,935/3
Chord {C in octave 4 | G-sharp in octave 4} 16th,C4-interval class 4,0.25,318.0
Chord {B-flat in octave 4 | F in octave 4} Quarter,B-4-interval class 5,1.0,1001/3
Chord {F in octave 4 | G-sharp in octave 4} 16th,G#4-interval class 3,0.25,335.0
Chord {G-sharp in octave 4 | C in octave 5} Whole Triplet (2 2/3 QL),C5-interval class 4,8/3,1007/3
Chord {E-flat in octave 4 | C in octave 5} 16th,C5-interval class 3,0.25,1025/3
Chord {D in octave 5 | G-sharp in octave 4} Triple Dotted Half (3 3/4 QL),G#4-tritone,3.75,1031/3
Chord {D in octave 5 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#4-tritone,1/3,349.0
Chord {C in octave 5 | D in octave 5} Quarter,D5-interval class 2,1.0,1049/3
Chord {C-sharp in octave 5 | G in octave 4} Whole Triplet (2 2/3 QL),C#5-tritone,8/3,1055/3
Chord {C-sharp in octave 5 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,358.0
Chord {C-sharp in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),C#5-tritone,1/3,365.0
Chord {E-flat in octave 4 | C-sharp in octave 5} 16th,C#5-interval class 2,0.25,1097/3
Chord {C-sharp in octave 5 | F in octave 4} Eighth,F4-interval class 4,0.5,366.0
Chord {G-sharp in octave 4 | C in octave 5} Whole Tuplet of 6/5ths (3 1/3 QL),C5-interval class 4,10/3,1103/3
Chord {C in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,373.0
Chord {C-sharp in octave 5 | G in octave 4} Eighth,C#5-tritone,0.5,1124/3
Chord {F-sharp in octave 4 | B-flat in octave 4} Eighth,B-4-interval class 4,0.5,1148/3
Chord {F in octave 5 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G#4-interval class 3,2/3,1193/3
Chord {C in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,405.0
Chord {F in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,406.0
Chord {C in octave 5 | G in octave 4} Quarter Triplet (2/3 QL),C5-interval class 5,2/3,1220/3
Chord {E-flat in octave 4 | C-sharp in octave 5} 16th,C#5-interval class 2,0.25,1241/3
Chord {B in octave 4 | C in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),C4-incomplete major-seventh chord,1/3,1331/3
Chord {D in octave 4 | B in octave 3 | G in octave 4} Eighth Triplet (1/3 QL),G4-major triad,1/3,1346/3
Chord {C-sharp in octave 4 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-tritone,1.25,450.0
Chord {C in octave 4 | G in octave 4 | A in octave 3} 16th,A3-incomplete minor-seventh chord,0.25,452.0
Chord {G in octave 4 | C-sharp in octave 4} 16th,C#4-tritone,0.25,453.0
Chord {E-flat in octave 5 | C in octave 5} Half,C5-interval class 3,2.0,1385/3
Chord {D in octave 5 | G in octave 5 | B in octave 4} Eighth,G5-major triad,0.5,1442/3
Chord {B-flat in octave 4 | G in octave 5} Quarter tied to 16th (1 1/4 total QL),G5-interval class 3,1.25,482.0
Chord {G in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,484.0
Chord {G in octave 5 | B-flat in octave 4 | C-sharp in octave 5} 16th,C#5-diminished triad,0.25,485.0
Chord {B in octave 4 | B in octave 5} Eighth Triplet (1/3 QL),B4-unison,1/3,504.0
Chord {G in octave 4 | G in octave 5} Eighth,G4-unison,0.5,1535/3
Chord {B-flat in octave 5 | B-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),B-5-unison,1.25,1544/3
