552.0
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | F-sharp in octave 2 | C-sharp in octave 2 | G-sharp in octave 3} 16th,G#3-quartal tetramirror,0.25,8.0
Chord {F-sharp in octave 2 | D in octave 4} 16th,D4-interval class 4,0.25,8.5
Chord {F-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,E-4-minor triad,0.25,9.0
Chord {B in octave 1 | F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,C#2-major-ninth chord,0.25,9.5
Chord {B in octave 1 | F-sharp in octave 2 | F in octave 2} 16th,B1-tritone-fourth,0.25,10.0
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,C#2-minor seventh chord,0.25,11.0
Chord {B in octave 1 | F-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,E-4-major seventh chord,0.25,11.5
Chord {B in octave 1 | F-sharp in octave 2 | G-sharp in octave 3} 16th,G#3-incomplete minor-seventh chord,0.25,12.0
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,C#2-minor seventh chord,0.25,13.0
Chord {B in octave 1 | F-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,E-4-major seventh chord,0.25,13.5
Chord {B in octave 1 | F-sharp in octave 2 | F in octave 2} 16th,B1-tritone-fourth,0.25,14.0
Chord {F-sharp in octave 2 | C-sharp in octave 2 | D in octave 4 | B-flat in octave 4} 16th,B-4-augmented major tetrachord,0.25,14.5
Chord {F-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,E-4-minor triad,0.25,15.0
Chord {B in octave 1 | F-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,E-4-major seventh chord,0.25,15.5
Chord {B in octave 1 | F-sharp in octave 2 | C-sharp in octave 2 | G-sharp in octave 3} 16th,G#3-quartal tetramirror,0.25,16.0
Chord {F-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,E-4-minor triad,0.25,17.0
Chord {B in octave 1 | F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 4 | B-flat in octave 4} 16th,C#2-major-ninth chord,0.25,17.5
Chord {B in octave 1 | F-sharp in octave 2 | F in octave 2} 16th,B1-tritone-fourth,0.25,18.0
