399.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | E in octave 4 | C-sharp in octave 4 | A in octave 4} Eighth,A4-dominant seventh chord,0.5,11.5
Chord {F in octave 4 | C-sharp in octave 4 | B in octave 3 | G-sharp in octave 4} Eighth,G#4-dominant seventh chord,0.5,15.5
Chord {F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Eighth,D4-minor seventh chord,0.5,19.5
Chord {E in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 4} Eighth,C#4-dominant seventh chord,0.5,23.5
Chord {E in octave 2 | E in octave 4 | D in octave 4 | B in octave 3 | G in octave 4} Eighth,E2-minor seventh chord,0.5,27.0
Chord {E in octave 4 | D in octave 4 | B in octave 3 | G in octave 4} Eighth,E4-minor seventh chord,0.5,27.5
Chord {F-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | G-sharp in octave 4} Eighth,C4-dominant seventh chord,0.5,31.5
Chord {E in octave 4 | D in octave 4 | B-flat in octave 3 | G in octave 4} Eighth,E4-half-diminished seventh chord,0.5,35.5
Chord {E in octave 4 | D in octave 4 | B in octave 3 | G-sharp in octave 4} Eighth,E4-dominant seventh chord,0.5,39.5
Chord {G-sharp in octave 4 | E in octave 4 | C-sharp in octave 4 | B in octave 4} Eighth,C#4-minor seventh chord,0.5,43.5
Chord {F-sharp in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Eighth,F#4-half-diminished seventh chord,0.5,47.5
Chord {A in octave 4 | F-sharp in octave 4 | E in octave 4 | C-sharp in octave 5} Eighth,F#4-minor seventh chord,0.5,51.5
Chord {G-sharp in octave 4 | E in octave 4 | C-sharp in octave 4 | B in octave 4} Eighth,C#4-minor seventh chord,0.5,55.5
Chord {G in octave 4 | E-flat in octave 4 | C-sharp in octave 4 | B-flat in octave 4} Eighth,C#4-dominant seventh chord,0.5,59.5
Chord {E-flat in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G in octave 4} Eighth,C#4-dominant seventh chord,0.5,63.5
Chord {F in octave 4 | C-sharp in octave 4 | B in octave 3 | G-sharp in octave 4} Eighth,G#4-dominant seventh chord,0.5,67.5
Chord {E-flat in octave 4 | B in octave 3 | A in octave 3 | F-sharp in octave 4} Eighth,F#4-dominant seventh chord,0.5,71.5
Chord {G in octave 4 | E in octave 4 | C-sharp in octave 4 | A in octave 4} Eighth,A4-dominant seventh chord,0.5,75.5
Chord {F in octave 4 | C-sharp in octave 4 | B in octave 3 | G-sharp in octave 4} Eighth,G#4-dominant seventh chord,0.5,79.5
Chord {F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Eighth,D4-minor seventh chord,0.5,83.5
Chord {E in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 4} Eighth,C#4-dominant seventh chord,0.5,87.5
Chord {E in octave 2 | E in octave 4 | D in octave 4 | B in octave 3 | G in octave 4} Eighth,E2-minor seventh chord,0.5,91.0
Chord {E in octave 4 | D in octave 4 | B in octave 3 | G in octave 4} Eighth,E4-minor seventh chord,0.5,91.5
Chord {F-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | G-sharp in octave 4} Eighth,C4-dominant seventh chord,0.5,95.5
