411.75
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),G#4-interval class 3,1.25,92.0
Chord {F-sharp in octave 4 | E-flat in octave 5} 16th,F#4-interval class 3,0.25,109.75
Chord {F-sharp in octave 4 | E-flat in octave 5} Eighth Triplet (1/3 QL),F#4-interval class 3,1/3,110.0
Chord {A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,124.0
Chord {C in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,136.0
Chord {C in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,136.5
Chord {B-flat in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,137.5
Chord {G in octave 4 | E in octave 5} Eighth Triplet (1/3 QL),E5-interval class 3,1/3,138.0
Chord {F in octave 4 | D in octave 5} 16th,D5-interval class 3,0.25,138.75
Chord {E in octave 4 | C in octave 5} Breve tied to Quarter (9 total QL),C5-interval class 4,9.0,139.0
Chord {D in octave 5 | F in octave 5} Quarter,D5-interval class 3,1.0,180.0
Chord {B-flat in octave 4 | D in octave 5} Dotted Eighth,B-4-interval class 4,0.75,181.0
Chord {F in octave 4 | B-flat in octave 4} 16th,B-4-interval class 5,0.25,181.75
Chord {C in octave 5 | E in octave 5} Dotted Eighth,C5-interval class 4,0.75,182.0
Chord {A in octave 4 | C in octave 5} 16th,A4-interval class 3,0.25,182.75
Chord {F in octave 4 | A in octave 4} Quarter,F4-interval class 4,1.0,183.0
Chord {D in octave 5 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 4,2/3,184.0
Chord {G in octave 4 | B-flat in octave 4} 16th,G4-interval class 3,0.25,184.75
Chord {G in octave 4 | E in octave 4} Eighth,E4-interval class 3,0.5,185.0
Chord {A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,186.0
Chord {A in octave 4 | C in octave 5} Eighth,A4-interval class 3,0.5,187.5
Chord {B-flat in octave 4 | D in octave 5} Quarter,B-4-interval class 4,1.0,188.0
Chord {F in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 5,2/3,189.0
Chord {G in octave 4 | D in octave 4} 16th,G4-interval class 5,0.25,189.75
Chord {A in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),A4-interval class 3,2/3,190.0
Chord {F in octave 4 | A in octave 4} 16th,F4-interval class 4,0.25,190.75
Chord {C in octave 4 | F in octave 4} Eighth,F4-interval class 5,0.5,191.0
Chord {G in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),G4-interval class 3,2/3,192.0
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,192.75
Chord {B-flat in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 5,1/3,193.0
Chord {B-flat in octave 3 | F in octave 4} Triple Dotted Half (3 3/4 QL),B-3-interval class 5,3.75,194.0
Chord {F in octave 4 | B-flat in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),B-4-interval class 5,3.25,232.0
Chord {F in octave 4 | A in octave 4} Whole,F4-interval class 4,4.0,236.0
Chord {F in octave 4 | G-sharp in octave 4} Whole,G#4-interval class 3,4.0,240.0
Chord {E-flat in octave 4 | G in octave 4} Whole,E-4-interval class 4,4.0,244.0
Chord {E in octave 4 | G in octave 4} Whole,E4-interval class 3,4.0,248.0
Chord {C in octave 4 | E-flat in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-interval class 3,3.25,252.0
Chord {B-flat in octave 3 | D in octave 4} Whole,B-3-interval class 4,4.0,256.0
Chord {E-flat in octave 5 | F-sharp in octave 4} 16th,F#4-interval class 3,0.25,273.75
Chord {E-flat in octave 5 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-interval class 3,1/3,274.0
Chord {C in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,288.0
Chord {E in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,300.0
Chord {E in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,300.5
Chord {D in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,301.5
Chord {E in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),E5-interval class 3,1/3,302.0
Chord {D in octave 5 | F in octave 4} 16th,D5-interval class 3,0.25,302.75
Chord {C in octave 5 | E in octave 4} Whole tied to 16th (4 1/4 total QL),C5-interval class 4,4.25,303.0
Chord {A in octave 4 | D in octave 5} Whole Tuplet of 12/7ths (2 1/3 QL),D5-interval class 5,7/3,336.0
Chord {F in octave 5 | G-sharp in octave 5} Eighth,G#5-interval class 3,0.5,356.0
Chord {B-flat in octave 4 | F in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),B-4-interval class 5,5/3,389.0
Chord {B in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),B4-interval class 3,1/3,393.0
Chord {A in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),F5-interval class 4,1/3,404.0
Chord {F in octave 5 | G-sharp in octave 5} Eighth Triplet (1/3 QL),G#5-interval class 3,1/3,411.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,4.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,4.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,5.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,5.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,6.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,6.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,7.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,7.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,8.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,8.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,9.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,9.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,10.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,10.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,11.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,11.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,12.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,12.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,13.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,13.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,14.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,14.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,15.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,15.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,16.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,16.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,17.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,17.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,18.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,18.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,19.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,19.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,20.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,20.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,21.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,21.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,22.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,22.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,23.0
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} 16th,F3-major triad,0.25,23.75
Chord {C in octave 3 | F in octave 3 | A in octave 3 | C in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F3-major triad,2/3,24.0
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} 16th,F4-major triad,0.25,24.75
Chord {F in octave 4 | C in octave 4 | A in octave 3 | F in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,25.0
