510.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | G in octave 3 | A in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),A3-incomplete minor-seventh chord,2.75,0.0
Chord {A in octave 3 | C in octave 4 | G in octave 3} Dotted Half,A3-incomplete minor-seventh chord,3.0,8.0
Chord {F in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),F3-interval class 5,4/3,35/3
Chord {E in octave 4 | C-sharp in octave 4} Quarter,C#4-interval class 3,1.0,14.0
Chord {F in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),F4-interval class 4,2/3,56/3
Chord {A in octave 3 | D in octave 4} Quarter,D4-interval class 5,1.0,20.0
Chord {E in octave 5 | E in octave 4} 16th,E5-unison,0.25,23.0
Chord {A in octave 4 | A in octave 5 | B-flat in octave 4} Eighth,B-4-interval class 1,0.5,24.0
Chord {D in octave 5 | E in octave 5 | G in octave 5 | G in octave 4 | B-flat in octave 4} Zero,E5-half-diminished seventh chord,0.0,74/3
Chord {D in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),B-4-interval class 4,1/3,80/3
Chord {C-sharp in octave 5 | F-sharp in octave 4 | B-flat in octave 4} 16th,B-4-major triad,0.25,83/3
Chord {C in octave 5 | C-sharp in octave 4 | G in octave 3 | A in octave 2 | F in octave 4} 16th,F4-enigmatic pentachord,0.25,28.5
Chord {B-flat in octave 3 | C-sharp in octave 4} Quarter Triplet (2/3 QL),C#4-interval class 3,2/3,30.0
Chord {G in octave 1 | E in octave 4 | G in octave 2 | C-sharp in octave 4} Eighth,C#4-diminished triad,0.5,35.0
Chord {C-sharp in octave 4 | E in octave 4} Eighth,C#4-interval class 3,0.5,36.5
Chord {C-sharp in octave 4 | G in octave 2 | E in octave 4} Eighth,C#4-diminished triad,0.5,37.5
Chord {G in octave 1 | G in octave 2 | G in octave 3 | B in octave 3 | F in octave 3} Eighth Triplet (1/3 QL),G1-incomplete dominant-seventh chord,1/3,38.25
