538.6666666666666
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 5 | C in octave 5 | A in octave 4 | F-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D5-dominant seventh chord,5/3,314.0
Chord {G in octave 3 | D in octave 3} Quarter Triplet (2/3 QL),G3-interval class 5,2/3,132.0
Chord {B in octave 2 | E in octave 3} Dotted Eighth,E3-interval class 5,0.75,132.75
Chord {C-sharp in octave 3 | G in octave 3} Half tied to Eighth (2 1/2 total QL),C#3-tritone,2.5,133.75
Chord {C in octave 3 | E in octave 3} Quarter Triplet (2/3 QL),C3-interval class 4,2/3,137.0
Chord {C in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),C3-interval class 5,1/3,413/3
Chord {B in octave 3 | D in octave 3} Quarter Triplet (2/3 QL),B3-interval class 3,2/3,138.0
Chord {B in octave 3 | D in octave 3} Half Triplet (1 1/3 QL),B3-interval class 3,4/3,416/3
Chord {D in octave 3 | G in octave 3} Quarter Triplet (2/3 QL),G3-interval class 5,2/3,140.0
Chord {E in octave 3 | B in octave 2} Dotted Eighth,E3-interval class 5,0.75,140.75
Chord {C-sharp in octave 3 | G in octave 3} Half tied to Eighth (2 1/2 total QL),C#3-tritone,2.5,141.75
Chord {E in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),C3-interval class 4,2/3,145.0
Chord {C in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),C3-interval class 5,1/3,437/3
Chord {D in octave 3 | B in octave 3} Quarter Triplet (2/3 QL),B3-interval class 3,2/3,146.0
Chord {D in octave 3 | B in octave 3} Half Triplet (1 1/3 QL),B3-interval class 3,4/3,440/3
Chord {G in octave 3 | D in octave 3} Quarter Triplet (2/3 QL),G3-interval class 5,2/3,148.0
Chord {E in octave 3 | B in octave 2} Dotted Eighth,E3-interval class 5,0.75,148.75
Chord {G in octave 3 | C-sharp in octave 3} Whole Triplet (2 2/3 QL),C#3-tritone,8/3,149.75
Chord {E in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),C3-interval class 4,2/3,153.0
Chord {C in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),C3-interval class 5,1/3,461/3
Chord {D in octave 3 | B in octave 3} Quarter Triplet (2/3 QL),B3-interval class 3,2/3,154.0
Chord {D in octave 3 | B in octave 3} Half Triplet (1 1/3 QL),B3-interval class 3,4/3,464/3
Chord {D in octave 4 | F-sharp in octave 3 | C in octave 4 | A in octave 3} Eighth,D4-dominant seventh chord,0.5,156.0
Chord {D in octave 4 | F-sharp in octave 3 | C in octave 4 | A in octave 3} 16th,D4-dominant seventh chord,0.25,470/3
Chord {C in octave 4 | A in octave 3 | F-sharp in octave 3 | D in octave 4} Eighth,D4-dominant seventh chord,0.5,157.0
Chord {D in octave 4 | A in octave 3 | F-sharp in octave 3 | C in octave 4} 16th,D4-dominant seventh chord,0.25,473/3
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3 | F in octave 3} Eighth,D4-half-diminished seventh chord,0.5,158.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 3 | D in octave 4} 16th,D4-half-diminished seventh chord,0.25,476/3
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3 | F in octave 3} Eighth,D4-half-diminished seventh chord,0.5,159.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 3 | D in octave 4} 16th,D4-half-diminished seventh chord,0.25,479/3
Chord {C in octave 4 | D in octave 4 | F-sharp in octave 3 | A in octave 3} Eighth Triplet (1/3 QL),D4-dominant seventh chord,1/3,160.0
Chord {B-flat in octave 3 | A in octave 3 | F-sharp in octave 3 | D in octave 3} Eighth,B-3-augmented major tetrachord,0.5,160.5
Chord {F-sharp in octave 3 | C in octave 3 | D in octave 3 | A in octave 3} Double Dotted Quarter,D3-dominant seventh chord,1.75,161.5
Chord {D in octave 3 | G in octave 3} Quarter Triplet (2/3 QL),G3-interval class 5,2/3,164.0
Chord {E in octave 3 | B in octave 2} Dotted Eighth,E3-interval class 5,0.75,164.75
Chord {G in octave 3 | C-sharp in octave 3} Whole Triplet (2 2/3 QL),C#3-tritone,8/3,165.75
Chord {E in octave 3 | C in octave 3} Quarter Triplet (2/3 QL),C3-interval class 4,2/3,169.0
Chord {C in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),C3-interval class 5,1/3,509/3
Chord {D in octave 3 | B in octave 3} Quarter Triplet (2/3 QL),B3-interval class 3,2/3,170.0
Chord {D in octave 3 | B in octave 3} Half Triplet (1 1/3 QL),B3-interval class 3,4/3,512/3
Chord {G in octave 3 | D in octave 3} Quarter Triplet (2/3 QL),G3-interval class 5,2/3,172.0
Chord {E in octave 3 | B in octave 2} Dotted Eighth,E3-interval class 5,0.75,172.75
Chord {G in octave 3 | C-sharp in octave 3} Whole Triplet (2 2/3 QL),C#3-tritone,8/3,173.75
Chord {C in octave 3 | E in octave 3} Quarter Triplet (2/3 QL),C3-interval class 4,2/3,177.0
Chord {G in octave 3 | C in octave 3} Eighth Triplet (1/3 QL),C3-interval class 5,1/3,533/3
Chord {B in octave 3 | D in octave 3} Quarter Triplet (2/3 QL),B3-interval class 3,2/3,178.0
Chord {B in octave 3 | D in octave 3} Half Triplet (1 1/3 QL),B3-interval class 3,4/3,536/3
Chord {D in octave 3 | G in octave 3} Quarter Triplet (2/3 QL),G3-interval class 5,2/3,180.0
Chord {B in octave 2 | E in octave 3} Dotted Eighth,E3-interval class 5,0.75,180.75
Chord {C-sharp in octave 3 | G in octave 3} Whole Triplet (2 2/3 QL),C#3-tritone,8/3,181.75
Chord {C in octave 3 | E in octave 3} Quarter Triplet (2/3 QL),C3-interval class 4,2/3,185.0
Chord {G in octave 3 | C in octave 3} Eighth Triplet (1/3 QL),C3-interval class 5,1/3,557/3
Chord {B in octave 3 | D in octave 3} Quarter Triplet (2/3 QL),B3-interval class 3,2/3,186.0
Chord {B in octave 3 | D in octave 3} Half Triplet (1 1/3 QL),B3-interval class 3,4/3,560/3
Chord {F-sharp in octave 3 | D in octave 4 | A in octave 3 | C in octave 4} Eighth,D4-dominant seventh chord,0.5,188.0
Chord {F-sharp in octave 3 | D in octave 4 | A in octave 3 | C in octave 4} 16th,D4-dominant seventh chord,0.25,566/3
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F-sharp in octave 3} Eighth,D4-dominant seventh chord,0.5,189.0
Chord {F-sharp in octave 3 | C in octave 4 | D in octave 4 | A in octave 3} 16th,D4-dominant seventh chord,0.25,569/3
Chord {F in octave 3 | G-sharp in octave 3 | C in octave 4 | D in octave 4} Eighth,D4-half-diminished seventh chord,0.5,190.0
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4 | F in octave 3} 16th,D4-half-diminished seventh chord,0.25,572/3
Chord {F in octave 3 | G-sharp in octave 3 | C in octave 4 | D in octave 4} Eighth,D4-half-diminished seventh chord,0.5,191.0
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 4 | F in octave 3} 16th,D4-half-diminished seventh chord,0.25,575/3
Chord {D in octave 4 | C in octave 4 | A in octave 3 | F-sharp in octave 3} Eighth Triplet (1/3 QL),D4-dominant seventh chord,1/3,192.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | D in octave 3 | A in octave 3} Eighth,B-3-augmented major tetrachord,0.5,192.5
Chord {D in octave 3 | F-sharp in octave 3 | A in octave 3 | C in octave 3} Double Dotted Quarter,D3-dominant seventh chord,1.75,193.5
Chord {D in octave 4 | F-sharp in octave 3 | C in octave 4 | A in octave 3} Eighth,D4-dominant seventh chord,0.5,220.0
Chord {D in octave 4 | F-sharp in octave 3 | C in octave 4 | A in octave 3} 16th,D4-dominant seventh chord,0.25,662/3
Chord {C in octave 4 | A in octave 3 | F-sharp in octave 3 | D in octave 4} Eighth,D4-dominant seventh chord,0.5,221.0
Chord {D in octave 4 | A in octave 3 | F-sharp in octave 3 | C in octave 4} 16th,D4-dominant seventh chord,0.25,665/3
Chord {D in octave 4 | C in octave 4 | G-sharp in octave 3 | F in octave 3} Eighth,D4-half-diminished seventh chord,0.5,222.0
Chord {C in octave 4 | G-sharp in octave 3 | F in octave 3 | D in octave 4} 16th,D4-half-diminished seventh chord,0.25,668/3
