584.25
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 2 | D in octave 5 | G-sharp in octave 5 | B-flat in octave 5} Quarter Triplet (2/3 QL),G#5-incomplete dominant-seventh chord,2/3,20.0
Chord {B-flat in octave 2 | D in octave 5 | G-sharp in octave 5 | B-flat in octave 5} Eighth,G#5-incomplete dominant-seventh chord,0.5,23.0
Chord {F in octave 5 | G in octave 5 | D in octave 5} Dotted Eighth,G5-incomplete dominant-seventh chord,0.75,80/3
Chord {E-flat in octave 5 | G in octave 5 | E-flat in octave 3 | B-flat in octave 5} Eighth,E-5-major triad,0.5,28.0
Chord {E-flat in octave 3 | C-sharp in octave 5 | G in octave 5 | B-flat in octave 5} Quarter Triplet (2/3 QL),C#5-dominant seventh chord,2/3,31.0
Chord {G-sharp in octave 2 | F in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),F5-minor triad,2/3,37.0
Chord {E-flat in octave 5 | F in octave 5} Quarter Triplet (2/3 QL),F5-interval class 2,2/3,39.0
Chord {E-flat in octave 5 | G-sharp in octave 5 | C in octave 5 | F in octave 5} Dotted Eighth,C5-minor seventh chord,0.75,41.0
Chord {C in octave 5 | E-flat in octave 5 | F in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),C5-minor seventh chord,2/3,128/3
Chord {E-flat in octave 5 | C in octave 5 | F in octave 5} Quarter Triplet (2/3 QL),F5-incomplete dominant-seventh chord,2/3,49.0
Chord {E-flat in octave 5 | C in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),C5-major triad,2/3,200/3
Chord {E-flat in octave 5 | C-sharp in octave 5} Quarter Triplet (2/3 QL),C#5-interval class 2,2/3,73.0
Chord {G-sharp in octave 5 | F in octave 5} Quarter Triplet (2/3 QL),G#5-interval class 3,2/3,74.5
Chord {E-flat in octave 5 | G-sharp in octave 5 | C in octave 5} Eighth,C5-major triad,0.5,77.0
Chord {E in octave 3 | D in octave 5 | G-sharp in octave 5 | B in octave 5} Dotted Eighth,E3-dominant seventh chord,0.75,81.0
Chord {D in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),G#5-tritone,2/3,83.0
Chord {E-flat in octave 5 | G-sharp in octave 5 | C in octave 5} Quarter,C5-major triad,1.0,85.0
Chord {C in octave 5 | E-flat in octave 5} Half Triplet (1 1/3 QL),C5-interval class 3,4/3,90.75
Chord {E-flat in octave 5 | C in octave 5 | G-sharp in octave 5} Quarter,C5-major triad,1.0,93.0
Chord {C in octave 5 | G-sharp in octave 5} Dotted Eighth,C5-interval class 4,0.75,97.0
Chord {F-sharp in octave 5 | G-sharp in octave 5} Dotted Eighth,G#5-interval class 2,0.75,296/3
Chord {G-sharp in octave 5 | C-sharp in octave 5} 16th,C#5-interval class 5,0.25,123.5
Chord {D in octave 5 | F in octave 5 | G-sharp in octave 5 | B-flat in octave 2} Eighth Triplet (1/3 QL),G#5-dominant seventh chord,1/3,386/3
Chord {G-sharp in octave 5 | C in octave 5 | E-flat in octave 5} Eighth,C5-major triad,0.5,133.0
Chord {G-sharp in octave 5 | F in octave 5} Eighth,G#5-interval class 3,0.5,135.0
Chord {B-flat in octave 2 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-2-unison,2/3,136.0
Chord {F in octave 5 | C-sharp in octave 5 | B-flat in octave 4} Eighth,B-4-minor triad,0.5,137.0
Chord {C-sharp in octave 5 | G in octave 5} Eighth Triplet (1/3 QL),C#5-tritone,1/3,139.0
Chord {E-flat in octave 5 | G-sharp in octave 5 | C in octave 5} Eighth,C5-major triad,0.5,141.0
Chord {B-flat in octave 4 | B-flat in octave 2 | F in octave 5} Eighth,B-4-interval class 5,0.5,145.0
Chord {E-flat in octave 5 | B-flat in octave 4 | G in octave 5} Eighth,E-5-major triad,0.5,147.0
Chord {E-flat in octave 5 | G-sharp in octave 5 | C in octave 5} Eighth,C5-major triad,0.5,149.0
Chord {B-flat in octave 4 | C-sharp in octave 5 | G in octave 5} Quarter Triplet (2/3 QL),C#5-diminished triad,2/3,155.0
Chord {B-flat in octave 4 | G in octave 5} Eighth,G5-interval class 3,0.5,157.0
Chord {F-sharp in octave 5 | A in octave 4 | E-flat in octave 5} Eighth,F#5-diminished triad,0.5,159.0
Chord {G in octave 5 | B-flat in octave 4 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-5-major triad,1/3,160.0
Chord {G in octave 5 | B-flat in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,162.0
Chord {E-flat in octave 5 | C in octave 5 | G-sharp in octave 5} Eighth,C5-major triad,0.5,163.0
Chord {G-sharp in octave 5 | E-flat in octave 5 | C in octave 5} Eighth,C5-major triad,0.5,165.0
Chord {B in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),B4-tritone,1/3,167.0
Chord {E-flat in octave 5 | G in octave 5} Eighth,E-5-interval class 4,0.5,168.0
Chord {G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-major triad,0.5,170.0
Chord {E-flat in octave 5 | B-flat in octave 4 | G in octave 5} Eighth,E-5-major triad,0.5,171.0
Chord {G-sharp in octave 5 | E-flat in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),C5-major triad,2/3,173.0
Chord {G-sharp in octave 5 | B in octave 4} Eighth,G#5-interval class 3,0.5,175.0
Chord {G in octave 5 | E-flat in octave 5} Eighth,E-5-interval class 4,0.5,176.0
Chord {E-flat in octave 5 | B-flat in octave 4} Dotted Eighth,E-5-interval class 5,0.75,179.0
Chord {G-sharp in octave 5 | E-flat in octave 5 | C in octave 5} Dotted Eighth,C5-major triad,0.75,181.0
Chord {G-sharp in octave 5 | B in octave 4 | F in octave 5} Quarter Triplet (2/3 QL),G#5-diminished triad,2/3,183.0
Chord {B-flat in octave 4 | E-flat in octave 5 | G in octave 5 | E-flat in octave 3} Eighth,E-5-major triad,0.5,187.0
Chord {E-flat in octave 3 | G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Eighth,E-3-major triad,0.5,189.0
Chord {E-flat in octave 5 | F-sharp in octave 5 | E-flat in octave 3} Eighth,F#5-interval class 3,0.5,191.0
Chord {E-flat in octave 3 | G in octave 5 | B-flat in octave 4} Eighth,E-3-major triad,0.5,192.0
Chord {G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-major triad,0.5,194.0
Chord {E-flat in octave 5 | C in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),C5-major triad,2/3,197.0
Chord {B in octave 4 | F in octave 5} Quarter Triplet (2/3 QL),B4-tritone,2/3,199.0
Chord {C-sharp in octave 5 | B-flat in octave 4} Eighth,C#5-interval class 3,0.5,201.0
Chord {E-flat in octave 5 | G-sharp in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),C5-major triad,2/3,205.0
Chord {C-sharp in octave 5 | B-flat in octave 4} Eighth,C#5-interval class 3,0.5,209.0
Chord {G in octave 5 | B-flat in octave 4 | E-flat in octave 5} Quarter Triplet (2/3 QL),E-5-major triad,2/3,210.0
Chord {G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Dotted Eighth,E-5-major triad,0.75,211.0
Chord {G-sharp in octave 5 | E-flat in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),C5-major triad,2/3,213.0
Chord {B-flat in octave 4 | F in octave 5 | C-sharp in octave 5} Eighth,B-4-minor triad,0.5,217.0
Chord {E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-interval class 5,0.5,219.0
Chord {G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-major triad,0.5,221.0
Chord {F-sharp in octave 5 | E-flat in octave 5 | A in octave 4} Eighth,F#5-diminished triad,0.5,223.0
Chord {G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),E-5-major triad,1/3,224.0
Chord {B-flat in octave 4 | G in octave 5} Eighth Triplet (1/3 QL),G5-interval class 3,1/3,226.0
Chord {G-sharp in octave 5 | E-flat in octave 5 | C in octave 5} Eighth,C5-major triad,0.5,229.0
Chord {F in octave 5 | G-sharp in octave 5} Eighth,G#5-interval class 3,0.5,231.0
Chord {B-flat in octave 4 | C-sharp in octave 5 | F in octave 5} Quarter Triplet (2/3 QL),B-4-minor triad,2/3,233.0
Chord {G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-major triad,0.5,235.0
Chord {G-sharp in octave 5 | C in octave 5 | E-flat in octave 5} Eighth,C5-major triad,0.5,237.0
Chord {G-sharp in octave 5 | F in octave 5 | B in octave 4} Eighth,G#5-diminished triad,0.5,239.0
Chord {B-flat in octave 4 | C-sharp in octave 5 | F in octave 5} Quarter Triplet (2/3 QL),B-4-minor triad,2/3,241.0
Chord {G-sharp in octave 5 | E-flat in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),C5-major triad,2/3,245.0
Chord {B in octave 4 | F in octave 5} Quarter Triplet (2/3 QL),B4-tritone,2/3,247.0
Chord {B-flat in octave 4 | C-sharp in octave 5 | F in octave 5} Quarter Triplet (2/3 QL),B-4-minor triad,2/3,249.0
Chord {G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-major triad,0.5,251.0
Chord {F-sharp in octave 5 | A in octave 4 | E-flat in octave 5} Eighth,F#5-diminished triad,0.5,255.0
Chord {G in octave 5 | B-flat in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,256.0
Chord {G-sharp in octave 5 | B in octave 4 | E in octave 5} Eighth Triplet (1/3 QL),E5-major triad,1/3,257.0
Chord {G in octave 5 | B-flat in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,258.0
Chord {B in octave 5 | G-sharp in octave 5 | E in octave 5} 16th,E5-major triad,0.25,270.0
Chord {B-flat in octave 5 | E-flat in octave 3 | E-flat in octave 5 | G in octave 5} Eighth,E-3-major triad,0.5,812/3
Chord {B in octave 5 | E in octave 3 | D in octave 5} 16th,E3-incomplete dominant-seventh chord,0.25,271.5
Chord {B-flat in octave 5 | G in octave 5 | E-flat in octave 5} Eighth,E-5-major triad,0.5,272.0
Chord {E-flat in octave 5 | C in octave 5 | G-sharp in octave 5} Quarter,C5-major triad,1.0,275.0
Chord {C in octave 5 | E-flat in octave 5 | G-sharp in octave 5} Half Triplet (1 1/3 QL),C5-major triad,4/3,303.0
Chord {C in octave 5 | G-sharp in octave 5} Quarter,C5-interval class 4,1.0,305.0
Chord {C in octave 5 | E-flat in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),C5-interval class 3,5/3,920/3
Chord {C in octave 5 | E-flat in octave 5} Quarter,C5-interval class 3,1.0,311.0
Chord {C in octave 5 | G-sharp in octave 5} Dotted Eighth,C5-interval class 4,0.75,313.0
Chord {G-sharp in octave 5 | C in octave 5 | E-flat in octave 5} Double Dotted Quarter,C5-major triad,1.75,944/3
Chord {C in octave 5 | E-flat in octave 5} Half Triplet (1 1/3 QL),C5-interval class 3,4/3,317.0
Chord {C in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),C5-interval class 4,2/3,319.0
Chord {E in octave 5 | B in octave 5 | G-sharp in octave 5} Eighth Triplet (1/3 QL),E5-major triad,1/3,342.0
Chord {B-flat in octave 5 | E-flat in octave 5 | E-flat in octave 3} Eighth,E-5-interval class 5,0.5,1028/3
Chord {G-sharp in octave 2 | E-flat in octave 5 | G-sharp in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-major triad,1/3,343.5
Chord {C in octave 5 | G-sharp in octave 5} Dotted Quarter,C5-interval class 4,1.5,354.75
Chord {E-flat in octave 5 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),C5-interval class 3,1.25,357.0
Chord {E-flat in octave 5 | C in octave 5} Dotted Eighth,C5-interval class 3,0.75,361.0
Chord {G-sharp in octave 5 | F-sharp in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),G#5-interval class 2,5/3,362.5
Chord {G-sharp in octave 2 | G-sharp in octave 5 | C in octave 5 | E-flat in octave 5} Quarter,C5-major triad,1.0,387.0
Chord {E-flat in octave 5 | F-sharp in octave 5} Quarter,F#5-interval class 3,1.0,418.5
Chord {G-sharp in octave 5 | E-flat in octave 5} Quarter Triplet (2/3 QL),E-5-interval class 5,2/3,443.0
Chord {E-flat in octave 5 | G-sharp in octave 5 | C in octave 5 | F in octave 5} Dotted Eighth,C5-minor seventh chord,0.75,1520/3
Chord {E-flat in octave 5 | C in octave 5 | F in octave 5} Quarter Triplet (2/3 QL),F5-incomplete dominant-seventh chord,2/3,1523/3
Chord {C in octave 5 | E-flat in octave 5} Quarter,C5-interval class 3,1.0,509.0
Chord {C in octave 5 | E-flat in octave 5 | G-sharp in octave 5 | G-sharp in octave 2} Quarter Triplet (2/3 QL),C5-major triad,2/3,547.0
Chord {E-flat in octave 5 | G-sharp in octave 5 | F in octave 5 | C in octave 5 | G-sharp in octave 2} Quarter Triplet (2/3 QL),C5-minor seventh chord,2/3,578.0
Chord {F in octave 5 | G-sharp in octave 5 | B-flat in octave 5} Dotted Eighth,G#5-incomplete dominant-seventh chord,0.75,104/3
Chord {C in octave 5 | G-sharp in octave 5} Dotted Eighth,C5-interval class 4,0.75,39.0
Chord {E-flat in octave 5 | F in octave 5 | G-sharp in octave 5 | C in octave 5} Quarter,C5-minor seventh chord,1.0,45.0
Chord {C in octave 5 | E-flat in octave 5} Quarter,C5-interval class 3,1.0,47.0
Chord {C in octave 5 | G-sharp in octave 5 | E-flat in octave 5} Dotted Eighth,C5-major triad,0.75,50.5
Chord {B-flat in octave 5 | F in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Eighth,G#5-minor seventh chord,0.5,53.0
Chord {B-flat in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Quarter,C#5-incomplete minor-seventh chord,1.0,55.0
Chord {F in octave 5 | B-flat in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),G#5-incomplete dominant-seventh chord,2/3,57.0
Chord {F in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),G#5-interval class 3,2/3,58.5
Chord {E-flat in octave 5 | C in octave 5} Quarter,C5-interval class 3,1.0,63.0
Chord {C in octave 5 | E-flat in octave 5} Dotted Eighth,C5-interval class 3,0.75,65.0
Chord {E-flat in octave 5 | C-sharp in octave 5 | G in octave 5} Dotted Eighth,C#5-incomplete dominant-seventh chord,0.75,69.0
Chord {C-sharp in octave 5 | G in octave 5} Quarter,C#5-tritone,1.0,71.0
Chord {F in octave 5 | G-sharp in octave 5} Eighth,G#5-interval class 3,0.5,83.0
Chord {E-flat in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),E-5-interval class 5,2/3,87.0
Chord {G-sharp in octave 5 | E-flat in octave 5 | C in octave 5} Quarter,C5-major triad,1.0,89.0
Chord {C in octave 5 | E-flat in octave 5 | G-sharp in octave 5} Quarter tied to 16th (1 1/4 total QL),C5-major triad,1.25,95.0
Chord {B-flat in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Quarter,C#5-incomplete minor-seventh chord,1.0,103.0
Chord {B-flat in octave 5 | F in octave 5 | G-sharp in octave 5} Quarter Triplet (2/3 QL),G#5-incomplete dominant-seventh chord,2/3,105.0
Chord {C-sharp in octave 5 | G-sharp in octave 5} Quarter,C#5-interval class 5,1.0,320/3
