400.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 5 | B-flat in octave 4 | D in octave 2} Eighth,B-4-interval class 4,0.5,12.0
Chord {B-flat in octave 4 | D in octave 5 | D in octave 2} Zero,B-4-interval class 4,0.0,12.75
Chord {A in octave 4 | E in octave 5 | C in octave 6} 16th,A4-minor triad,0.25,16.75
Chord {A in octave 6 | C in octave 4 | F in octave 3} Eighth,F3-major triad,0.5,18.0
Chord {A in octave 6 | C in octave 4 | F in octave 3} 16th,F3-major triad,0.25,18.75
Chord {B-flat in octave 4 | E in octave 5 | D in octave 6} 16th,E5-incomplete half-diminished seventh chord,0.25,22.75
Chord {E in octave 5 | A in octave 5} 16th,A5-interval class 5,0.25,24.0
Chord {E in octave 4 | G in octave 4 | C in octave 5 | A in octave 4 | A in octave 5} 16th,A4-minor seventh chord,0.25,25.0
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 4 | E in octave 5 | A in octave 5} Eighth,A4-minor seventh chord,0.5,26.0
Chord {A in octave 4 | E in octave 4 | G in octave 4 | E in octave 5 | C in octave 5 | A in octave 5} Zero,A4-minor seventh chord,0.0,26.75
Chord {E in octave 5 | D in octave 5 | B-flat in octave 2} Eighth,E5-incomplete half-diminished seventh chord,0.5,44.0
Chord {D in octave 5 | E in octave 5 | B-flat in octave 2} Zero,E5-incomplete half-diminished seventh chord,0.0,44.75
Chord {A in octave 2 | G in octave 3 | C-sharp in octave 4} Zero,A2-incomplete dominant-seventh chord,0.0,46.0
Chord {E in octave 3 | C-sharp in octave 4} 16th,C#4-interval class 3,0.25,46.0
Chord {A in octave 4 | D in octave 6 | B in octave 4 | F in octave 5} 16th,B4-half-diminished seventh chord,0.25,58.0
Chord {D in octave 5 | C in octave 5 | A in octave 2} Eighth,D5-incomplete dominant-seventh chord,0.5,60.0
Chord {C in octave 5 | D in octave 5 | A in octave 2} Zero,D5-incomplete dominant-seventh chord,0.0,60.75
Chord {G in octave 2 | B-flat in octave 3 | F in octave 4} Zero,G2-incomplete minor-seventh chord,0.0,64.0
Chord {G in octave 3 | F in octave 4} 16th,G3-interval class 2,0.25,64.0
Chord {A in octave 5 | D in octave 6} 16th,D6-interval class 5,0.25,74.0
Chord {A in octave 4 | C in octave 5 | F in octave 5 | D in octave 5 | D in octave 6} 16th,D5-minor seventh chord,0.25,75.0
Chord {G-sharp in octave 5 | D in octave 6} 16th,G#5-tritone,0.25,78.0
Chord {G-sharp in octave 4 | B-flat in octave 4 | E in octave 5 | D in octave 5 | D in octave 6} 16th,E5-Messiaen's truncated mode 6,0.25,79.0
Chord {C in octave 5 | F in octave 5 | D in octave 6} 16th,D6-incomplete minor-seventh chord,0.25,82.75
Chord {D in octave 6 | D in octave 5 | F in octave 5 | G in octave 4} 16th,G4-incomplete dominant-seventh chord,0.25,84.0
Chord {G-sharp in octave 2 | G-sharp in octave 4 | F in octave 4} 16th,G#2-interval class 3,0.25,92.0
Chord {F in octave 3 | F in octave 4 | G in octave 2 | B-flat in octave 3 | G in octave 3} 16th,G2-incomplete minor-seventh chord,0.25,96.0
Chord {F in octave 5 | G in octave 5 | D in octave 5 | D in octave 6 | B-flat in octave 4} Zero,G5-minor seventh chord,0.0,98.0
Chord {B-flat in octave 1 | G in octave 3 | C-sharp in octave 4} Zero,C#4-diminished triad,0.0,100.0
Chord {F in octave 3 | C-sharp in octave 4} 16th,F3-interval class 4,0.25,100.0
Chord {D in octave 3 | D in octave 4 | E in octave 2 | G in octave 3 | E in octave 3} 16th,E2-incomplete minor-seventh chord,0.25,108.0
Chord {G in octave 3 | G in octave 4 | A in octave 2 | C-sharp in octave 4 | A in octave 3} 16th,A2-incomplete dominant-seventh chord,0.25,109.0
Chord {E-flat in octave 6 | E-flat in octave 5 | F-sharp in octave 5 | G-sharp in octave 4} 16th,E-6-incomplete dominant-seventh chord,0.25,112.0
Chord {C-sharp in octave 2 | B in octave 3 | F in octave 4} Zero,B3-incomplete dominant-seventh chord,0.0,114.0
Chord {G-sharp in octave 3 | F in octave 4} 16th,G#3-interval class 3,0.25,114.0
Chord {G-sharp in octave 5 | E-flat in octave 6} 16th,E-6-interval class 5,0.25,118.0
Chord {G-sharp in octave 4 | B in octave 4 | F in octave 5 | E-flat in octave 5 | E-flat in octave 6} 16th,E-5-half-diminished seventh chord,0.25,119.0
Chord {C in octave 6 | C in octave 5 | D in octave 5 | F in octave 4} 16th,D5-incomplete minor-seventh chord,0.25,120.0
Chord {D in octave 5 | C in octave 5 | A in octave 2} Eighth,D5-incomplete dominant-seventh chord,0.5,122.0
Chord {C in octave 5 | D in octave 5 | A in octave 2} Zero,D5-incomplete dominant-seventh chord,0.0,122.75
Chord {D in octave 5 | B-flat in octave 4 | D in octave 2} Eighth,B-4-interval class 4,0.5,124.0
Chord {B-flat in octave 4 | D in octave 5 | D in octave 2} Zero,B-4-interval class 4,0.0,124.75
Chord {D in octave 5 | B-flat in octave 4 | D in octave 2} Eighth,B-4-interval class 4,0.5,132.0
Chord {B-flat in octave 4 | D in octave 5 | D in octave 2} Zero,B-4-interval class 4,0.0,132.75
Chord {D in octave 5 | B-flat in octave 4 | G in octave 2} Eighth,G2-minor triad,0.5,134.0
Chord {B-flat in octave 4 | D in octave 5 | G in octave 2} Zero,G2-minor triad,0.0,134.75
Chord {A in octave 4 | E in octave 5 | C in octave 6} 16th,A4-minor triad,0.25,136.75
Chord {A in octave 5 | D in octave 6} 16th,D6-interval class 5,0.25,138.0
Chord {A in octave 4 | C in octave 5 | F in octave 5 | D in octave 5 | D in octave 6} 16th,D5-minor seventh chord,0.25,139.0
Chord {G in octave 5 | E in octave 5 | C in octave 3} Eighth,C3-major triad,0.5,144.0
Chord {E in octave 5 | G in octave 5 | C in octave 3} Zero,C3-major triad,0.0,144.75
Chord {D in octave 2 | C in octave 4 | F in octave 4} Zero,D2-incomplete minor-seventh chord,0.0,146.0
Chord {A in octave 3 | F in octave 4} 16th,F4-interval class 4,0.25,146.0
Chord {G in octave 2 | B-flat in octave 3 | F in octave 4} Zero,G2-incomplete minor-seventh chord,0.0,148.0
Chord {G in octave 3 | F in octave 4} 16th,G3-interval class 2,0.25,148.0
Chord {A in octave 2 | G in octave 3 | C in octave 4} Zero,A2-incomplete minor-seventh chord,0.0,152.0
Chord {E in octave 3 | C in octave 4} 16th,C4-interval class 4,0.25,152.0
Chord {F in octave 3 | F in octave 4 | G in octave 2 | B-flat in octave 3 | G in octave 3} 16th,G2-incomplete minor-seventh chord,0.25,160.0
Chord {F in octave 5 | G in octave 5 | D in octave 5 | D in octave 6 | B-flat in octave 4} Zero,G5-minor seventh chord,0.0,162.0
Chord {C in octave 2 | B-flat in octave 3 | E in octave 4} Zero,C2-incomplete dominant-seventh chord,0.0,164.0
Chord {G in octave 3 | E in octave 4} 16th,E4-interval class 3,0.25,164.0
Chord {G in octave 2 | G in octave 4 | F in octave 4} 16th,G2-interval class 2,0.25,168.0
Chord {E in octave 6 | G in octave 3 | D in octave 3} Eighth,E6-incomplete minor-seventh chord,0.5,172.0
Chord {E in octave 6 | G in octave 3 | D in octave 3} 16th,E6-incomplete minor-seventh chord,0.25,172.75
Chord {A in octave 5 | D in octave 6} 16th,D6-interval class 5,0.25,184.0
Chord {A in octave 4 | B in octave 4 | F in octave 5 | D in octave 5 | D in octave 6} 16th,B4-half-diminished seventh chord,0.25,185.0
Chord {B in octave 4 | A in octave 4 | F in octave 5 | D in octave 5 | A in octave 5 | D in octave 6} Eighth,B4-half-diminished seventh chord,0.5,186.0
Chord {D in octave 5 | A in octave 4 | B in octave 4 | A in octave 5 | F in octave 5 | D in octave 6} Zero,B4-half-diminished seventh chord,0.0,186.75
Chord {C in octave 5 | F in octave 5 | D in octave 6} 16th,D6-incomplete minor-seventh chord,0.25,188.75
Chord {G in octave 6 | B-flat in octave 3 | F in octave 3} Eighth,G6-incomplete minor-seventh chord,0.5,204.0
Chord {G in octave 6 | B-flat in octave 3 | F in octave 3} 16th,G6-incomplete minor-seventh chord,0.25,204.75
Chord {G in octave 5 | E in octave 5 | C in octave 3} Eighth,C3-major triad,0.5,208.0
Chord {E in octave 5 | G in octave 5 | C in octave 3} Zero,C3-major triad,0.0,208.75
Chord {D in octave 5 | B-flat in octave 4 | D in octave 2} Eighth,B-4-interval class 4,0.5,212.0
Chord {B-flat in octave 4 | D in octave 5 | D in octave 2} Zero,B-4-interval class 4,0.0,212.75
Chord {A in octave 2 | E in octave 4 | C in octave 4} 16th,A2-minor triad,0.25,216.0
Chord {F in octave 3 | F in octave 4 | G in octave 2 | B-flat in octave 3 | G in octave 3} 16th,G2-incomplete minor-seventh chord,0.25,224.0
Chord {F in octave 5 | G in octave 5 | D in octave 5 | D in octave 6 | B-flat in octave 4} Zero,G5-minor seventh chord,0.0,226.0
Chord {F in octave 6 | G in octave 3 | C-sharp in octave 3} Eighth,F6-incomplete half-diminished seventh chord,0.5,228.0
Chord {F in octave 6 | G in octave 3 | C-sharp in octave 3} 16th,F6-incomplete half-diminished seventh chord,0.25,228.75
Chord {B-flat in octave 5 | B-flat in octave 4 | C-sharp in octave 5 | F in octave 4} 16th,B-5-minor triad,0.25,230.0
Chord {D in octave 6 | D in octave 5 | F in octave 5 | A in octave 4} 16th,D6-minor triad,0.25,234.0
Chord {D in octave 3 | D in octave 4 | E in octave 2 | G in octave 3 | E in octave 3} 16th,E2-incomplete minor-seventh chord,0.25,236.0
Chord {G in octave 3 | G in octave 4 | A in octave 2 | C-sharp in octave 4 | A in octave 3} 16th,A2-incomplete dominant-seventh chord,0.25,237.0
Chord {G-sharp in octave 5 | E-flat in octave 6} 16th,E-6-interval class 5,0.25,242.0
Chord {G-sharp in octave 4 | B in octave 4 | F in octave 5 | E-flat in octave 5 | E-flat in octave 6} 16th,E-5-half-diminished seventh chord,0.25,243.0
Chord {B in octave 4 | F-sharp in octave 5 | E-flat in octave 6} 16th,E-6-major triad,0.25,244.75
Chord {G-sharp in octave 6 | B in octave 3 | F in octave 3} Eighth,G#6-diminished triad,0.5,246.0
Chord {G-sharp in octave 6 | B in octave 3 | F in octave 3} 16th,G#6-diminished triad,0.25,246.75
Chord {C in octave 6 | C in octave 5 | D in octave 5 | F in octave 4} 16th,D5-incomplete minor-seventh chord,0.25,248.0
Chord {D in octave 6 | D in octave 5 | F in octave 5 | A in octave 4} 16th,D6-minor triad,0.25,250.0
Chord {G in octave 2 | B-flat in octave 3 | F in octave 4} Zero,G2-incomplete minor-seventh chord,0.0,252.0
Chord {G in octave 3 | F in octave 4} 16th,G3-interval class 2,0.25,252.0
Chord {F in octave 5 | D in octave 5 | C in octave 3} Eighth,D5-incomplete minor-seventh chord,0.5,256.0
Chord {D in octave 5 | F in octave 5 | C in octave 3} Zero,D5-incomplete minor-seventh chord,0.0,256.75
Chord {C in octave 5 | F in octave 5 | D in octave 6} 16th,D6-incomplete minor-seventh chord,0.25,258.75
Chord {G in octave 6 | B-flat in octave 3 | F in octave 3} Eighth,G6-incomplete minor-seventh chord,0.5,260.0
Chord {G in octave 6 | B-flat in octave 3 | F in octave 3} 16th,G6-incomplete minor-seventh chord,0.25,260.75
Chord {D in octave 6 | D in octave 5 | E in octave 5 | G in octave 4} 16th,E5-incomplete minor-seventh chord,0.25,262.0
Chord {B-flat in octave 4 | E in octave 5 | D in octave 6} 16th,E5-incomplete half-diminished seventh chord,0.25,270.75
Chord {A in octave 4 | E in octave 5 | C in octave 6} 16th,A4-minor triad,0.25,272.75
Chord {C in octave 5 | F in octave 5 | D in octave 6} 16th,D6-incomplete minor-seventh chord,0.25,274.75
Chord {D in octave 5 | B-flat in octave 4 | D in octave 2} Eighth,B-4-interval class 4,0.5,276.0
Chord {B-flat in octave 4 | D in octave 5 | D in octave 2} Zero,B-4-interval class 4,0.0,276.75
Chord {G-sharp in octave 5 | D in octave 6} 16th,G#5-tritone,0.25,278.0
Chord {G-sharp in octave 4 | B-flat in octave 4 | E in octave 5 | D in octave 5 | D in octave 6} 16th,E5-Messiaen's truncated mode 6,0.25,279.0
Chord {E in octave 5 | A in octave 5} 16th,A5-interval class 5,0.25,280.0
Chord {E in octave 4 | G in octave 4 | C in octave 5 | A in octave 4 | A in octave 5} 16th,A4-minor seventh chord,0.25,281.0
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 4 | E in octave 5 | A in octave 5} Eighth,A4-minor seventh chord,0.5,282.0
Chord {A in octave 4 | E in octave 4 | G in octave 4 | E in octave 5 | C in octave 5 | A in octave 5} Zero,A4-minor seventh chord,0.0,282.75
