397.3333333333333
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | G in octave 3 | F in octave 4} Dotted Whole,F4-quartal trichord,6.0,28.0
Chord {E in octave 4 | F-sharp in octave 3 | B in octave 3} Quarter tied to 16th (1 1/4 total QL),E4-quartal trichord,1.25,104.0
Chord {G in octave 3 | C in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-quartal trichord,1/3,317/3
Chord {A in octave 3 | D in octave 4 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),G4-quartal trichord,1.25,107.0
Chord {B in octave 3 | E in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-quartal trichord,1/3,108.5
Chord {E in octave 4 | F-sharp in octave 3 | B in octave 3} Breve tied to Half (10 total QL),E4-quartal trichord,10.0,110.0
Chord {C-sharp in octave 4 | G in octave 3} Double Dotted Quarter,C#4-tritone,1.75,336.0
Chord {G in octave 3 | F-sharp in octave 4} 16th,G3-interval class 1,0.25,340.75
Chord {G in octave 4 | G-sharp in octave 3} Half Triplet (1 1/3 QL),G4-interval class 1,4/3,342.0
Chord {C-sharp in octave 4 | F-sharp in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),F#4-interval class 5,3.25,345.0
Chord {F-sharp in octave 4 | G in octave 3} Double Dotted Quarter,G3-interval class 1,1.75,336.0
Chord {G in octave 3 | F-sharp in octave 4} Half Triplet (1 1/3 QL),G3-interval class 1,4/3,339.0
Chord {G in octave 3 | F-sharp in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),G3-interval class 1,3.25,345.0
Chord {D in octave 5 | E in octave 5} Eighth,E5-interval class 2,0.5,524/3
Chord {D in octave 5 | E in octave 5 | A in octave 5} Half tied to 16th (2 1/4 total QL),D5-quartal trichord,2.25,593/3
Chord {E in octave 4 | D in octave 5 | B in octave 4 | F-sharp in octave 4} Double Dotted Quarter,B4-perfect-fourth minor tetrachord,1.75,617/3
Chord {B-flat in octave 5 | F in octave 5} Eighth,B-5-interval class 5,0.5,152/3
Chord {D in octave 5 | A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),D5-incomplete dominant-seventh chord,1/3,353/3
Chord {C in octave 5 | D in octave 5 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),D5-incomplete dominant-seventh chord,1.25,356/3
Chord {C in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,120.0
Chord {F in octave 4 | C in octave 4} 16th,F4-interval class 5,0.25,362/3
Chord {A in octave 3 | F in octave 4} 16th,F4-interval class 4,0.25,125.0
Chord {C in octave 4 | G in octave 3} 16th,C4-interval class 5,0.25,380/3
Chord {C in octave 4 | G in octave 3 | F in octave 4} Dotted Half,F4-quartal trichord,3.0,128.0
Chord {A in octave 3 | C-sharp in octave 4 | E in octave 4 | F-sharp in octave 4} Double Dotted Half,F#4-minor seventh chord,3.5,395/3
