541.0833333333334
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 6 | G in octave 3 | F in octave 5 | F in octave 4 | A in octave 5} 16th,D6-perfect-fourth minor tetrachord,0.25,6.0
Chord {E-flat in octave 6 | G-sharp in octave 5 | F in octave 5} 16th,E-6-incomplete minor-seventh chord,0.25,8.0
Chord {E in octave 6 | F in octave 5 | B-flat in octave 5 | C-sharp in octave 6} Eighth Triplet (1/3 QL),C#6-minor-diminished tetrachord,1/3,10.0
Chord {C in octave 4 | F in octave 3} Half tied to 16th (2 1/4 total QL),F3-interval class 5,2.25,12.0
Chord {B-flat in octave 4 | B-flat in octave 5 | D in octave 5 | F in octave 5} 16th,B-4-major triad,0.25,20.0
Chord {F in octave 4 | F in octave 5 | C in octave 5 | B-flat in octave 3 | A in octave 4} 16th,F4-perfect-fourth major tetrachord,0.25,24.75
Chord {B-flat in octave 5 | B-flat in octave 4 | F in octave 5 | C-sharp in octave 5 | C-sharp in octave 4} Eighth Triplet (1/3 QL),B-5-minor triad,1/3,30.0
Chord {B-flat in octave 5 | F in octave 5 | C-sharp in octave 5 | B-flat in octave 4} 16th,B-5-minor triad,0.25,30.75
Chord {E in octave 5 | C-sharp in octave 5 | G in octave 5} 16th,C#5-diminished triad,0.25,34.0
Chord {A in octave 4 | C in octave 5} Double Dotted Quarter,A4-interval class 3,1.75,40.0
Chord {F in octave 3 | G-sharp in octave 3 | B in octave 3 | G-sharp in octave 4 | D in octave 4} Half Triplet (1 1/3 QL),G#3-diminished seventh chord,4/3,46.0
Chord {B in octave 4 | F in octave 4 | D in octave 5 | G-sharp in octave 4} 16th,G#4-diminished seventh chord,0.25,48.0
Chord {E in octave 4 | A in octave 4} 16th,A4-interval class 5,0.25,56.0
Chord {G in octave 5 | G in octave 3 | E in octave 5 | F in octave 4} Half tied to Eighth (2 1/2 total QL),E5-phrygian trichord,2.5,68.0
Chord {C in octave 6 | B-flat in octave 4 | C in octave 4 | E in octave 5 | G-sharp in octave 5} 16th,C6-augmented seventh chord,0.25,81.0
Chord {F in octave 6 | A in octave 4 | B-flat in octave 3 | F in octave 4} 16th,B-3-incomplete major-seventh chord,0.25,88.0
Chord {C-sharp in octave 5 | B-flat in octave 4 | F in octave 5} Quarter,B-4-minor triad,1.0,93.0
Chord {G in octave 5 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,311/3
Chord {G-sharp in octave 3 | F in octave 4} Whole tied to Half tied to Eighth (6 1/2 total QL),G#3-interval class 3,6.5,109.0
Chord {G in octave 3 | G in octave 6} Eighth Triplet (1/3 QL),G3-unison,1/3,134.0
Chord {E-flat in octave 4 | C-sharp in octave 4} Eighth,C#4-interval class 2,0.5,146.0
Chord {B-flat in octave 3 | F in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),B-3-interval class 5,10/3,147.75
Chord {B-flat in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,152.0
Chord {C-sharp in octave 5 | B-flat in octave 4 | C-sharp in octave 6 | B-flat in octave 6} 16th,C#5-interval class 3,0.25,160.0
Chord {B-flat in octave 6 | C-sharp in octave 6 | C-sharp in octave 5} 16th,C#6-interval class 3,0.25,160.75
