219.25
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 3 | F in octave 4 | E-flat in octave 4} Whole Triplet (2 2/3 QL),E-4-incomplete half-diminished seventh chord,8/3,0.0
Chord {B-flat in octave 4 | G-sharp in octave 4 | E-flat in octave 4} 16th,E-4-quartal trichord,0.25,6.25
Chord {A in octave 4 | G in octave 4 | D in octave 4} Triple Dotted Half (3 3/4 QL),G4-quartal trichord,3.75,6.5
Chord {F-sharp in octave 4 | G-sharp in octave 4 | C-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),F#4-quartal trichord,2.5,14.5
Chord {B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),E-4-quartal trichord,2/3,18.0
Chord {C in octave 4 | F in octave 4 | G in octave 4} 16th,F4-quartal trichord,0.25,19.25
Chord {C in octave 4 | F in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),F4-quartal trichord,2.25,19.75
Chord {C in octave 5 | G in octave 4} Zero,C5-interval class 5,0.0,27.25
Chord {C in octave 4 | F in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),F4-quartal trichord,2.25,27.75
Chord {C in octave 4 | F in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),F4-quartal trichord,2.25,35.75
Chord {C in octave 4 | G in octave 4 | F in octave 4} Half tied to Eighth (2 1/2 total QL),F4-quartal trichord,2.5,44.25
Chord {E in octave 4 | F-sharp in octave 4 | F-sharp in octave 5 | B in octave 3} Half Triplet (1 1/3 QL),E4-quartal trichord,4/3,50.25
Chord {B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E-4-quartal trichord,2.75,51.75
Chord {E-flat in octave 4 | B-flat in octave 4 | G-sharp in octave 4} 16th,E-4-quartal trichord,0.25,58.25
Chord {A in octave 4 | G in octave 4 | D in octave 4} Triple Dotted Half (3 3/4 QL),G4-quartal trichord,3.75,58.5
Chord {F-sharp in octave 4 | G-sharp in octave 4 | C-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),F#4-quartal trichord,2.5,66.5
Chord {F in octave 4 | B-flat in octave 3 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-4-quartal trichord,2/3,70.0
Chord {C in octave 4 | F in octave 4 | G in octave 4} 16th,F4-quartal trichord,0.25,71.25
Chord {C in octave 4 | F in octave 4 | G in octave 4} Dotted Quarter,F4-quartal trichord,1.5,71.75
Chord {G in octave 4 | D in octave 4 | A in octave 4} 16th,G4-quartal trichord,0.25,74.25
Chord {D in octave 4 | G in octave 4 | A in octave 4} Dotted Eighth,G4-quartal trichord,0.75,74.75
Chord {G-sharp in octave 4 | F-sharp in octave 4 | C-sharp in octave 4} 16th,F#4-quartal trichord,0.25,77.25
Chord {G in octave 4 | C in octave 4 | F in octave 4} 16th,F4-quartal trichord,0.25,77.75
Chord {F-sharp in octave 4 | B in octave 3 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),E4-quartal trichord,1.25,78.25
Chord {C in octave 4 | D in octave 4 | G in octave 3} Dotted Eighth,C4-quartal trichord,0.75,80.75
Chord {F-sharp in octave 3 | B in octave 3 | C-sharp in octave 4} 16th,B3-quartal trichord,0.25,83.75
Chord {F in octave 3 | B-flat in octave 3 | C in octave 4} Half,B-3-quartal trichord,2.0,84.25
Chord {B in octave 3 | A in octave 3} Zero,B3-interval class 2,0.0,90.75
Chord {C in octave 4 | F in octave 4 | G in octave 4} Dotted Eighth,F4-quartal trichord,0.75,95.75
Chord {E in octave 4 | G in octave 4 | G-sharp in octave 3 | C in octave 5 | E in octave 5 | G in octave 5} 16th,C5-augmented major tetrachord,0.25,97.25
Chord {E in octave 4 | G in octave 5 | G in octave 4 | C in octave 5 | G-sharp in octave 3 | E in octave 5} 16th,C5-augmented major tetrachord,0.25,97.75
Chord {E in octave 5 | G-sharp in octave 3 | G in octave 4 | G in octave 5 | C in octave 5 | E in octave 4} 16th,C5-augmented major tetrachord,0.25,98.25
Chord {G-sharp in octave 3 | E in octave 4 | G in octave 4 | C in octave 5 | E in octave 5 | G in octave 5} 16th,C5-augmented major tetrachord,0.25,99.75
Chord {E in octave 4 | G-sharp in octave 3 | G in octave 5 | E in octave 5 | C in octave 5 | G in octave 4} 16th,C5-augmented major tetrachord,0.25,100.25
Chord {E in octave 4 | G in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | G-sharp in octave 3} 16th,C5-augmented major tetrachord,0.25,100.75
Chord {C in octave 6 | F in octave 4 | B-flat in octave 3 | A in octave 5 | A in octave 4 | F in octave 5} Half,F4-perfect-fourth major tetrachord,2.0,101.5
Chord {B in octave 3 | F in octave 4 | E-flat in octave 4} Whole Triplet (2 2/3 QL),E-4-incomplete half-diminished seventh chord,8/3,104.0
Chord {B-flat in octave 4 | G-sharp in octave 4 | E-flat in octave 4} 16th,E-4-quartal trichord,0.25,110.25
Chord {A in octave 4 | G in octave 4 | D in octave 4} Triple Dotted Half (3 3/4 QL),G4-quartal trichord,3.75,110.5
Chord {F-sharp in octave 4 | G-sharp in octave 4 | C-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),F#4-quartal trichord,2.5,118.5
Chord {B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),E-4-quartal trichord,2/3,122.0
Chord {C in octave 4 | F in octave 4 | G in octave 4} 16th,F4-quartal trichord,0.25,123.25
Chord {C in octave 4 | F in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),F4-quartal trichord,2.25,123.75
Chord {C in octave 5 | G in octave 4} Zero,C5-interval class 5,0.0,131.25
Chord {C in octave 4 | F in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),F4-quartal trichord,2.25,131.75
Chord {C in octave 4 | F in octave 4 | G in octave 4} Half tied to 16th (2 1/4 total QL),F4-quartal trichord,2.25,139.75
Chord {C in octave 4 | G in octave 4 | F in octave 4} Half tied to Eighth (2 1/2 total QL),F4-quartal trichord,2.5,148.25
Chord {E in octave 4 | F-sharp in octave 4 | F-sharp in octave 5 | B in octave 3} Half Triplet (1 1/3 QL),E4-quartal trichord,4/3,154.25
Chord {B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E-4-quartal trichord,2.75,155.75
Chord {E-flat in octave 4 | B-flat in octave 4 | G-sharp in octave 4} 16th,E-4-quartal trichord,0.25,162.25
