388.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 3 | B-flat in octave 3 | D in octave 4 | E in octave 4 | A in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),A4-dorian hexachord,5/3,0.0
Chord {B-flat in octave 2 | G-sharp in octave 3 | D in octave 4 | C in octave 4 | G in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),C4-Scriabin's Mystic-chord,5/3,4.0
Chord {C in octave 3 | B-flat in octave 3 | D in octave 4 | E in octave 4 | A in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),A4-dorian hexachord,5/3,8.0
Chord {C in octave 3 | B-flat in octave 3 | D in octave 4 | E in octave 4 | A in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Eighth Triplet (1/3 QL),A4-dorian hexachord,1/3,29/3
Chord {B-flat in octave 2 | G-sharp in octave 3 | D in octave 4 | C in octave 4 | G in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),C4-Scriabin's Mystic-chord,5/3,12.0
Chord {B-flat in octave 2 | G-sharp in octave 3 | D in octave 4 | C in octave 4 | G in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Eighth Triplet (1/3 QL),C4-Scriabin's Mystic-chord,1/3,41/3
Chord {C in octave 3 | B-flat in octave 3 | D in octave 4 | E in octave 4 | A in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),A4-dorian hexachord,5/3,16.0
Chord {B-flat in octave 2 | G-sharp in octave 3 | D in octave 4 | C in octave 4 | G in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),C4-Scriabin's Mystic-chord,5/3,20.0
Chord {C in octave 3 | B-flat in octave 3 | D in octave 4 | E in octave 4 | A in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),A4-dorian hexachord,5/3,24.0
Chord {B-flat in octave 2 | G-sharp in octave 3 | D in octave 4 | C in octave 4 | G in octave 4 | C in octave 5 | E in octave 5 | G in octave 5 | C in octave 6} Half Tuplet of 6/5ths (1 2/3 QL),C4-Scriabin's Mystic-chord,5/3,28.0
