392.0
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 3 | G in octave 4 | B in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E3-minor seventh chord,5/3,0.0
Chord {F in octave 3 | A in octave 3 | B in octave 3 | D in octave 4} Half tied to 16th (2 1/4 total QL),B3-half-diminished seventh chord,2.25,1.75
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 3} Whole,B-3-minor-second quartal tetrachord,4.0,4.0
Chord {E in octave 3 | G in octave 3 | B in octave 3 | D in octave 4} Half,E3-minor seventh chord,2.0,8.0
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 3 | F-sharp in octave 3} Half,B-3-enigmatic pentachord,2.0,10.0
Chord {A in octave 3 | B in octave 4 | D in octave 4 | F-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B4-minor seventh chord,5/3,12.0
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Half,D4-half-diminished seventh chord,2.0,13.75
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Whole tied to 16th (4 1/4 total QL),A4-minor seventh chord,4.25,15.75
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | B in octave 4} Whole,C4-minor-second quartal tetrachord,4.0,20.0
Chord {E in octave 3 | G in octave 4 | B in octave 3 | D in octave 4} Half,E3-minor seventh chord,2.0,24.0
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),D4-half-diminished seventh chord,5/3,26.0
Chord {G in octave 3 | B in octave 3 | C in octave 4 | E in octave 4} Half tied to 16th (2 1/4 total QL),C4-major seventh chord,2.25,27.75
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | A in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),F#3-half-diminished seventh chord,5/3,30.0
Chord {E in octave 3 | G in octave 3 | B in octave 3 | D in octave 4} Half,E3-minor seventh chord,2.0,31.75
Chord {F in octave 3 | A in octave 3 | B in octave 3 | E in octave 4} Half tied to 16th (2 1/4 total QL),F3-minor-second quartal tetrachord,2.25,33.75
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 4 | F-sharp in octave 3} Whole,B-3-enigmatic pentachord,4.0,36.0
Chord {E in octave 3 | G in octave 4 | B in octave 3 | D in octave 4} Half,E3-minor seventh chord,2.0,40.0
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 3 | F-sharp in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),B-3-enigmatic pentachord,5/3,42.0
Chord {A in octave 3 | B in octave 3 | D in octave 4 | F-sharp in octave 4} Half tied to 16th (2 1/4 total QL),B3-minor seventh chord,2.25,43.75
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),D4-half-diminished seventh chord,5/3,46.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Whole,A4-minor seventh chord,4.0,47.75
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | B in octave 4} Half,C4-minor-second quartal tetrachord,2.0,51.75
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | B in octave 3} Half,C4-minor-second quartal tetrachord,2.0,53.75
Chord {E in octave 3 | G in octave 3 | B in octave 3 | D in octave 4} Half,E3-minor seventh chord,2.0,55.75
Chord {E in octave 3 | G in octave 3 | B in octave 3 | D in octave 4} Half tied to 16th (2 1/4 total QL),E3-minor seventh chord,2.25,57.75
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Half,D4-minor seventh chord,2.0,60.0
