392.0
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 4 | C in octave 4 | G in octave 3} Zero,C4-major triad,0.0,2/3
Chord {E in octave 4 | C in octave 4 | G in octave 3} Zero,C4-major triad,0.0,1.0
Chord {E in octave 4 | C in octave 4} Zero,C4-interval class 4,0.0,2.0
Chord {A in octave 3 | G in octave 3} 16th,A3-interval class 2,0.25,2.0
Chord {E in octave 4 | G in octave 3 | A in octave 3} Zero,A3-incomplete dominant-seventh chord,0.0,11/3
Chord {E in octave 4 | C in octave 4 | G in octave 3} Zero,C4-major triad,0.0,14/3
Chord {E in octave 4 | C in octave 4 | G in octave 3} Zero,C4-major triad,0.0,5.0
Chord {E-flat in octave 4 | C in octave 4 | F-sharp in octave 3} 16th,F#3-diminished triad,0.25,5.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Eighth Triplet (1/3 QL),F#3-interval class 3,1/3,6.0
Chord {D in octave 4 | B in octave 3 | F-sharp in octave 3} 16th,B3-minor triad,0.25,7.75
Chord {D in octave 4 | F-sharp in octave 3} Eighth Triplet (1/3 QL),D4-interval class 4,1/3,8.0
Chord {B-flat in octave 3 | E in octave 3 | D in octave 4} Zero,E3-incomplete half-diminished seventh chord,0.0,9.75
Chord {B-flat in octave 3 | E in octave 3 | D in octave 4} Half,E3-incomplete half-diminished seventh chord,2.0,10.0
Chord {D in octave 5 | F-sharp in octave 4 | A in octave 4} Zero,D5-major triad,0.0,12.0
Chord {D in octave 5 | F-sharp in octave 4 | A in octave 4} Quarter,D5-major triad,1.0,37/3
Chord {F-sharp in octave 3 | A in octave 4 | B in octave 3 | D in octave 4} 16th,B3-minor seventh chord,0.25,13.75
Chord {F-sharp in octave 3 | D in octave 4} Half Triplet (1 1/3 QL),D4-interval class 4,4/3,14.0
Chord {B-flat in octave 3 | F in octave 3 | D in octave 4} Zero,B-3-major triad,0.0,16.0
Chord {B-flat in octave 3 | F in octave 3 | D in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),B-3-major triad,11/3,49/3
Chord {F in octave 4 | B-flat in octave 3 | D in octave 4} Zero,B-3-major triad,0.0,20.5
Chord {B-flat in octave 3 | D in octave 4 | F in octave 4} 16th,B-3-major triad,0.25,65/3
Chord {B-flat in octave 3 | E in octave 3 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-diminished triad,1.25,67/3
Chord {G in octave 4 | E in octave 4 | A in octave 3} Zero,A3-incomplete dominant-seventh chord,0.0,74/3
Chord {G in octave 4 | E in octave 4 | A in octave 3} Zero,A3-incomplete dominant-seventh chord,0.0,25.0
Chord {G in octave 4 | E in octave 4} Zero,E4-interval class 3,0.0,26.0
Chord {C in octave 4 | A in octave 3} 16th,A3-interval class 3,0.25,26.0
Chord {E in octave 4 | C in octave 4 | A in octave 3} Zero,A3-minor triad,0.0,79/3
Chord {G in octave 4 | A in octave 3 | C in octave 4} Zero,A3-incomplete minor-seventh chord,0.0,83/3
Chord {A in octave 3 | E in octave 4 | C in octave 4} 16th,A3-minor triad,0.25,29.0
Chord {A in octave 3 | E in octave 4 | C in octave 4} Zero,A3-minor triad,0.0,88/3
Chord {A in octave 3 | E in octave 4 | C in octave 4} 16th,A3-minor triad,0.25,92/3
Chord {A in octave 3 | E in octave 4} Zero,A3-interval class 5,0.0,31.0
Chord {F in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Zero,E-4-incomplete minor-seventh chord,0.0,98/3
Chord {F in octave 4 | E-flat in octave 4 | G-sharp in octave 3} Zero,E-4-incomplete minor-seventh chord,0.0,33.0
Chord {G in octave 4 | E-flat in octave 4} Zero,E-4-interval class 4,0.0,34.0
Chord {C in octave 4 | G-sharp in octave 3} 16th,C4-interval class 4,0.25,34.0
Chord {F in octave 4 | G-sharp in octave 3 | C in octave 4} Zero,F4-minor triad,0.0,107/3
Chord {F-sharp in octave 4 | D in octave 4 | B in octave 3 | G-sharp in octave 3} 16th,G#3-half-diminished seventh chord,0.25,38.0
Chord {F-sharp in octave 4 | D in octave 4 | B in octave 3 | G-sharp in octave 3} Zero,G#3-half-diminished seventh chord,0.0,38.5
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4} 16th,G3-minor triad,0.25,40.0
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4} Zero,G3-minor triad,0.0,121/3
Chord {D in octave 4 | B-flat in octave 3 | G in octave 3} Zero,G3-minor triad,0.0,41.75
Chord {D in octave 4 | B-flat in octave 3 | G in octave 3} Zero,G3-minor triad,0.0,42.0
Chord {D in octave 4 | B-flat in octave 3 | E-flat in octave 3 | G in octave 3} Zero,E-3-major seventh chord,0.0,43.0
Chord {E-flat in octave 4 | B-flat in octave 3 | C in octave 4} 16th,C4-incomplete minor-seventh chord,0.25,44.0
Chord {E-flat in octave 4 | B-flat in octave 3 | C in octave 4} Zero,C4-incomplete minor-seventh chord,0.0,44.5
Chord {C in octave 4 | B-flat in octave 3 | E-flat in octave 3} 16th,C4-incomplete minor-seventh chord,0.25,45.75
Chord {B-flat in octave 3 | C in octave 4 | E-flat in octave 3} 16th,C4-incomplete minor-seventh chord,0.25,46.75
Chord {C in octave 4 | E-flat in octave 3} 16th,C4-interval class 3,0.25,47.0
Chord {G in octave 3 | C in octave 3 | A in octave 3} Zero,A3-incomplete minor-seventh chord,0.0,48.0
Chord {G in octave 3 | C in octave 3 | A in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),A3-incomplete minor-seventh chord,5/3,145/3
Chord {D in octave 4 | C in octave 4 | F-sharp in octave 3} 16th,D4-incomplete dominant-seventh chord,0.25,50.0
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,151/3
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3} 16th,F#3-incomplete half-diminished seventh chord,0.25,50.75
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,51.0
Chord {D in octave 4 | C in octave 4 | F-sharp in octave 3} 16th,D4-incomplete dominant-seventh chord,0.25,51.75
Chord {D in octave 4 | F-sharp in octave 3} Eighth Triplet (1/3 QL),D4-interval class 4,1/3,52.0
