435.9166666666667
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,10.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,26.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,42.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,58.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,74.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,90.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,102.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,118.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,134.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,154.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,170.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,186.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,198.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,214.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,230.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,250.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,266.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,282.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,294.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,310.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,326.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,346.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,362.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,378.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,390.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,406.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,422.0
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,8.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,24.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,40.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,56.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,72.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,88.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,100.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,116.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,132.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,152.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,168.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,184.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,196.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,212.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,228.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,248.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,264.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,280.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,292.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,308.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,324.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,344.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,360.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,376.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,388.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,404.5
Chord {G-sharp in octave 2 | C-sharp in octave 2} 16th,C#2-interval class 5,0.25,420.5
Chord {B in octave 3 | G in octave 3 | E in octave 4} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,12.0
Chord {G in octave 3 | B in octave 3} Triple Dotted Whole (7 1/2 QL),G3-interval class 4,7.5,20.0
Chord {E in octave 4 | C in octave 4} Quadruple Dotted Whole (7 3/4 QL),C4-interval class 4,7.75,28.0
Chord {B in octave 3 | F-sharp in octave 3 | D in octave 4} Quadruple Dotted Whole (7 3/4 QL),B3-minor triad,7.75,36.0
Chord {G in octave 3 | E in octave 4 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,44.0
Chord {G in octave 3 | B in octave 3 | E in octave 4} Breve,E4-minor triad,8.0,51.75
Chord {C in octave 4 | A in octave 3} Triple Dotted Whole (7 1/2 QL),A3-interval class 3,7.5,60.0
Chord {D in octave 4 | B in octave 3 | F-sharp in octave 3} Breve Tuplet of 12/11ths (7 1/3 QL),B3-minor triad,22/3,67.75
Chord {B in octave 3 | E in octave 4 | G in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,76.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),E4-minor triad,23/3,84.0
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,92.0
Chord {B in octave 3 | F-sharp in octave 3 | D in octave 4} Breve,B3-minor triad,8.0,99.75
Chord {B in octave 3 | G in octave 3 | E in octave 4} Breve Tuplet of 24/23rds (7 2/3 QL),E4-minor triad,23/3,107.75
Chord {E in octave 4 | G in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),E4-interval class 3,23/3,115.75
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,124.0
Chord {D in octave 4 | B in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),B3-interval class 3,23/3,131.75
Chord {G in octave 3 | E in octave 4 | B in octave 3} Whole tied to Half tied to Eighth (6 1/2 total QL),E4-minor triad,6.5,139.75
Chord {B in octave 3 | G in octave 3} Triple Dotted Whole (7 1/2 QL),G3-interval class 4,7.5,148.0
Chord {C in octave 4 | A in octave 3} Triple Dotted Whole (7 1/2 QL),A3-interval class 3,7.5,156.0
Chord {D in octave 4 | B in octave 3 | F-sharp in octave 3} Breve Tuplet of 12/11ths (7 1/3 QL),B3-minor triad,22/3,163.75
Chord {B in octave 3 | E in octave 4 | G in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,172.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),E4-minor triad,23/3,180.0
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,188.0
Chord {B in octave 3 | F-sharp in octave 3 | D in octave 4} Breve,B3-minor triad,8.0,195.75
Chord {B in octave 3 | G in octave 3 | E in octave 4} Breve Tuplet of 24/23rds (7 2/3 QL),E4-minor triad,23/3,203.75
Chord {E in octave 4 | G in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),E4-interval class 3,23/3,211.75
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,220.0
Chord {D in octave 4 | B in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),B3-interval class 3,23/3,227.75
Chord {G in octave 3 | E in octave 4 | B in octave 3} Whole tied to Half tied to Eighth (6 1/2 total QL),E4-minor triad,6.5,235.75
Chord {B in octave 3 | G in octave 3} Triple Dotted Whole (7 1/2 QL),G3-interval class 4,7.5,244.0
Chord {C in octave 4 | A in octave 3} Triple Dotted Whole (7 1/2 QL),A3-interval class 3,7.5,252.0
Chord {D in octave 4 | B in octave 3 | F-sharp in octave 3} Breve Tuplet of 12/11ths (7 1/3 QL),B3-minor triad,22/3,259.75
Chord {B in octave 3 | E in octave 4 | G in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,268.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),E4-minor triad,23/3,276.0
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,284.0
Chord {B in octave 3 | F-sharp in octave 3 | D in octave 4} Breve,B3-minor triad,8.0,291.75
Chord {B in octave 3 | G in octave 3 | E in octave 4} Breve Tuplet of 24/23rds (7 2/3 QL),E4-minor triad,23/3,299.75
Chord {E in octave 4 | G in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),E4-interval class 3,23/3,307.75
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,316.0
Chord {D in octave 4 | B in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),B3-interval class 3,23/3,323.75
Chord {G in octave 3 | E in octave 4 | B in octave 3} Whole tied to Half tied to Eighth (6 1/2 total QL),E4-minor triad,6.5,331.75
Chord {B in octave 3 | G in octave 3} Triple Dotted Whole (7 1/2 QL),G3-interval class 4,7.5,340.0
Chord {C in octave 4 | A in octave 3} Triple Dotted Whole (7 1/2 QL),A3-interval class 3,7.5,348.0
Chord {D in octave 4 | B in octave 3 | F-sharp in octave 3} Breve Tuplet of 12/11ths (7 1/3 QL),B3-minor triad,22/3,355.75
Chord {B in octave 3 | E in octave 4 | G in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,364.0
Chord {B in octave 3 | E in octave 4 | G in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),E4-minor triad,23/3,372.0
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,380.0
Chord {B in octave 3 | F-sharp in octave 3 | D in octave 4} Breve,B3-minor triad,8.0,387.75
Chord {B in octave 3 | G in octave 3 | E in octave 4} Breve Tuplet of 24/23rds (7 2/3 QL),E4-minor triad,23/3,395.75
Chord {E in octave 4 | G in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),E4-interval class 3,23/3,403.75
Chord {C in octave 4 | E in octave 4 | A in octave 3} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,412.0
Chord {D in octave 4 | B in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),B3-interval class 3,23/3,419.75
Chord {G in octave 3 | E in octave 4 | B in octave 3} Whole tied to Half tied to Eighth (6 1/2 total QL),E4-minor triad,6.5,427.75
Chord {A in octave 3 | C in octave 4} Quadruple Dotted Whole (7 3/4 QL),A3-interval class 3,7.75,28.0
Chord {E in octave 4 | G in octave 3 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,20.0
Chord {F-sharp in octave 3 | B in octave 3 | D in octave 4} Quadruple Dotted Whole (7 3/4 QL),B3-minor triad,7.75,36.0
Chord {E in octave 4 | B in octave 3 | G in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,43.75
Chord {E in octave 4 | G in octave 3 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,51.75
Chord {E in octave 4 | A in octave 3 | C in octave 4} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,60.0
Chord {F-sharp in octave 3 | D in octave 4 | B in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),B3-minor triad,23/3,67.75
Chord {E in octave 4 | B in octave 3 | G in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,76.0
Chord {E in octave 4 | G in octave 3 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,84.0
Chord {E in octave 4 | A in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),A3-interval class 5,23/3,92.0
Chord {B in octave 3 | F-sharp in octave 3 | D in octave 4} Breve,B3-minor triad,8.0,99.75
Chord {G in octave 3 | E in octave 4 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,107.75
Chord {G in octave 3 | E in octave 4} Quadruple Dotted Whole (7 3/4 QL),E4-interval class 3,7.75,115.75
Chord {E in octave 4 | A in octave 3 | C in octave 4} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,123.75
Chord {D in octave 4 | F-sharp in octave 3 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),B3-minor triad,7.75,131.75
Chord {B in octave 3 | E in octave 4 | G in octave 3} Double Dotted Whole,E4-minor triad,7.0,139.75
Chord {E in octave 4 | G in octave 3 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,148.0
Chord {E in octave 4 | A in octave 3 | C in octave 4} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,156.0
Chord {F-sharp in octave 3 | D in octave 4 | B in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),B3-minor triad,23/3,163.75
Chord {E in octave 4 | B in octave 3 | G in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,172.0
Chord {E in octave 4 | G in octave 3 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,180.0
Chord {E in octave 4 | A in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),A3-interval class 5,23/3,188.0
Chord {B in octave 3 | F-sharp in octave 3 | D in octave 4} Breve,B3-minor triad,8.0,195.75
Chord {G in octave 3 | E in octave 4 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,203.75
Chord {G in octave 3 | E in octave 4} Quadruple Dotted Whole (7 3/4 QL),E4-interval class 3,7.75,211.75
Chord {E in octave 4 | A in octave 3 | C in octave 4} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,219.75
Chord {D in octave 4 | F-sharp in octave 3 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),B3-minor triad,7.75,227.75
Chord {B in octave 3 | E in octave 4 | G in octave 3} Double Dotted Whole,E4-minor triad,7.0,235.75
Chord {E in octave 4 | G in octave 3 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,244.0
Chord {E in octave 4 | A in octave 3 | C in octave 4} Quadruple Dotted Whole (7 3/4 QL),A3-minor triad,7.75,252.0
Chord {F-sharp in octave 3 | D in octave 4 | B in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),B3-minor triad,23/3,259.75
Chord {E in octave 4 | B in octave 3 | G in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,268.0
Chord {E in octave 4 | G in octave 3 | B in octave 3} Quadruple Dotted Whole (7 3/4 QL),E4-minor triad,7.75,276.0
